season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2015-16,202684,Tristan Thompson,Tristan,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,13074,13074,13074,26051,12059,10158,9917,18861,1,1,1,25429,8004,1,4972,18762,25170,1.0,0:04,2015,2016
2015-16,203895,Jordan McRae,Jordan,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,47.1,0.0,2.0,5.0,16.0,12.0,14.0,7.0,20.0,0.0,5.0,5.0,5.0,46.3,1,13074,13074,13074,37,12059,4731,1277,275,20178,24300,15538,11929,8004,26042,24686,1539,1168,1.0,47:06,2015,2016
2015-16,101112,Channing Frye,Channing,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,41.1,3.0,0.0,0.0,2.0,10.0,15.0,5.0,18.0,0.0,0.0,1.0,2.0,30.2,1,13074,13074,13074,474,4307,10158,9917,12984,17370,24781,11593,13577,8004,1,4972,7786,5751,1.0,41:04,2015,2016
2015-16,2563,Dahntay Jones,Dahntay,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,42.4,2.0,4.0,0.0,4.0,14.0,15.0,7.0,24.0,2.0,2.0,6.0,1.0,31.0,1,13074,13074,13074,273,6026,1596,9917,8599,22292,24781,15538,8723,932,23588,25827,12373,5406,1.0,42:21,2015,2016
2015-16,2210,Richard Jefferson,Richard,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,33.0,0.0,1.0,0.0,6.0,9.0,13.0,2.0,14.0,0.0,0.0,3.0,3.0,20.4,1,13074,13074,13074,5163,12059,9709,9917,5299,15771,23668,4025,17019,8004,1,17641,4736,11453,1.0,32:58,2015,2016
2015-16,202389,Timofey Mozgov,Timofey,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,36.6,0.0,4.0,0.0,12.0,10.0,10.0,3.0,14.0,2.0,1.0,2.0,0.0,37.9,1,13074,13074,13074,2366,12059,1596,9917,988,17370,20509,7328,17019,932,17214,11390,18762,2931,1.0,36:33,2015,2016
2015-16,201619,Sasha Kaun,Sasha,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,23.0,0.0,2.0,0.0,2.0,6.0,11.0,4.0,12.0,2.0,3.0,0.0,1.0,17.0,1,13074,13074,13074,13368,12059,4731,9917,12984,10028,21814,8806,18637,932,25441,1,12373,13855,1.0,23:01,2015,2016
2015-16,203521,Matthew Dellavedova,Matthew,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,6.2,0.0,2.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,1,13074,13074,13074,23898,12059,4731,4675,8599,1,7138,1,25429,8004,1,1,18762,16311,1.0,6:09,2015,2016
2015-16,2592,James Jones,James,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,35.8,5.0,2.0,0.0,4.0,9.0,14.0,7.0,18.0,1.0,0.0,5.0,3.0,19.5,1,13074,13074,13074,2932,1603,4731,9917,8599,15771,24300,15538,13577,2692,1,24686,4736,12096,1.0,35:45,2015,2016
2015-16,203521,Matthew Dellavedova,Matthew,1610612739,CLE,Cleveland Cavaliers,21501203,2016-04-11T00:00:00,CLE vs. ATL,W,20.4,0.0,0.0,0.0,6.0,10.0,7.0,4.0,18.0,0.0,0.0,2.0,2.0,15.7,1,1,1,1,15599,12059,10158,9917,5299,17370,15642,8806,13577,8004,1,11390,7786,14841,1.0,20:22,2015,2016
