season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2016-17,203530,Joffrey Lauvergne,Joffrey,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,15.05,2,2,0,2,0,0,0,10,0,1,0,4,16.0,1,873,873,873,1145,382,313,580,796,1,1,1,425,514,1197,1,200,864,1,15:03,2016,2017
2016-17,201577,Robin Lopez,Robin,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,24.25,0,4,0,8,6,3,0,22,1,0,3,0,16.0,1,873,873,873,777,702,104,580,223,789,578,1,971,150,1,1151,1177,864,1,24:15,2016,2017
2016-17,203487,Michael Carter-Williams,Michael,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,13.5,1,0,0,6,0,0,0,8,0,0,1,2,10.0,1,873,873,873,1219,669,629,580,342,1,1,1,339,514,1,378,488,1138,1,13:30,2016,2017
2016-17,1627835,Paul Zipser,Paul,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,28.266666666666666,0,0,2,4,7,3,6,16,0,0,2,0,15.7,1,873,873,873,624,702,629,291,530,897,578,968,694,514,1,793,1177,874,1,28:16,2016,2017
2016-17,2548,Dwyane Wade,Dwyane,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,19.2,0,2,0,2,8,0,2,22,0,1,1,0,13.1,1,873,873,873,985,702,313,580,796,991,1,368,971,514,1197,378,1177,979,1,19:12,2016,2017
2016-17,201627,Anthony Morrow,Anthony,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,7.9,0,0,0,0,5,0,5,4,0,0,0,0,1.2,1,873,873,873,1431,702,629,580,1173,701,1,851,175,514,1,1,1177,1597,1,7:54,2016,2017
2016-17,202703,Nikola Mirotic,Nikola,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,19.916666666666668,0,0,0,2,8,2,1,26,0,0,1,0,8.9,1,873,873,873,967,702,629,580,796,991,342,329,1143,514,1,378,1177,1191,1,19:55,2016,2017
2016-17,1626245,Cristiano Felicio,Cristiano,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,4.656666666666666,0,0,0,0,5,0,5,2,0,0,1,0,0.2,1,873,873,873,1544,702,629,580,1173,701,1,851,81,514,1,378,1177,1641,1,4:39,2016,2017
2016-17,1626170,Jerian Grant,Jerian,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,5.15,0,0,0,2,0,0,0,6,0,0,0,0,4.2,1,873,873,873,1529,702,629,580,796,1,1,1,253,514,1,1,1177,1445,1,5:09,2016,2017
2016-17,1626171,Bobby Portis,Bobby,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,29.966666666666665,0,5,0,2,7,1,6,18,0,1,4,0,22.0,1,873,873,873,559,702,61,580,796,897,311,968,788,514,1197,1454,1177,634,1,29:58,2016,2017
2016-17,203477,Isaiah Canaan,Isaiah,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,25.05,0,0,0,2,8,3,1,26,0,1,1,2,9.5,1,873,873,873,747,702,629,580,796,991,578,329,1143,514,1197,378,488,1161,1,25:03,2016,2017
2016-17,202710,Jimmy Butler III,Jimmy,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,31.383333333333333,8,0,3,8,11,3,4,30,0,1,1,5,37.4,1,873,873,873,497,33,629,194,223,1275,578,699,1293,514,1197,378,134,244,1,31:23,2016,2017
2016-17,1627756,Denzel Valentine,Denzel,1610612741,CHI,Chicago Bulls,41600106,2017-04-28T00:00:00,CHI vs. BOS,L,15.71,2,0,0,2,0,0,0,10,1,0,1,1,10.3,1,873,873,873,1118,382,629,580,796,1,1,1,425,150,1,378,752,1122,1,15:43,2016,2017
2016-17,201627,Anthony Morrow,Anthony,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,16.716666666666665,0,0,0,2,10,4,6,24,0,1,2,1,13.4,1,873,873,873,1074,702,629,580,796,1192,670,968,1062,514,1197,793,752,963,1,16:43,2016,2017
2016-17,1627756,Denzel Valentine,Denzel,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,873,873,873,1699,702,629,580,1173,1,1,1,1,514,1,1,1177,1646,1,1:39,2016,2017
2016-17,1626171,Bobby Portis,Bobby,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,11.6,0,0,0,0,11,0,6,16,0,0,1,0,3.4,1,873,873,873,1295,702,629,580,1173,1275,1,968,694,514,1,378,1177,1493,1,11:36,2016,2017
2016-17,1626245,Cristiano Felicio,Cristiano,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,14.608333333333333,0,0,0,6,15,2,8,20,0,0,3,0,15.8,1,873,873,873,1170,702,629,580,342,1529,342,1194,878,514,1,1151,1177,869,1,14:37,2016,2017
2016-17,202710,Jimmy Butler III,Jimmy,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,39.28333333333333,0,0,0,6,13,15,8,42,1,1,0,4,33.6,1,873,873,873,145,702,629,580,342,1439,1644,1194,1654,150,1197,1,200,325,1,39:17,2016,2017
2016-17,202703,Nikola Mirotic,Nikola,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,34.85,0,0,0,0,12,13,6,38,0,0,3,2,16.8,1,873,873,873,335,702,629,580,1173,1359,1571,968,1585,514,1,1151,488,830,1,34:51,2016,2017
2016-17,2548,Dwyane Wade,Dwyane,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,34.708333333333336,0,2,0,8,21,13,6,42,1,1,0,6,50.2,1,873,873,873,341,702,313,580,223,1692,1571,968,1654,150,1197,1,91,89,1,34:43,2016,2017
2016-17,203487,Michael Carter-Williams,Michael,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,3.6,0,0,0,2,0,0,2,2,0,0,0,0,2.0,1,873,873,873,1606,702,629,580,796,1,1,368,81,514,1,1,1177,1558,1,3:36,2016,2017
2016-17,203477,Isaiah Canaan,Isaiah,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,36.16666666666666,2,0,4,10,23,13,8,46,0,0,3,1,14.4,1,873,873,873,269,382,629,125,141,1720,1571,1194,1695,514,1,1151,752,922,1,36:10,2016,2017
2016-17,1627835,Paul Zipser,Paul,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,17.866666666666667,0,0,0,0,2,2,6,18,0,0,4,1,8.6,1,873,873,873,1030,702,629,580,1173,289,342,968,788,514,1,1454,752,1207,1,17:52,2016,2017
2016-17,201577,Robin Lopez,Robin,1610612741,CHI,Chicago Bulls,41600105,2017-04-26T00:00:00,CHI @ BOS,L,28.95,2,2,0,8,8,13,4,32,3,0,5,1,36.2,1,873,873,873,600,382,313,580,223,991,1571,699,1387,19,1,1647,752,265,1,28:57,2016,2017
2016-17,203487,Michael Carter-Williams,Michael,1610612741,CHI,Chicago Bulls,41600104,2017-04-23T00:00:00,CHI vs. BOS,L,8.116666666666667,0,0,0,0,5,2,4,12,0,0,2,0,-0.5,1,873,873,873,1421,702,629,580,1173,701,342,699,514,514,1,793,1177,1725,1,8:07,2016,2017
2016-17,202710,Jimmy Butler III,Jimmy,1610612741,CHI,Chicago Bulls,41600104,2017-04-23T00:00:00,CHI vs. BOS,L,45.78333333333333,0,1,2,14,16,14,17,46,0,3,4,15,54.5,1,873,873,873,10,702,592,291,50,1571,1624,1658,1695,514,1702,1454,1,60,1,45:47,2016,2017
2016-17,201577,Robin Lopez,Robin,1610612741,CHI,Chicago Bulls,41600104,2017-04-23T00:00:00,CHI vs. BOS,L,21.75,2,2,0,8,7,6,5,20,0,0,2,0,14.4,1,873,873,873,888,382,313,580,223,897,971,851,878,514,1,793,1177,922,1,21:45,2016,2017
