season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2016-17,1627812,Yogi Ferrell,Yogi,1610612742,DAL,Dallas Mavericks,21601223,2017-04-12T00:00:00,DAL @ MEM,W,54.3,1.9,1.9,0.0,3.8,15.4,9.6,13.5,38.5,1.9,1.9,5.8,5.8,37.9,1,1,1,1,1747,11616,9899,9921,16962,12868,10145,14856,16659,5084,20863,18910,6336,14506,1,28:14,2016,2017
2016-17,203939,Dwight Powell,Dwight,1610612742,DAL,Dallas Mavericks,21601223,2017-04-12T00:00:00,DAL @ MEM,W,52.1,0.0,0.0,0.0,0.0,12.1,16.7,13.6,39.4,0.0,0.0,6.1,7.6,25.2,1,1,1,1,4805,11896,10137,9921,19010,9331,18132,14994,16078,7994,1,19490,3601,20964,1,34:22,2016,2017
2016-17,1627852,Nicolas Brussino,Nicolas,1610612742,DAL,Dallas Mavericks,21601223,2017-04-12T00:00:00,DAL @ MEM,W,50.9,0.0,0.0,0.0,0.0,13.9,18.1,15.3,44.4,0.0,0.0,2.8,4.2,42.5,1,1,1,1,7496,11896,10137,9921,19010,11200,19616,16692,12143,7994,1,10052,9864,11904,1,36:38,2016,2017
2016-17,2734,Devin Harris,Devin,1610612742,DAL,Dallas Mavericks,21601223,2017-04-12T00:00:00,DAL @ MEM,W,55.0,5.6,5.6,0.0,27.8,11.1,13.9,8.3,44.4,0.0,2.8,0.0,8.3,87.2,1,1,1,1,1209,5701,4512,9921,590,8145,15314,8871,12143,7994,22904,1,2674,455,1,19:48,2016,2017
2016-17,1627773,AJ Hammons,AJ,1610612742,DAL,Dallas Mavericks,21601223,2017-04-12T00:00:00,DAL @ MEM,W,50.0,0.0,8.3,0.0,0.0,16.7,25.0,16.7,41.7,8.3,0.0,8.3,8.3,63.3,1,1,1,1,9880,11896,2094,9921,19010,14257,23542,17833,14364,278,1,22762,2674,3256,1,12:00,2016,2017
2016-17,202732,DeAndre Liggins,DeAndre,1610612742,DAL,Dallas Mavericks,21601223,2017-04-12T00:00:00,DAL @ MEM,W,55.9,13.6,4.5,0.0,13.6,18.2,11.4,9.1,54.5,0.0,2.3,6.8,6.8,50.9,1,1,1,1,815,601,5860,9921,5688,15942,12268,9777,5667,7994,21779,20867,4608,7523,1,24:37,2016,2017
2016-17,1627827,Dorian Finney-Smith,Dorian,1610612742,DAL,Dallas Mavericks,21601223,2017-04-12T00:00:00,DAL @ MEM,W,51.4,0.0,0.0,5.0,3.3,6.7,23.3,10.0,36.7,0.0,1.7,3.3,0.0,37.5,1,1,1,1,6150,11896,10137,5088,17779,4255,23035,10823,17938,7994,19940,11926,18615,14701,1,30:52,2016,2017
2016-17,1626257,Salah Mejri,Salah,1610612742,DAL,Dallas Mavericks,21601223,2017-04-12T00:00:00,DAL @ MEM,W,61.8,0.0,0.0,0.0,10.5,10.5,26.3,0.0,52.6,0.0,0.0,15.8,5.3,44.2,1,1,1,1,114,11896,10137,9921,8521,7594,24051,1,6748,7994,1,25594,7269,10960,1,11:44,2016,2017
2016-17,203457,Nerlens Noel,Nerlens,1610612742,DAL,Dallas Mavericks,21601223,2017-04-12T00:00:00,DAL @ MEM,W,50.3,8.9,0.0,0.0,13.3,13.3,11.1,15.6,44.4,2.2,0.0,0.0,2.2,49.8,1,1,1,1,9075,2358,10137,9921,5851,10550,11821,16976,12143,4397,1,1,15513,8107,1,22:38,2016,2017
2016-17,1627784,Jarrod Uthoff,Jarrod,1610612742,DAL,Dallas Mavericks,21601223,2017-04-12T00:00:00,DAL @ MEM,W,51.7,5.4,5.4,5.4,10.8,16.2,29.7,10.8,54.1,2.7,2.7,0.0,5.4,45.1,1,1,1,1,5614,5948,4714,4544,8277,13906,24867,11859,5985,3452,22729,1,7039,10479,1,19:07,2016,2017
