season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,21601225,2017-04-12T00:00:00,DEN @ OKC,W,40.211666666666666,0,3,2,16,16,11,4,46,5,2,4,10,74.2,1,1,1,1,507,11896,3104,4786,315,24056,21751,8803,25692,23,23823,22341,70,38,1,40:13,2016,2017
2016-17,1627736,Malik Beasley,Malik,1610612743,DEN,Denver Nuggets,21601225,2017-04-12T00:00:00,DEN @ OKC,W,40.03333333333333,2,4,5,12,17,11,6,46,0,1,2,1,26.1,1,1,1,1,547,6070,1661,1230,1072,24579,21751,13416,25692,7994,17509,11770,12086,7892,1,40:02,2016,2017
2016-17,203486,Mason Plumlee,Mason,1610612743,DEN,Denver Nuggets,21601225,2017-04-12T00:00:00,DEN @ OKC,W,32.55,2,0,0,12,16,8,6,38,1,1,5,4,22.0,1,1,1,1,5299,6070,10137,9921,1072,24056,17285,13416,24107,2482,17509,24842,2656,10424,1,32:33,2016,2017
2016-17,201589,Darrell Arthur,Darrell,1610612743,DEN,Denver Nuggets,21601225,2017-04-12T00:00:00,DEN @ OKC,W,23.13833333333333,0,0,2,2,6,7,2,28,1,0,2,6,29.4,1,1,1,1,13339,11896,10137,4786,12970,10087,15592,3968,18715,2482,1,11770,884,6148,1,23:08,2016,2017
2016-17,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,21601225,2017-04-12T00:00:00,DEN @ OKC,W,40.96666666666667,5,5,3,8,19,11,4,52,1,2,1,3,38.4,1,1,1,1,362,1553,1052,3257,3349,25288,21751,8803,26034,2482,23823,5176,4543,2850,1,40:58,2016,2017
2016-17,2034,Mike Miller,Mike,1610612743,DEN,Denver Nuggets,21601225,2017-04-12T00:00:00,DEN @ OKC,W,28.23333333333333,0,0,0,0,13,9,4,36,0,0,0,0,14.6,1,1,1,1,8908,11896,10137,9921,19010,21625,19093,8803,23349,7994,1,1,18615,15758,1,28:14,2016,2017
2016-17,1627823,Juancho Hernangomez,Juancho,1610612743,DEN,Denver Nuggets,21601225,2017-04-12T00:00:00,DEN @ OKC,W,34.86666666666667,4,0,2,6,8,8,4,34,0,2,3,0,17.9,1,1,1,1,3466,2523,10137,4786,5491,14018,17285,8803,22476,7994,23823,17848,18615,13271,1,34:52,2016,2017
2016-17,1627736,Malik Beasley,Malik,1610612743,DEN,Denver Nuggets,21601214,2017-04-11T00:00:00,DEN @ DAL,W,31.95,5,2,9,8,11,6,7,16,0,0,2,1,31.0,1,1,1,1,5766,1553,4751,179,3349,19058,13287,15526,8725,7994,1,11770,12086,5389,1,31:57,2016,2017
2016-17,201589,Darrell Arthur,Darrell,1610612743,DEN,Denver Nuggets,21601214,2017-04-11T00:00:00,DEN @ DAL,W,17.466666666666665,0,0,0,0,6,2,3,10,0,0,1,0,11.6,1,1,1,1,18039,11896,10137,9921,19010,10087,3704,7309,4480,7994,1,5176,18615,18117,1,17:28,2016,2017
2016-17,203486,Mason Plumlee,Mason,1610612743,DEN,Denver Nuggets,21601214,2017-04-11T00:00:00,DEN @ DAL,W,33.51,2,4,2,16,14,2,14,18,1,1,3,0,28.8,1,1,1,1,4538,6070,1661,4786,315,22590,3704,23813,10420,2482,17509,17848,18615,6447,1,33:31,2016,2017
