season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2016-17,201935,James Harden,James,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,36.6,2.0,11.0,0.182,2.0,9.0,0.222,4.0,6.0,0.667,0.0,3.0,3.0,7.0,6.0,1.0,1.0,0.0,6.0,7.0,10.0,-28.0,24.1,0,0,26.0,1,873,1,873,253,888,412,1368,218,51,750,200,154,593,832,571,748,83,19,290,150,542,1,70,627,1715,556,135,10,462,1,36:36,2016,2017
2016-17,1626155,Sam Dekker,Sam,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,10.0,2.0,6.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,-15.0,8.4,0,0,10.0,1,873,1,873,1350,888,806,1079,218,380,240,869,920,869,380,1062,966,1151,1008,745,514,542,588,1177,907,1569,1215,135,10,1090,1,10:01,2016,2017
2016-17,201628,Bobby Brown,Bobby,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,3.3,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-1.0,3.0,0,0,4.0,1,873,1,873,1625,1160,1192,1079,439,531,527,869,920,869,832,1413,1492,1151,1008,745,514,542,1361,752,1220,888,1510,135,10,1427,1,3:15,2016,2017
2016-17,201976,Patrick Beverley,Patrick,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,32.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,-30.0,16.8,0,0,16.0,1,873,1,873,471,690,806,539,439,531,527,869,920,869,169,809,585,231,520,745,514,542,588,752,837,1723,830,135,10,824,1,31:57,2016,2017
2016-17,201569,Eric Gordon,Eric,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,30.4,2.0,9.0,0.222,2.0,7.0,0.286,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,6.0,-13.0,12.7,0,0,14.0,1,873,1,873,541,888,547,1326,218,126,666,869,920,869,832,1062,1231,742,250,290,150,37,1361,1177,907,1514,995,135,10,893,1,30:22,2016,2017
2016-17,101150,Lou Williams,Lou,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,20.3,3.0,7.0,0.429,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,-23.0,8.0,0,0,8.0,1,873,1,873,942,690,714,853,825,957,825,408,512,1,832,1413,1492,1151,1008,745,514,542,946,752,756,1681,1239,135,10,1201,1,20:19,2016,2017
2016-17,1627786,Troy Williams,Troy,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,3.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.9,0,0,3.0,1,873,1,873,1625,1410,1342,1410,825,1219,825,869,920,869,380,1062,966,742,1008,745,514,542,1361,1177,1470,888,1472,135,10,1485,1,3:15,2016,2017
2016-17,1626149,Montrezl Harrell,Montrezl,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,3.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.2,0,0,1.0,1,873,1,873,1625,1410,1342,1410,825,1219,825,869,920,869,832,1062,1231,1151,1008,745,514,156,1361,1177,1470,888,1597,135,10,1594,1,3:15,2016,2017
2016-17,203991,Clint Capela,Clint,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,34.6,3.0,11.0,0.273,0.0,0.0,0.0,9.0,14.0,0.643,3.0,9.0,12.0,0.0,1.0,2.0,1.0,3.0,3.0,8.0,15.0,-28.0,37.4,1,0,33.0,1,873,1,873,348,690,412,1251,825,1219,825,35,18,643,83,56,43,1151,520,103,150,7,285,35,371,1715,244,1,10,285,1,34:33,2016,2017
2016-17,1627819,Isaiah Taylor,Isaiah,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,3.3,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.2,0,0,1.0,1,873,1,873,1625,1410,1342,1410,825,957,825,869,920,869,380,1413,1231,1151,1008,745,514,156,1361,1177,1470,888,1597,135,10,1594,1,3:15,2016,2017
2016-17,2772,Trevor Ariza,Trevor,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,38.0,6.0,12.0,0.5,5.0,8.0,0.625,3.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,20.0,-24.0,29.5,0,0,33.0,1,873,1,873,202,302,350,539,18,81,195,295,421,1,380,405,433,742,520,290,514,37,1361,302,219,1687,417,135,10,285,1,37:59,2016,2017
2016-17,201583,Ryan Anderson,Ryan,1610612745,HOU,Houston Rockets,41600236,2017-05-11T00:00:00,HOU vs. SAS,L,25.2,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-30.0,5.2,0,0,6.0,1,873,1,873,743,1410,806,1410,825,380,825,869,920,869,380,268,329,1151,250,745,514,542,588,1177,1470,1723,1385,135,10,1307,1,25:13,2016,2017
2016-17,2772,Trevor Ariza,Trevor,1610612745,HOU,Houston Rockets,41600235,2017-05-09T00:00:00,HOU @ SAS,L,40.4,3.0,10.0,0.3,3.0,8.0,0.375,0.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,9.0,-9.0,26.1,0,0,25.0,1,873,1,873,97,690,484,1207,110,81,509,869,920,869,832,96,181,742,1008,290,150,542,285,752,692,1371,502,135,10,490,1,40:25,2016,2017
2016-17,101150,Lou Williams,Lou,1610612745,HOU,Houston Rockets,41600235,2017-05-09T00:00:00,HOU @ SAS,L,25.9,3.0,10.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,15.2,0,0,13.0,1,873,1,873,709,690,484,1207,825,269,825,869,920,869,832,1062,1231,231,520,290,514,542,1361,1177,907,716,895,135,10,938,1,25:52,2016,2017
2016-17,201976,Patrick Beverley,Patrick,1610612745,HOU,Houston Rockets,41600235,2017-05-09T00:00:00,HOU @ SAS,L,41.7,6.0,10.0,0.6,5.0,7.0,0.714,3.0,3.0,1.0,2.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,5.0,2.0,20.0,-7.0,25.5,0,0,31.0,1,873,1,873,65,302,484,367,18,126,126,295,421,1,169,571,433,742,250,745,514,542,16,488,219,1270,525,135,10,330,1,41:42,2016,2017
2016-17,201569,Eric Gordon,Eric,1610612745,HOU,Houston Rockets,41600235,2017-05-09T00:00:00,HOU @ SAS,L,43.7,4.0,13.0,0.308,1.0,6.0,0.167,2.0,4.0,0.5,1.0,5.0,6.0,3.0,2.0,0.0,0.0,1.0,2.0,4.0,11.0,4.0,20.7,0,0,21.0,1,873,1,873,28,524,289,1196,439,185,794,408,267,669,380,268,329,338,250,745,514,156,588,200,565,515,674,135,10,617,1,43:39,2016,2017
2016-17,201935,James Harden,James,1610612745,HOU,Houston Rockets,41600235,2017-05-09T00:00:00,HOU @ SAS,L,43.4,11.0,24.0,0.458,4.0,15.0,0.267,7.0,8.0,0.875,1.0,9.0,10.0,10.0,9.0,1.0,1.0,2.0,4.0,5.0,33.0,-6.0,57.0,1,1,61.0,1,873,1,873,29,57,32,802,49,3,682,71,86,442,380,56,95,27,1,290,150,37,92,134,50,1219,47,1,1,19,1,43:23,2016,2017
2016-17,203991,Clint Capela,Clint,1610612745,HOU,Houston Rockets,41600235,2017-05-09T00:00:00,HOU @ SAS,L,34.0,4.0,8.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,3.0,8.0,11.0,1.0,0.0,1.0,3.0,2.0,4.0,3.0,9.0,-3.0,35.7,0,0,29.0,1,873,1,873,382,524,624,539,825,957,825,665,512,669,83,96,61,742,1008,290,19,37,92,302,692,1028,282,135,10,373,1,33:60,2016,2017
2016-17,201583,Ryan Anderson,Ryan,1610612745,HOU,Houston Rockets,41600235,2017-05-09T00:00:00,HOU @ SAS,L,36.0,7.0,11.0,0.636,3.0,6.0,0.5,2.0,4.0,0.5,2.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,19.0,5.0,26.7,0,0,29.0,1,873,1,873,279,220,412,328,110,185,240,408,267,669,169,405,329,742,520,745,514,542,16,302,244,467,485,135,10,373,1,35:59,2016,2017
2016-17,201583,Ryan Anderson,Ryan,1610612745,HOU,Houston Rockets,41600234,2017-05-07T00:00:00,HOU vs. SAS,W,31.7,5.0,11.0,0.455,3.0,7.0,0.429,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,13.0,16.0,16.8,0,0,20.0,1,1,866,1,483,411,412,805,110,126,434,869,920,869,832,405,585,1151,520,745,514,542,588,752,456,169,830,135,10,647,1,31:41,2016,2017
2016-17,101150,Lou Williams,Lou,1610612745,HOU,Houston Rockets,41600234,2017-05-07T00:00:00,HOU vs. SAS,W,31.7,6.0,15.0,0.4,1.0,5.0,0.2,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0,-3.0,18.8,0,0,20.0,1,1,866,1,482,302,210,918,439,269,757,869,920,869,380,571,585,498,250,745,514,542,946,1177,456,1028,741,135,10,647,1,31:42,2016,2017
2016-17,203991,Clint Capela,Clint,1610612745,HOU,Houston Rockets,41600234,2017-05-07T00:00:00,HOU vs. SAS,W,25.2,3.0,6.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,0.0,9.0,9.0,1.0,1.0,1.0,2.0,3.0,5.0,3.0,8.0,21.0,28.3,0,0,24.0,1,1,866,1,744,690,806,539,825,1219,825,408,421,593,832,56,137,742,520,290,53,7,16,302,756,86,442,135,10,526,1,25:09,2016,2017
2016-17,201976,Patrick Beverley,Patrick,1610612745,HOU,Houston Rockets,41600234,2017-05-07T00:00:00,HOU vs. SAS,W,25.5,4.0,9.0,0.444,2.0,5.0,0.4,0.0,0.0,0.0,3.0,1.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,27.0,25.8,0,0,24.0,1,1,866,1,728,524,547,827,218,269,456,869,920,869,83,1062,585,127,520,290,514,542,1361,1177,627,36,514,135,10,526,1,25:32,2016,2017
2016-17,1627786,Troy Williams,Troy,1610612745,HOU,Houston Rockets,41600234,2017-05-07T00:00:00,HOU vs. SAS,W,2.4,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0,0.0,1,1,866,1,1659,1410,1192,1410,825,957,825,869,920,869,832,1413,1492,1151,1008,745,514,542,1361,1177,1470,888,1646,135,10,1648,1,2:26,2016,2017
2016-17,1626149,Montrezl Harrell,Montrezl,1610612745,HOU,Houston Rockets,41600234,2017-05-07T00:00:00,HOU vs. SAS,W,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.5,0,0,1.0,1,1,866,1,1659,1410,1604,1410,825,1219,825,869,920,869,832,1413,1492,742,1008,745,514,542,1361,1177,1470,888,1578,135,10,1594,1,2:26,2016,2017
2016-17,1627819,Isaiah Taylor,Isaiah,1610612745,HOU,Houston Rockets,41600234,2017-05-07T00:00:00,HOU vs. SAS,W,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.2,0,0,1.0,1,1,866,1,1659,1410,1604,1410,825,1219,825,869,920,869,832,1062,1231,1151,1008,745,514,542,1361,1177,1470,888,1597,135,10,1594,1,2:26,2016,2017
2016-17,1626155,Sam Dekker,Sam,1610612745,HOU,Houston Rockets,41600234,2017-05-07T00:00:00,HOU vs. SAS,W,10.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,9.0,0,0,7.0,1,1,866,1,1345,1410,1478,1410,825,1219,825,869,920,869,169,571,433,1151,1008,745,150,542,1361,1177,1470,1028,1187,135,10,1256,1,10:05,2016,2017
2016-17,201569,Eric Gordon,Eric,1610612745,HOU,Houston Rockets,41600234,2017-05-07T00:00:00,HOU vs. SAS,W,32.1,8.0,13.0,0.615,6.0,9.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,22.0,8.0,27.1,0,0,32.0,1,1,866,1,464,156,289,355,8,51,133,869,920,869,832,571,748,742,1008,745,514,156,588,1177,178,346,476,135,10,309,1,32:06,2016,2017
2016-17,201628,Bobby Brown,Bobby,1610612745,HOU,Houston Rockets,41600234,2017-05-07T00:00:00,HOU vs. SAS,W,5.5,5.0,7.0,0.714,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-2.0,11.0,0,0,12.0,1,1,866,1,1517,411,714,187,439,730,240,869,920,869,832,1413,1492,1151,1008,745,514,542,1361,1177,565,967,1092,135,10,990,1,5:30,2016,2017
