season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2017-18,203473,Dewayne Dedmon,Dewayne,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10T00:00:00,ATL vs. PHI,L,25.26,5,3,0,8,7,7,10,24,3,1,1,5,34.4,1,13054,13054,13054,11511,1528,2864,9215,3447,11872,15942,20944,14851,270,17404,5153,1543,4058,1.0,25:16,2017,2018
2017-18,1627761,DeAndre' Bembry,DeAndre',1610612737,ATL,Atlanta Hawks,21701214,2018-04-10T00:00:00,ATL vs. PHI,L,22.45,2,0,4,6,2,6,7,14,0,0,2,3,35.3,1,13054,13054,13054,14000,6347,9889,1706,5708,2610,13576,16621,6669,8133,1,11691,4452,3736,1.0,22:27,2017,2018
2017-18,1627752,Taurean Prince,Taurean,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10T00:00:00,ATL vs. PHI,L,31.046666666666667,3,0,2,4,7,10,15,26,0,1,1,1,40.8,1,13054,13054,13054,6375,4321,9889,4430,8975,11872,20971,24627,16536,8133,17404,5153,12172,2231,1.0,31:03,2017,2018
2017-18,1628499,Antonius Cleveland,Antonius,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10T00:00:00,ATL vs. PHI,L,12.7,0,0,0,0,6,7,3,12,0,0,6,0,5.0,1,13054,13054,13054,21385,12040,9889,9215,19152,9851,15942,8396,5314,8133,1,25886,18674,22703,1.0,12:42,2017,2018
2017-18,203488,Mike Muscala,Mike,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10T00:00:00,ATL vs. PHI,L,23.29,0,7,0,2,6,11,5,22,0,0,1,2,16.8,1,13054,13054,13054,13280,12040,304,9215,13399,9851,22147,12692,13204,8133,1,5153,7539,14450,1.0,23:17,2017,2018
2017-18,1627814,Damion Lee,Damion,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10T00:00:00,ATL vs. PHI,L,28.98333333333333,0,1,2,6,7,9,10,26,0,2,4,2,13.6,1,13054,13054,13054,8152,12040,9497,4430,5708,11872,19633,20944,16536,8133,23707,22329,7539,16852,1.0,28:59,2017,2018
2017-18,203101,Miles Plumlee,Miles,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10T00:00:00,ATL vs. PHI,L,16.573333333333334,0,0,2,2,3,7,5,16,0,0,2,1,7.6,1,13054,13054,13054,18849,12040,9889,4430,13399,4813,15942,12692,8165,8133,1,11691,12172,21034,1.0,16:34,2017,2018
2017-18,1628416,Tyler Dorsey,Tyler,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10T00:00:00,ATL vs. PHI,L,20.87,4,0,0,2,6,12,5,26,0,0,2,2,23.9,1,13054,13054,13054,15335,2585,9889,9215,13399,9851,23073,12692,16536,8133,1,11691,7539,9410,1.0,20:52,2017,2018
2017-18,1628381,John Collins,John,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10T00:00:00,ATL vs. PHI,L,30.876666666666665,4,2,2,8,10,11,10,26,0,0,2,5,32.3,1,13054,13054,13054,6506,2585,4626,4430,3447,17328,22147,20944,16536,8133,1,11691,1543,4911,1.0,30:53,2017,2018
2017-18,1627819,Isaiah Taylor,Isaiah,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10T00:00:00,ATL vs. PHI,L,27.95,2,2,0,8,11,10,5,28,0,4,3,1,19.6,1,13054,13054,13054,9058,6347,4626,9215,3447,18786,20971,12692,18040,8133,25989,17900,12172,12309,1.0,27:57,2017,2018
2017-18,203488,Mike Muscala,Mike,1610612737,ATL,Atlanta Hawks,21701202,2018-04-08T00:00:00,ATL @ BOS,W,28.895,0,2,0,2,6,8,4,28,0,0,1,2,17.1,1,1,1,1,8239,12040,4626,9215,13399,9851,17775,9893,18040,8133,1,5153,7539,14216,1.0,28:54,2017,2018
2017-18,1628416,Tyler Dorsey,Tyler,1610612737,ATL,Atlanta Hawks,21701202,2018-04-08T00:00:00,ATL @ BOS,W,24.405,0,0,0,4,8,6,4,36,0,1,1,2,9.4,1,1,1,1,12275,12040,9889,9215,8975,13769,13576,9893,22943,8133,17404,5153,7539,19844,1.0,24:24,2017,2018
