season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2017-18,202734,E'Twaun Moore,E'Twaun,1610612740,NOP,New Orleans Pelicans,41700235,2018-05-08T00:00:00,NOP @ GSW,L,40.405,0.0,0.0,1.8,5.3,19.6,10.7,20.5,33.9,0.0,0.9,2.7,1.8,12.8,1,856,856,856,111,735,632,566,784,1517,1162,1592,803,540,1192,819,992,1485,1,40:24,2017,2018
2017-18,203076,Anthony Davis,Anthony,1610612740,NOP,New Orleans Pelicans,41700235,2018-05-08T00:00:00,NOP @ GSW,L,45.7,4.7,3.9,6.3,15.8,18.9,9.5,20.5,33.1,2.4,0.0,1.6,7.9,53.0,1,856,856,856,13,250,284,113,136,1494,1037,1591,856,141,1,490,83,122,1,45:42,2017,2018
2017-18,202703,Nikola Mirotic,Nikola,1610612740,NOP,New Orleans Pelicans,41700235,2018-05-08T00:00:00,NOP @ GSW,L,37.41666666666666,2.9,0.0,2.9,1.9,20.2,7.7,20.2,32.7,0.0,0.0,1.0,1.9,20.1,1,856,856,856,235,494,632,398,1178,1536,837,1583,882,540,1,365,959,1237,1,37:25,2017,2018
2017-18,203121,Darius Miller,Darius,1610612740,NOP,New Orleans Pelicans,41700235,2018-05-08T00:00:00,NOP @ GSW,L,16.933333333333334,0.0,0.0,0.0,4.3,10.6,8.5,17.0,25.5,0.0,0.0,2.1,0.0,10.6,1,856,856,856,1134,735,632,600,913,863,932,1476,1281,540,1,643,1191,1533,1,16:56,2017,2018
2017-18,203524,Solomon Hill,Solomon,1610612740,NOP,New Orleans Pelicans,41700235,2018-05-08T00:00:00,NOP @ GSW,L,2.8116666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,57.6,1,856,856,856,1617,735,632,600,1194,1,1,1,1663,6,1,1,1191,80,1,2:49,2017,2018
2017-18,203546,Ian Clark,Ian,1610612740,NOP,New Orleans Pelicans,41700235,2018-05-08T00:00:00,NOP @ GSW,L,29.666666666666668,2.4,0.0,0.0,7.3,6.1,9.7,9.7,26.7,0.0,0.0,1.2,0.0,25.8,1,856,856,856,641,566,632,600,612,469,1064,1053,1217,540,1,431,1191,975,1,29:40,2017,2018
2017-18,201950,Jrue Holiday,Jrue,1610612740,NOP,New Orleans Pelicans,41700235,2018-05-08T00:00:00,NOP @ GSW,L,46.13333333333333,0.0,0.0,1.6,14.0,18.7,9.4,20.3,32.8,0.0,0.8,2.3,3.1,42.5,1,856,856,856,11,735,632,587,186,1481,1029,1586,876,540,1152,717,648,324,1,46:08,2017,2018
2017-18,200765,Rajon Rondo,Rajon,1610612740,NOP,New Orleans Pelicans,41700235,2018-05-08T00:00:00,NOP @ GSW,L,20.933333333333334,3.4,0.0,6.9,3.4,32.7,6.9,31.0,34.4,0.0,0.0,1.7,0.0,46.3,1,856,856,856,969,414,632,90,1013,1673,735,1688,777,540,1,522,1191,225,1,20:56,2017,2018
2017-18,203121,Darius Miller,Darius,1610612740,NOP,New Orleans Pelicans,41700234,2018-05-06T00:00:00,NOP vs. GSW,L,14.89,0.0,0.0,0.0,0.0,9.7,14.5,4.8,24.2,0.0,0.0,0.0,0.0,16.0,1,856,856,856,1224,735,632,600,1194,761,1442,567,1346,540,1,1,1191,1391,1,14:53,2017,2018
2017-18,1627767,Cheick Diallo,Cheick,1610612740,NOP,New Orleans Pelicans,41700234,2018-05-06T00:00:00,NOP vs. GSW,L,4.183333333333334,0.0,0.0,0.0,0.0,0.0,8.6,17.2,17.2,0.0,0.0,17.2,0.0,25.8,1,856,856,856,1552,735,632,600,1194,1,943,1482,1588,540,1,1707,1191,977,1,4:11,2017,2018
2017-18,202732,DeAndre Liggins,DeAndre,1610612740,NOP,New Orleans Pelicans,41700234,2018-05-06T00:00:00,NOP vs. GSW,L,4.033333333333333,0.0,0.0,0.0,0.0,0.0,8.9,17.9,17.9,0.0,0.0,0.0,0.0,1.8,1,856,856,856,1561,735,632,600,1194,1,984,1513,1576,540,1,1,1191,1623,1,4:02,2017,2018
2017-18,203076,Anthony Davis,Anthony,1610612740,NOP,New Orleans Pelicans,41700234,2018-05-06T00:00:00,NOP vs. GSW,L,39.93,1.8,3.6,1.8,12.6,17.1,3.6,11.7,28.9,1.8,0.0,3.6,5.4,40.5,1,856,856,856,127,694,318,561,246,1391,415,1189,1120,248,1,1097,262,376,1,39:56,2017,2018
