season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2019-20,203926,Doug McDermott,Doug,1610612754,IND,Indiana Pacers,41900134,2020-08-24T00:00:00,IND @ MIA,L,51.2,0.0,0.0,0.0,0.0,12.5,25.0,18.8,50.0,0.0,0.0,0.0,0.0,18.8,1,853,853,853,312,745,608,570,1152,682,1562,1429,374,511,1,1,1171,1451,1,8:12,2019,2020
2019-20,1626167,Myles Turner,Myles,1610612754,IND,Indiana Pacers,41900134,2020-08-24T00:00:00,IND @ MIA,L,50.6,2.4,7.2,0.0,14.5,8.4,14.5,8.4,53.0,6.0,1.2,3.6,3.6,66.0,1,853,853,853,414,695,154,570,260,393,1186,796,292,36,1206,761,736,173,1,41:58,2019,2020
2019-20,203933,T.J. Warren,T.J.,1610612754,IND,Indiana Pacers,41900134,2020-08-24T00:00:00,IND @ MIA,L,49.7,2.5,2.5,5.0,10.0,10.0,15.0,5.0,52.5,0.0,1.3,6.3,2.5,36.3,1,853,853,853,567,681,533,240,496,494,1225,487,318,511,1228,1251,930,954,1,39:48,2019,2020
2019-20,1627763,Malcolm Brogdon,Malcolm,1610612754,IND,Indiana Pacers,41900134,2020-08-24T00:00:00,IND @ MIA,L,49.7,3.8,0.0,0.0,2.5,10.0,15.0,5.0,52.5,0.0,1.3,2.5,2.5,36.6,1,853,853,853,567,500,608,570,1129,494,1225,487,318,511,1228,538,930,944,1,39:48,2019,2020
2019-20,203200,Justin Holiday,Justin,1610612754,IND,Indiana Pacers,41900134,2020-08-24T00:00:00,IND @ MIA,L,51.2,0.0,0.0,0.0,0.0,9.3,16.0,9.3,56.0,1.3,0.0,0.0,0.0,15.2,1,853,853,853,323,745,608,570,1152,452,1287,885,210,426,1,1,1171,1509,1,38:24,2019,2020
2019-20,1628988,Aaron Holiday,Aaron,1610612754,IND,Indiana Pacers,41900134,2020-08-24T00:00:00,IND @ MIA,L,46.9,0.0,0.0,0.0,0.0,18.5,29.6,11.1,51.9,0.0,0.0,0.0,0.0,13.0,1,853,853,853,1074,745,608,570,1152,1136,1627,1013,341,511,1,1,1171,1533,1,12:40,2019,2020
2019-20,203960,JaKarr Sampson,JaKarr,1610612754,IND,Indiana Pacers,41900134,2020-08-24T00:00:00,IND @ MIA,L,43.1,0.0,0.0,0.0,0.0,21.4,28.6,0.0,42.9,0.0,0.0,7.1,0.0,12.1,1,853,853,853,1554,745,608,570,1152,1308,1614,1,696,511,1,1356,1171,1543,1,6:02,2019,2020
2019-20,1628410,Edmond Sumner,Edmond,1610612754,IND,Indiana Pacers,41900134,2020-08-24T00:00:00,IND @ MIA,L,45.7,0.0,0.0,0.0,0.0,14.3,19.0,0.0,38.1,0.0,0.0,9.5,0.0,-4.8,1,853,853,853,1275,745,608,570,1152,811,1415,1,941,511,1,1516,1171,1685,1,9:36,2019,2020
2019-20,203506,Victor Oladipo,Victor,1610612754,IND,Indiana Pacers,41900134,2020-08-24T00:00:00,IND @ MIA,L,51.2,9.4,2.4,5.9,9.4,8.2,14.1,8.2,51.8,0.0,1.2,3.5,5.9,62.5,1,853,853,853,320,115,561,179,545,385,1164,779,345,511,1193,746,419,222,1,43:32,2019,2020
2019-20,203960,JaKarr Sampson,JaKarr,1610612754,IND,Indiana Pacers,41900133,2020-08-22T00:00:00,IND @ MIA,L,47.3,0.0,0.0,0.0,0.0,14.3,9.5,0.0,38.1,0.0,0.0,19.0,0.0,26.7,1,853,853,853,1004,745,608,570,1152,811,805,1,941,511,1,1671,1171,1271,1,9:56,2019,2020
2019-20,203200,Justin Holiday,Justin,1610612754,IND,Indiana Pacers,41900133,2020-08-22T00:00:00,IND @ MIA,L,45.5,0.0,0.0,4.2,0.0,14.1,5.6,5.6,36.6,1.4,1.4,2.8,1.4,28.3,1,853,853,853,1307,745,608,306,1152,803,480,534,1016,397,1300,614,1127,1229,1,32:18,2019,2020
2019-20,1626167,Myles Turner,Myles,1610612754,IND,Indiana Pacers,41900133,2020-08-22T00:00:00,IND @ MIA,L,44.8,0.0,7.1,0.0,7.1,16.5,9.4,8.2,35.3,3.5,0.0,4.7,4.7,44.6,1,853,853,853,1387,745,166,570,755,973,798,779,1077,123,1,976,564,636,1,38:04,2019,2020
2019-20,1627763,Malcolm Brogdon,Malcolm,1610612754,IND,Indiana Pacers,41900133,2020-08-22T00:00:00,IND @ MIA,L,45.6,5.3,2.1,0.0,10.6,18.1,10.6,7.4,38.3,0.0,0.0,5.3,6.4,68.5,1,853,853,853,1285,336,582,570,458,1105,908,703,931,511,1,1102,371,153,1,42:54,2019,2020
2019-20,203506,Victor Oladipo,Victor,1610612754,IND,Indiana Pacers,41900133,2020-08-22T00:00:00,IND @ MIA,L,47.0,2.8,0.0,8.3,13.9,20.8,11.1,9.7,36.1,0.0,0.0,8.3,1.4,36.5,1,853,853,853,1065,631,608,82,277,1269,940,913,1036,511,1,1457,1129,947,1,33:48,2019,2020
2019-20,1628988,Aaron Holiday,Aaron,1610612754,IND,Indiana Pacers,41900133,2020-08-22T00:00:00,IND @ MIA,L,43.5,3.9,0.0,3.9,11.8,9.8,11.8,5.9,35.3,0.0,0.0,7.8,3.9,31.8,1,853,853,853,1519,479,608,333,379,489,994,551,1077,511,1,1429,680,1116,1,22:11,2019,2020
2019-20,204456,T.J. McConnell,T.J.,1610612754,IND,Indiana Pacers,41900133,2020-08-22T00:00:00,IND @ MIA,L,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,42.0,1,853,853,853,1118,745,608,570,1152,1,1,1,1524,511,1,1,1171,728,1,4:40,2019,2020
2019-20,203933,T.J. Warren,T.J.,1610612754,IND,Indiana Pacers,41900133,2020-08-22T00:00:00,IND @ MIA,L,45.4,6.7,0.0,12.4,9.0,16.9,11.2,7.9,36.0,1.1,1.1,4.5,5.6,54.2,1,853,853,853,1321,236,608,29,578,999,957,735,1045,498,1177,938,454,374,1,40:22,2019,2020
2019-20,203926,Doug McDermott,Doug,1610612754,IND,Indiana Pacers,41900133,2020-08-22T00:00:00,IND @ MIA,L,49.3,6.3,0.0,0.0,6.3,18.8,6.3,0.0,37.5,0.0,0.0,6.3,0.0,6.3,1,853,853,853,639,262,608,570,812,1148,531,1,968,511,1,1251,1171,1584,1,15:47,2019,2020
2019-20,203933,T.J. Warren,T.J.,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,49.9,5.2,7.8,5.2,13.0,16.9,14.3,6.5,39.0,0.0,0.0,3.9,1.3,30.8,1,853,853,853,538,346,136,223,314,1004,1166,616,896,511,1,825,1149,1145,1,38:25,2019,2020
2019-20,1628993,Alize Johnson,Alize,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,853,853,853,1678,745,608,570,1152,1,1,1,1611,511,1,1,1171,1602,1,0:12,2019,2020
2019-20,1628410,Edmond Sumner,Edmond,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,43.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,22.2,0.0,22.2,0.0,0.0,0.0,1,853,853,853,1563,745,608,570,1152,1346,1,1,1492,511,1692,1,1171,1602,1,3:52,2019,2020
2019-20,203506,Victor Oladipo,Victor,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,49.5,2.7,0.0,0.0,2.7,14.9,14.9,6.8,35.1,0.0,0.0,5.4,6.8,39.5,1,853,853,853,618,644,608,570,1109,852,1220,640,1087,511,1,1113,335,835,1,36:36,2019,2020
2019-20,1627763,Malcolm Brogdon,Malcolm,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,49.7,6.6,2.6,3.9,5.3,17.1,14.5,6.6,36.8,0.0,0.0,2.6,7.9,48.0,1,853,853,853,570,242,510,330,895,1025,1188,620,1004,511,1,563,238,528,1,37:48,2019,2020
2019-20,204456,T.J. McConnell,T.J.,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,46.4,0.0,0.0,0.0,9.1,18.2,9.1,13.6,27.3,0.0,0.0,9.1,0.0,29.1,1,853,853,853,1179,745,608,570,562,1106,762,1204,1377,511,1,1494,1171,1203,1,10:12,2019,2020
2019-20,203960,JaKarr Sampson,JaKarr,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,48.9,0.0,11.4,5.7,17.1,22.9,5.7,5.7,28.6,0.0,0.0,11.4,0.0,60.6,1,853,853,853,708,745,58,187,180,1382,490,537,1329,511,1,1583,1171,247,1,17:07,2019,2020
2019-20,203926,Doug McDermott,Doug,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,47.3,0.0,0.0,0.0,7.1,21.4,7.1,10.7,42.9,0.0,3.6,3.6,0.0,22.9,1,853,853,853,996,745,608,570,741,1308,594,991,696,511,1602,749,1171,1362,1,13:15,2019,2020
2019-20,203200,Justin Holiday,Justin,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,47.9,3.3,3.3,0.0,3.3,20.0,8.3,8.3,20.0,3.3,0.0,3.3,1.7,57.3,1,853,853,853,899,560,426,570,1047,1223,698,783,1524,136,1,709,1079,298,1,28:43,2019,2020
2019-20,1626167,Myles Turner,Myles,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,49.1,7.5,0.0,0.0,11.9,13.4,16.4,9.0,38.8,7.5,0.0,4.5,3.0,62.1,1,853,853,853,680,189,608,570,373,751,1308,846,904,19,1,934,836,229,1,32:53,2019,2020
2019-20,1628988,Aaron Holiday,Aaron,1610612754,IND,Indiana Pacers,41900132,2020-08-20T00:00:00,IND vs. MIA,L,49.9,9.5,0.0,0.0,9.5,16.7,23.8,14.3,42.9,0.0,2.4,4.8,0.0,58.8,1,853,853,853,540,108,608,570,534,976,1549,1229,696,511,1480,980,1171,277,1,20:57,2019,2020
2019-20,203926,Doug McDermott,Doug,1610612754,IND,Indiana Pacers,41900131,2020-08-18T00:00:00,IND vs. MIA,L,53.6,0.0,0.0,0.0,0.0,31.3,28.1,18.8,43.8,0.0,3.1,0.0,0.0,17.8,1,853,853,853,103,745,608,570,1152,1592,1612,1429,671,511,1564,1,1171,1469,1,17:10,2019,2020
2019-20,1628988,Aaron Holiday,Aaron,1610612754,IND,Indiana Pacers,41900131,2020-08-18T00:00:00,IND vs. MIA,L,53.7,0.0,10.0,0.0,13.3,23.3,23.3,13.3,46.7,0.0,3.3,13.3,6.7,52.0,1,853,853,853,98,745,81,570,295,1402,1541,1176,538,511,1581,1612,341,420,1,16:07,2019,2020
2019-20,203960,JaKarr Sampson,JaKarr,1610612754,IND,Indiana Pacers,41900131,2020-08-18T00:00:00,IND vs. MIA,L,53.9,0.0,0.0,6.5,19.4,22.6,22.6,6.5,45.2,0.0,0.0,3.2,0.0,55.2,1,853,853,853,91,745,608,149,121,1369,1526,605,601,511,1,686,1171,350,1,16:43,2019,2020
2019-20,203506,Victor Oladipo,Victor,1610612754,IND,Indiana Pacers,41900131,2020-08-18T00:00:00,IND vs. MIA,L,47.6,11.1,0.0,0.0,0.0,22.2,16.7,33.3,55.6,0.0,0.0,5.6,11.1,33.3,1,853,853,853,952,56,608,570,1152,1346,1311,1654,217,511,1,1131,82,1069,1,8:34,2019,2020
