season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2019-20,1629599,Amir Coffey,Amir,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,49.6,9.0,0.0,6.0,10.0,27.0,8.0,10.0,36.0,1.0,1.0,6.0,4.0,42.4,1,1,1,1,4,151,8762,589,2131,22354,14533,17112,2688,2205,14867,22115,2590,1981,1,49:38,2019,2020
2019-20,203585,Rodney McGruder,Rodney,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,51.3,7.0,0.0,3.0,2.0,30.0,10.0,10.0,42.0,0.0,1.0,0.0,4.0,29.2,1,1,1,1,2,483,8762,2754,11792,22385,17442,17112,1075,7040,14867,1,2590,6011,1,51:16,2019,2020
2019-20,1627826,Ivica Zubac,Ivica,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,10.7,0.0,0.0,0.0,2.0,6.0,2.0,3.0,8.0,1.0,0.0,1.0,3.0,12.8,1,1,1,1,19281,10480,8762,8535,11792,8084,2979,6060,19226,2205,1,4186,4183,15211,1,10:42,2019,2020
2019-20,203210,JaMychal Green,JaMychal,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,27.4,3.0,3.0,5.0,4.0,19.0,4.0,5.0,20.0,0.0,0.0,3.0,2.0,22.6,1,1,1,1,8389,3755,2700,1076,8033,21544,7036,9351,12016,7040,1,14861,6771,9335,1,27:25,2019,2020
2019-20,202335,Patrick Patterson,Patrick,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,38.9,3.0,1.0,3.0,0.0,24.0,8.0,5.0,32.0,0.0,2.0,3.0,4.0,31.8,1,1,1,1,633,3755,8383,2754,16693,22245,14533,9351,4493,7040,20277,14861,2590,5004,1,38:54,2019,2020
2019-20,201149,Joakim Noah,Joakim,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,29.0,0.0,0.0,0.0,8.0,11.0,6.0,7.0,24.0,0.0,0.0,1.0,2.0,22.7,1,1,1,1,7204,10480,8762,8535,3462,15812,10998,12903,9345,7040,1,4186,6771,9280,1,28:59,2019,2020
2019-20,202704,Reggie Jackson,Reggie,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,16.2,0.0,3.0,0.0,2.0,9.0,4.0,2.0,14.0,0.0,1.0,3.0,1.0,10.9,1,1,1,1,16477,10480,2700,8535,11792,12971,7036,3324,16079,7040,14867,14861,10668,16386,1,16:12,2019,2020
2019-20,1629611,Terance Mann,Terance,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,41.9,5.0,2.0,3.0,14.0,24.0,8.0,8.0,34.0,0.0,1.0,5.0,9.0,58.3,1,1,1,1,159,1452,4352,2754,804,22245,14533,14453,3519,7040,14867,20977,173,336,1,41:54,2019,2020
2019-20,201149,Joakim Noah,Joakim,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,2.2,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,21835,10480,8762,8535,16693,3916,2716,1,21884,7040,1,4186,16138,21711,1,2:14,2019,2020
2019-20,202335,Patrick Patterson,Patrick,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,21.9,0.0,0.0,0.0,2.0,7.0,8.0,6.0,26.0,0.0,0.0,3.0,0.0,16.9,1,1,1,1,12595,10480,8762,8535,11792,9778,14533,11172,8054,7040,1,14861,16138,12717,1,21:51,2019,2020
2019-20,202331,Paul George,Paul,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,36.1,5.0,0.0,4.0,8.0,4.0,16.0,8.0,42.0,0.0,1.0,0.0,5.0,44.8,1,1,1,1,1967,1452,8762,1751,3462,4862,21646,14453,1075,7040,14867,1,1560,1554,1,36:06,2019,2020
2019-20,1629599,Amir Coffey,Amir,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,1,1,1,21931,10480,8762,8535,16693,3916,1,1,21884,7040,1,1,16138,20571,1,1:59,2019,2020
2019-20,1629611,Terance Mann,Terance,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,2.2,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1,1,1,1,21835,10480,8762,8535,16693,3916,2716,1,21884,7040,1,1,16138,20447,1,2:14,2019,2020
2019-20,202704,Reggie Jackson,Reggie,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,29.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,32.0,0.0,0.0,4.0,0.0,21.4,1,1,1,1,7162,10480,8762,8535,16693,1,16129,7332,4493,7040,1,18631,16138,10016,1,29:02,2019,2020
2019-20,202694,Marcus Morris Sr.,Marcus,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,29.6,0.0,4.0,0.0,0.0,0.0,9.0,6.0,32.0,0.0,0.0,3.0,0.0,19.0,1,1,1,1,6744,10480,1473,8535,16693,1,16129,11172,4493,7040,1,14861,16138,11492,1,29:35,2019,2020
2019-20,202695,Kawhi Leonard,Kawhi,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,33.4,6.0,0.0,2.0,6.0,0.0,7.0,8.0,36.0,0.0,0.0,4.0,7.0,41.5,1,1,1,1,3890,832,8762,4500,5337,1,12922,14453,2688,7040,1,18631,541,2140,1,33:22,2019,2020
2019-20,1627826,Ivica Zubac,Ivica,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,21.3,2.0,3.0,0.0,14.0,0.0,5.0,4.0,18.0,0.0,0.0,3.0,2.0,32.4,1,1,1,1,13025,5634,2700,8535,804,1,9402,7332,13389,7040,1,14861,6771,4764,1,21:16,2019,2020
2019-20,203585,Rodney McGruder,Rodney,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,16.6,0.0,2.0,0.0,2.0,7.0,8.0,4.0,18.0,0.0,1.0,1.0,0.0,10.1,1,1,1,1,16168,10480,4352,8535,11792,9778,14533,7332,13389,7040,14867,4186,16138,16848,1,16:38,2019,2020
2019-20,203210,JaMychal Green,JaMychal,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,21.1,0.0,0.0,0.0,0.0,4.0,11.0,4.0,28.0,1.0,0.0,4.0,0.0,15.3,1,1,1,1,13174,10480,8762,8535,16693,4862,18508,7332,6778,2205,1,18631,16138,13691,1,21:04,2019,2020
2019-20,101150,Lou Williams,Lou,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,24.7,9.0,0.0,5.0,10.0,4.0,10.0,6.0,28.0,0.0,1.0,2.0,5.0,36.9,1,1,1,1,10495,151,8762,1076,2131,4862,17442,11172,6778,7040,14867,9590,1560,3214,1,24:39,2019,2020
2019-20,101150,Lou Williams,Lou,1610612746,LAC,LA Clippers,21901291,2020-08-09T00:00:00,LAC vs. BKN,L,23.0,3.0,3.0,5.0,4.0,9.0,9.0,12.0,22.0,1.0,1.0,0.0,4.0,33.1,1,11184,11184,11184,11708,3755,2700,1076,8033,12971,16129,18986,10650,2205,14867,1,2590,4505,1,23:02,2019,2020
2019-20,203585,Rodney McGruder,Rodney,1610612746,LAC,LA Clippers,21901291,2020-08-09T00:00:00,LAC vs. BKN,L,15.6,0.0,0.0,0.0,4.0,7.0,3.0,7.0,14.0,0.0,0.0,3.0,1.0,9.3,1,11184,11184,11184,16818,10480,8762,8535,8033,9778,5839,12903,16079,7040,1,14861,10668,17321,1,15:39,2019,2020
2019-20,202335,Patrick Patterson,Patrick,1610612746,LAC,LA Clippers,21901291,2020-08-09T00:00:00,LAC vs. BKN,L,17.6,3.0,0.0,0.0,6.0,7.0,5.0,7.0,20.0,0.0,1.0,0.0,2.0,13.4,1,11184,11184,11184,15570,3755,8762,8535,5337,9778,9402,12903,12016,7040,14867,1,6771,14875,1,17:35,2019,2020
2019-20,202704,Reggie Jackson,Reggie,1610612746,LAC,LA Clippers,21901291,2020-08-09T00:00:00,LAC vs. BKN,L,14.5,0.0,0.0,0.0,0.0,2.0,3.0,5.0,16.0,0.0,1.0,2.0,0.0,9.7,1,11184,11184,11184,17485,10480,8762,8535,16693,2061,5839,9351,14799,7040,14867,9590,16138,17076,1,14:32,2019,2020
2019-20,203210,JaMychal Green,JaMychal,1610612746,LAC,LA Clippers,21901291,2020-08-09T00:00:00,LAC vs. BKN,L,21.6,3.0,0.0,2.0,2.0,7.0,3.0,7.0,22.0,0.0,1.0,2.0,1.0,15.1,1,11184,11184,11184,12748,3755,8762,4500,11792,9778,5839,12903,10650,7040,14867,9590,10668,13818,1,21:39,2019,2020
2019-20,202695,Kawhi Leonard,Kawhi,1610612746,LAC,LA Clippers,21901291,2020-08-09T00:00:00,LAC vs. BKN,L,36.8,5.0,3.0,8.0,14.0,6.0,14.0,12.0,40.0,0.0,0.0,3.0,12.0,60.4,1,11184,11184,11184,1543,1452,2700,222,804,8084,20862,18986,1496,7040,1,14861,23,243,1,36:51,2019,2020
2019-20,202694,Marcus Morris Sr.,Marcus,1610612746,LAC,LA Clippers,21901291,2020-08-09T00:00:00,LAC vs. BKN,L,30.9,4.0,3.0,0.0,2.0,4.0,13.0,10.0,30.0,0.0,0.0,2.0,1.0,24.8,1,11184,11184,11184,5697,2371,2700,8535,11792,4862,20237,17112,5582,7040,1,9590,10668,8133,1,30:54,2019,2020
2019-20,1629611,Terance Mann,Terance,1610612746,LAC,LA Clippers,21901291,2020-08-09T00:00:00,LAC vs. BKN,L,23.2,3.0,0.0,0.0,8.0,5.0,9.0,5.0,20.0,0.0,0.0,3.0,1.0,17.6,1,11184,11184,11184,11604,3755,8762,8535,3462,6617,16129,9351,12016,7040,1,14861,10668,12307,1,23:10,2019,2020
2019-20,1627826,Ivica Zubac,Ivica,1610612746,LAC,LA Clippers,21901291,2020-08-09T00:00:00,LAC vs. BKN,L,24.6,0.0,4.0,0.0,8.0,4.0,12.0,10.0,22.0,1.0,1.0,3.0,1.0,32.0,1,11184,11184,11184,10574,10480,1473,8535,3462,4862,19531,17112,10650,2205,14867,14861,10668,4914,1,24:33,2019,2020
