season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2019-20,203095,Evan Fournier,Evan,1610612753,ORL,Orlando Magic,41900105,2020-08-29T00:00:00,ORL @ MIL,L,44.3,4.1,5.4,0.0,2.7,17.6,18.9,9.5,48.6,1.4,1.4,1.4,5.4,43.6,1,853,853,853,1445,467,261,570,1109,1068,1410,891,455,416,1275,359,476,671,1,32:48,2019,2020
2019-20,203516,James Ennis III,James,1610612753,ORL,Orlando Magic,41900105,2020-08-29T00:00:00,ORL @ MIL,L,44.5,0.0,0.0,0.0,8.8,23.5,13.2,10.3,50.0,0.0,1.5,8.8,0.0,20.1,1,853,853,853,1419,745,608,570,589,1410,1104,957,374,511,1321,1486,1171,1422,1,30:18,2019,2020
2019-20,1628365,Markelle Fultz,Markelle,1610612753,ORL,Orlando Magic,41900105,2020-08-29T00:00:00,ORL @ MIL,L,44.5,0.0,0.0,2.8,8.3,22.2,16.7,9.7,47.2,1.4,0.0,4.2,2.8,34.3,1,853,853,853,1424,745,608,456,615,1346,1311,913,516,404,1,883,877,1024,1,32:02,2019,2020
2019-20,202696,Nikola Vučević,Nikola,1610612753,ORL,Orlando Magic,41900105,2020-08-29T00:00:00,ORL @ MIL,L,45.4,9.2,3.4,0.0,11.5,18.4,18.4,8.0,43.7,0.0,1.1,2.3,1.1,56.9,1,853,853,853,1310,127,412,570,403,1127,1393,761,673,511,1185,499,1164,311,1,39:32,2019,2020
2019-20,1629109,Gary Clark,Gary,1610612753,ORL,Orlando Magic,41900105,2020-08-29T00:00:00,ORL @ MIL,L,45.3,0.0,1.9,0.0,0.0,22.6,11.3,11.3,49.1,0.0,0.0,1.9,3.8,18.3,1,853,853,853,1335,745,589,570,1152,1375,964,1039,441,511,1,447,704,1460,1,23:59,2019,2020
2019-20,1628411,Wes Iwundu,Wes,1610612753,ORL,Orlando Magic,41900105,2020-08-29T00:00:00,ORL @ MIL,L,45.9,9.4,0.0,0.0,0.0,0.0,6.3,6.3,18.8,0.0,3.1,3.1,6.3,32.5,1,853,853,853,1239,118,608,570,1152,1,531,583,1547,511,1564,675,381,1088,1,14:42,2019,2020
2019-20,203920,Khem Birch,Khem,1610612753,ORL,Orlando Magic,41900105,2020-08-29T00:00:00,ORL @ MIL,L,46.2,0.0,4.8,0.0,4.8,0.0,16.7,4.8,19.0,0.0,0.0,7.1,4.8,31.4,1,853,853,853,1211,745,305,570,941,1,1311,477,1541,511,1,1356,549,1127,1,19:24,2019,2020
2019-20,201571,D.J. Augustin,D.J.,1610612753,ORL,Orlando Magic,41900105,2020-08-29T00:00:00,ORL @ MIL,L,44.5,7.4,5.6,9.3,7.4,3.7,18.5,9.3,25.9,0.0,0.0,1.9,7.4,36.5,1,853,853,853,1418,192,246,65,715,212,1397,879,1417,511,1,442,272,949,1,24:03,2019,2020
2019-20,203082,Terrence Ross,Terrence,1610612753,ORL,Orlando Magic,41900105,2020-08-29T00:00:00,ORL @ MIL,L,44.6,0.0,0.0,0.0,0.0,9.6,7.7,3.8,26.9,0.0,0.0,9.6,3.8,46.5,1,853,853,853,1411,745,608,570,1152,469,633,420,1393,511,1,1522,687,575,1,23:12,2019,2020
2019-20,1629109,Gary Clark,Gary,1610612753,ORL,Orlando Magic,41900104,2020-08-24T00:00:00,ORL vs. MIL,L,45.6,5.1,0.0,5.1,0.0,6.8,15.3,8.5,37.3,1.7,0.0,0.0,0.0,33.4,1,853,853,853,1283,359,608,233,1152,300,1243,804,980,313,1,1,1171,1068,1,26:56,2019,2020
2019-20,203516,James Ennis III,James,1610612753,ORL,Orlando Magic,41900104,2020-08-24T00:00:00,ORL vs. MIL,L,46.9,0.0,0.0,0.0,0.0,12.2,22.4,8.2,49.0,2.0,0.0,6.1,2.0,39.0,1,853,853,853,1081,745,608,570,1152,669,1520,769,442,268,1,1240,1015,861,1,22:58,2019,2020
2019-20,203082,Terrence Ross,Terrence,1610612753,ORL,Orlando Magic,41900104,2020-08-24T00:00:00,ORL vs. MIL,L,46.6,4.5,0.0,0.0,0.0,19.4,11.9,7.5,35.8,0.0,0.0,0.0,6.0,41.9,1,853,853,853,1134,430,608,570,1152,1202,1015,705,1053,511,1,1,411,734,1,31:14,2019,2020
2019-20,1628365,Markelle Fultz,Markelle,1610612753,ORL,Orlando Magic,41900104,2020-08-24T00:00:00,ORL vs. MIL,L,47.7,3.0,0.0,10.6,12.1,13.6,19.7,6.1,39.4,0.0,3.0,9.1,3.0,52.3,1,853,853,853,941,587,608,50,360,762,1440,568,885,511,1561,1494,826,412,1,31:27,2019,2020
2019-20,203095,Evan Fournier,Evan,1610612753,ORL,Orlando Magic,41900104,2020-08-24T00:00:00,ORL vs. MIL,L,45.6,1.3,0.0,0.0,2.6,7.7,16.7,9.0,41.0,2.6,0.0,6.4,2.6,43.7,1,853,853,853,1284,739,608,570,1125,333,1311,849,786,200,1,1275,921,666,1,35:36,2019,2020
2019-20,203920,Khem Birch,Khem,1610612753,ORL,Orlando Magic,41900104,2020-08-24T00:00:00,ORL vs. MIL,L,47.6,0.0,0.0,0.0,5.4,29.7,10.8,13.5,37.8,0.0,0.0,5.4,5.4,25.7,1,853,853,853,951,745,608,570,884,1560,922,1196,954,511,1,1113,476,1298,1,17:37,2019,2020
2019-20,202696,Nikola Vučević,Nikola,1610612753,ORL,Orlando Magic,41900104,2020-08-24T00:00:00,ORL vs. MIL,L,46.4,0.0,2.4,0.0,7.3,15.9,20.7,7.3,43.9,2.4,1.2,3.7,6.1,72.8,1,853,853,853,1175,745,543,570,729,928,1480,690,664,220,1213,770,403,106,1,38:02,2019,2020
2019-20,201571,D.J. Augustin,D.J.,1610612753,ORL,Orlando Magic,41900104,2020-08-24T00:00:00,ORL vs. MIL,L,46.7,1.8,5.4,0.0,3.6,21.4,10.7,12.5,42.9,0.0,3.6,3.6,3.6,20.9,1,853,853,853,1116,727,267,570,1028,1308,914,1126,696,511,1602,749,740,1405,1,26:09,2019,2020
2019-20,1628411,Wes Iwundu,Wes,1610612753,ORL,Orlando Magic,41900104,2020-08-24T00:00:00,ORL vs. MIL,L,47.7,0.0,0.0,0.0,0.0,52.4,19.0,9.5,38.1,0.0,0.0,9.5,4.8,15.2,1,853,853,853,935,745,608,570,1152,1685,1415,894,941,511,1,1516,549,1508,1,10:01,2019,2020
2019-20,1629168,BJ Johnson,BJ,1610612753,ORL,Orlando Magic,41900103,2020-08-22T00:00:00,ORL vs. MIL,L,39.4,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1,853,853,853,1641,745,608,2,1152,1,1,1,1611,511,1,1,1171,253,1,3:33,2019,2020
