season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2019-20,1629744,Matt Thomas,Matt,1610612761,TOR,Toronto Raptors,41900217,2020-09-11T00:00:00,TOR vs. BOS,L,4.583333333333333,10.5,10.5,1.0,10.5,10.5,1.0,0.0,0.0,0.0,0.0,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,62.8,44.0,0,0,52.4,1,853,1,853,1550,355,1245,1,27,382,1,879,928,879,793,336,537,1185,1048,756,511,530,1389,1171,280,43,652,163,13,368,1,4:35,2019,2020
2019-20,1627783,Pascal Siakam,Pascal,1610612761,TOR,Toronto Raptors,41900217,2020-09-11T00:00:00,TOR vs. BOS,L,41.78333333333333,5.7,13.8,0.417,0.0,1.1,0.0,3.4,4.6,0.75,2.3,10.3,12.6,3.4,5.7,0.0,1.1,1.1,4.6,2.3,14.9,-3.4,33.0,1,0,33.3,1,853,1,853,87,950,976,884,987,1335,987,607,608,519,492,351,374,800,192,756,481,497,730,965,1023,940,1062,1,13,1008,1,41:47,2019,2020
2019-20,1626181,Norman Powell,Norman,1610612761,TOR,Toronto Raptors,41900217,2020-09-11T00:00:00,TOR vs. BOS,L,32.67,5.9,11.8,0.5,1.5,4.4,0.333,2.9,2.9,1.0,1.5,2.9,4.4,0.0,2.9,0.0,1.5,1.5,5.9,1.5,16.2,5.9,22.9,0,0,25.0,1,853,1,853,498,926,1154,500,893,1087,608,657,786,1,647,1243,1211,1185,583,756,375,368,488,1114,960,659,1360,163,13,1318,1,32:40,2019,2020
2019-20,201586,Serge Ibaka,Serge,1610612761,TOR,Toronto Raptors,41900217,2020-09-11T00:00:00,TOR vs. BOS,L,20.34,11.8,21.2,0.556,2.4,9.4,0.25,7.1,7.1,1.0,2.4,16.5,18.9,0.0,7.1,0.0,0.0,0.0,7.1,4.7,33.0,14.2,48.6,0,0,54.3,1,853,1,853,1041,253,378,416,701,484,785,272,374,1,477,84,123,1185,107,756,511,530,332,564,239,449,501,163,13,323,1,20:20,2019,2020
2019-20,1628384,OG Anunoby,OG,1610612761,TOR,Toronto Raptors,41900217,2020-09-11T00:00:00,TOR vs. BOS,L,35.49666666666667,1.4,4.1,0.333,0.0,2.7,0.0,2.7,2.7,1.0,2.7,6.8,9.5,1.4,1.4,0.0,0.0,0.0,2.7,2.7,5.4,-1.4,17.4,0,0,16.2,1,853,1,853,356,1418,1547,1053,987,1241,987,692,817,1,418,731,627,1148,977,756,511,530,1104,895,1417,880,1475,163,13,1489,1,35:30,2019,2020
2019-20,200768,Kyle Lowry,Kyle,1610612761,TOR,Toronto Raptors,41900217,2020-09-11T00:00:00,TOR vs. BOS,L,41.02666666666666,5.8,17.5,0.333,1.2,7.0,0.167,5.8,7.0,0.833,1.2,5.8,7.0,4.7,3.5,0.0,0.0,0.0,7.0,8.2,18.7,-11.7,30.7,0,0,31.6,1,853,1,853,106,936,642,1053,965,777,931,352,375,464,762,827,894,601,473,756,511,530,336,215,814,1159,1139,163,13,1078,1,41:02,2019,2020
2019-20,1627832,Fred VanVleet,Fred,1610612761,TOR,Toronto Raptors,41900217,2020-09-11T00:00:00,TOR vs. BOS,L,44.766666666666666,8.6,21.4,0.4,4.3,9.7,0.444,0.0,0.0,0.0,0.0,3.2,3.2,6.4,3.2,0.0,2.1,3.2,2.1,1.1,21.4,-8.6,38.2,0,0,39.7,1,853,1,853,24,579,363,913,348,463,458,879,928,879,793,1205,1327,400,535,756,255,120,1213,1169,688,1073,871,163,13,767,1,44:46,2019,2020
2019-20,201188,Marc Gasol,Marc,1610612761,TOR,Toronto Raptors,41900217,2020-09-11T00:00:00,TOR vs. BOS,L,19.33333333333333,5.0,17.4,0.286,0.0,5.0,0.0,5.0,5.0,1.0,0.0,12.4,12.4,7.4,2.5,2.5,5.0,0.0,5.0,2.5,14.9,-47.2,60.8,0,0,49.7,1,853,1,853,1070,1051,657,1206,987,1025,987,421,562,1,793,231,383,316,697,348,53,530,659,935,1027,1580,235,163,13,417,1,19:20,2019,2020
2019-20,201188,Marc Gasol,Marc,1610612761,TOR,Toronto Raptors,41900216,2020-09-09T00:00:00,TOR @ BOS,W,15.848333333333333,9.1,21.2,0.429,6.1,12.1,0.5,0.0,0.0,0.0,0.0,6.1,6.1,3.0,3.0,3.0,3.0,0.0,15.1,6.1,24.2,15.1,51.2,0,0,51.5,1,1,843,1,1194,510,380,835,156,254,245,879,928,879,793,806,1009,858,573,250,153,530,54,409,544,431,438,163,13,381,1,15:51,2019,2020
2019-20,200768,Kyle Lowry,Kyle,1610612761,TOR,Toronto Raptors,41900216,2020-09-09T00:00:00,TOR @ BOS,W,53.46666666666667,10.8,18.0,0.6,5.4,9.0,0.6,2.7,3.6,0.75,0.0,7.2,7.2,5.4,0.9,1.8,0.9,0.0,4.5,5.4,29.6,2.7,53.5,0,0,53.0,1,1,843,1,2,332,608,313,215,544,184,697,713,519,793,681,874,507,1047,492,510,530,749,483,319,740,389,163,13,356,1,53:28,2019,2020
