season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2021-22,200782,P.J. Tucker,P.J.,1610612748,MIA,Miami Heat,42100307,2022-05-29T00:00:00,MIA vs. BOS,L,47.3,0.0,0.0,0.0,0.0,25.0,5.6,47.2,66.7,2.8,0.0,2.8,2.8,16.1,1,931,931,931,1278,775,683,608,1223,1494,501,1867,136,192,1,733,946,1621,1,17:02,2021,2022
2021-22,202710,Jimmy Butler III,Jimmy,1610612748,MIA,Miami Heat,42100307,2022-05-29T00:00:00,MIA vs. BOS,L,49.5,3.1,0.0,9.3,22.7,14.4,8.2,20.6,47.4,0.0,0.0,2.1,8.2,50.8,1,931,931,931,888,626,683,76,106,933,701,1616,729,543,1,603,273,551,1,48:00,2021,2022
2021-22,1629216,Gabe Vincent,Gabe,1610612748,MIA,Miami Heat,42100307,2022-05-29T00:00:00,MIA vs. BOS,L,47.8,0.0,0.0,0.0,0.0,31.3,0.0,18.8,56.3,0.0,0.0,6.3,6.3,14.1,1,931,931,931,1197,775,683,608,1223,1705,1,1529,385,543,1,1370,447,1650,1,15:18,2021,2022
2021-22,1629639,Tyler Herro,Tyler,1610612748,MIA,Miami Heat,42100307,2022-05-29T00:00:00,MIA vs. BOS,L,48.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,71.4,7.1,0.0,0.0,0.0,32.1,1,931,931,931,1171,775,683,608,1223,911,1,1,98,30,1,1,1250,1206,1,6:43,2021,2022
2021-22,1629622,Max Strus,Max,1610612748,MIA,Miami Heat,42100307,2022-05-29T00:00:00,MIA vs. BOS,L,49.9,8.5,2.8,0.0,2.8,9.9,11.3,25.4,42.3,2.8,1.4,5.6,2.8,41.0,1,931,931,931,799,187,580,608,1170,613,973,1736,942,188,1441,1294,940,876,1,35:25,2021,2022
2021-22,200768,Kyle Lowry,Kyle,1610612748,MIA,Miami Heat,42100307,2022-05-29T00:00:00,MIA vs. BOS,L,49.6,0.0,0.0,0.0,5.1,11.5,10.3,20.5,43.6,1.3,3.8,3.8,11.5,44.7,1,931,931,931,852,775,683,608,983,722,872,1606,877,468,1788,968,84,743,1,38:42,2021,2022
2021-22,203506,Victor Oladipo,Victor,1610612748,MIA,Miami Heat,42100307,2022-05-29T00:00:00,MIA vs. BOS,L,48.8,3.0,0.0,3.0,9.0,7.5,9.0,7.5,35.8,0.0,3.0,3.0,1.5,29.1,1,931,931,931,1007,631,683,483,653,480,752,735,1270,543,1720,765,1183,1301,1,32:41,2021,2022
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,42100307,2022-05-29T00:00:00,MIA vs. BOS,L,50.2,2.2,7.6,2.2,23.9,15.2,8.7,19.6,47.8,0.0,0.0,4.3,3.3,48.0,1,931,931,931,735,743,181,588,87,975,721,1571,707,543,1,1066,864,634,1,46:10,2021,2022
2021-22,1628997,Caleb Martin,Caleb,1610612748,MIA,Miami Heat,42100306,2022-05-27T00:00:00,MIA @ BOS,W,48.2,0.0,0.0,8.0,8.0,56.0,8.0,32.0,48.0,0.0,0.0,12.0,0.0,22.4,1,1,1,1,1138,775,683,112,739,1858,683,1813,698,543,1,1766,1250,1499,1,12:02,2021,2022
2021-22,203506,Victor Oladipo,Victor,1610612748,MIA,Miami Heat,42100306,2022-05-27T00:00:00,MIA @ BOS,W,43.9,0.0,0.0,0.0,0.0,13.7,7.8,7.8,39.2,0.0,0.0,0.0,7.8,33.3,1,1,1,1,1643,775,683,608,1223,879,671,765,1128,543,1,1,297,1167,1,22:23,2021,2022
2021-22,1629216,Gabe Vincent,Gabe,1610612748,MIA,Miami Heat,42100306,2022-05-27T00:00:00,MIA @ BOS,W,44.6,0.0,0.0,0.0,0.0,17.9,10.3,23.1,41.0,0.0,2.6,7.7,2.6,17.9,1,1,1,1,1601,775,683,608,1223,1168,872,1674,1005,543,1670,1538,977,1586,1,17:23,2021,2022
2021-22,1629130,Duncan Robinson,Duncan,1610612748,MIA,Miami Heat,42100306,2022-05-27T00:00:00,MIA @ BOS,W,41.4,0.0,0.0,0.0,0.0,30.8,0.0,15.4,46.2,0.0,0.0,15.4,0.0,0.0,1,1,1,1,1760,775,683,608,1223,1689,1,1346,762,543,1,1823,1250,1751,1,5:23,2021,2022
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,42100306,2022-05-27T00:00:00,MIA @ BOS,W,50.7,2.5,2.5,2.5,7.4,23.5,13.6,17.3,39.5,0.0,0.0,1.2,4.9,23.2,1,1,1,1,638,718,630,561,788,1428,1152,1467,1106,543,1,479,618,1479,1,41:04,2021,2022
2021-22,202710,Jimmy Butler III,Jimmy,1610612748,MIA,Miami Heat,42100306,2022-05-27T00:00:00,MIA @ BOS,W,51.1,12.2,4.4,5.6,22.2,25.6,12.2,15.6,42.2,1.1,2.2,1.1,7.8,93.1,1,1,1,1,574,64,403,246,110,1531,1056,1362,944,534,1614,461,303,42,1,45:57,2021,2022
2021-22,200768,Kyle Lowry,Kyle,1610612748,MIA,Miami Heat,42100306,2022-05-27T00:00:00,MIA @ BOS,W,51.9,0.0,2.8,0.0,2.8,29.6,9.9,14.1,39.4,1.4,0.0,8.5,7.0,58.9,1,1,1,1,414,775,580,608,1170,1659,827,1259,1115,427,1,1623,368,326,1,36:51,2021,2022
2021-22,200782,P.J. Tucker,P.J.,1610612748,MIA,Miami Heat,42100306,2022-05-27T00:00:00,MIA @ BOS,W,50.3,14.3,0.0,0.0,0.0,12.2,14.3,4.1,28.6,0.0,0.0,10.2,10.2,48.0,1,1,1,1,709,40,683,608,1223,784,1185,461,1530,543,1,1719,139,637,1,24:39,2021,2022
2021-22,1629622,Max Strus,Max,1610612748,MIA,Miami Heat,42100306,2022-05-27T00:00:00,MIA @ BOS,W,53.6,3.1,0.0,6.3,6.3,21.9,14.1,10.9,37.5,0.0,1.6,9.4,3.1,22.5,1,1,1,1,210,617,683,195,902,1352,1182,1007,1185,543,1496,1679,883,1497,1,34:18,2021,2022
2021-22,200782,P.J. Tucker,P.J.,1610612748,MIA,Miami Heat,42100305,2022-05-25T00:00:00,MIA vs. BOS,L,53.8,3.4,3.4,0.0,6.8,23.7,6.8,18.6,40.7,0.0,1.7,1.7,1.7,44.4,1,931,931,931,187,579,523,608,858,1440,591,1523,1022,543,1536,549,1136,753,1,31:46,2021,2022
2021-22,200768,Kyle Lowry,Kyle,1610612748,MIA,Miami Heat,42100305,2022-05-25T00:00:00,MIA vs. BOS,L,53.6,0.0,0.0,0.0,0.0,21.7,4.3,23.9,56.5,0.0,0.0,10.9,4.3,-3.9,1,931,931,931,209,775,683,608,1223,1343,445,1696,378,543,1,1740,681,1881,1,24:40,2021,2022
2021-22,203506,Victor Oladipo,Victor,1610612748,MIA,Miami Heat,42100305,2022-05-25T00:00:00,MIA vs. BOS,L,47.7,0.0,0.0,3.1,6.3,3.1,6.3,12.5,18.8,0.0,3.1,0.0,6.3,34.4,1,931,931,931,1214,775,683,463,902,328,553,1125,1717,543,1729,1,447,1127,1,15:16,2021,2022
2021-22,1628997,Caleb Martin,Caleb,1610612748,MIA,Miami Heat,42100305,2022-05-25T00:00:00,MIA vs. BOS,L,50.8,6.7,16.7,6.7,13.3,10.0,0.0,6.7,26.7,0.0,3.3,0.0,6.7,52.3,1,931,931,931,622,281,28,172,390,616,1,653,1574,543,1748,1,398,502,1,15:14,2021,2022
2021-22,1629312,Haywood Highsmith,Haywood,1610612748,MIA,Miami Heat,42100305,2022-05-25T00:00:00,MIA vs. BOS,L,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,1,931,931,931,554,775,683,608,1223,1,1,1,1761,543,1,1,1250,672,1,1:32,2021,2022
