season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2021-22,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,22101230,2022-04-10T00:00:00,UTA @ POR,W,29.633333333333333,4,6,0.667,0,0,0.0,10,14,0.714,3,10,13,1,2,0,2,0,2,11,18,25,39.1,1,0,36.0,1,1,1,1,8156,9264,14372,3194,14232,20469,14232,196,80,9164,1507,546,549,13245,4151,12287,702,1,11965,35,4414,490,3123,1,131,3601,1,29:38,2021,2022
2021-22,201144,Mike Conley,Mike,1610612762,UTA,Utah Jazz,22101230,2022-04-10T00:00:00,UTA @ POR,W,25.6,6,13,0.462,1,3,0.333,1,2,0.5,0,2,2,5,1,3,0,1,2,1,14,16,31.9,0,0,28.0,1,1,1,1,11473,4963,4902,12052,8144,10639,8533,10221,7614,10631,13184,13666,16419,2964,8493,406,8184,17438,11965,11915,7184,2095,5793,2151,131,6905,1,25:36,2021,2022
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,22101230,2022-04-10T00:00:00,UTA @ POR,W,5.666666666666667,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,2,0,0,0,0,2,0,3,1,6.0,0,0,6.0,1,1,1,1,23671,18993,19932,16922,8144,10639,8533,13659,14456,13659,13184,22354,23308,9105,16136,12287,8184,1,11965,18239,19908,11173,21973,2151,131,21603,1,5:40,2021,2022
2021-22,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22101230,2022-04-10T00:00:00,UTA @ POR,W,18.433333333333334,3,7,0.429,0,3,0.0,2,2,1.0,1,3,4,2,2,0,1,1,1,1,8,26,16.8,0,0,16.0,1,1,1,1,17197,12092,12670,13304,14232,10639,14232,6073,7614,1,6346,9837,9918,9105,4151,12287,2399,17438,5520,11915,13258,408,14800,2151,131,14542,1,18:26,2021,2022
2021-22,1626220,Royce O'Neale,Royce,1610612762,UTA,Utah Jazz,22101230,2022-04-10T00:00:00,UTA @ POR,W,27.08333333333333,1,6,0.167,1,5,0.2,2,2,1.0,2,1,3,1,3,0,0,0,1,1,5,12,7.1,0,0,10.0,1,1,1,1,10303,18993,14372,21822,8144,5764,12651,6073,7614,1,3074,17946,12968,13245,1921,12287,8184,1,5520,11915,17245,3538,21400,2151,131,18903,1,27:05,2021,2022
2021-22,1629672,Eric Paschall,Eric,1610612762,UTA,Utah Jazz,22101230,2022-04-10T00:00:00,UTA @ POR,W,5.666666666666667,3,5,0.6,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,2,0,1,7,1,8.2,0,0,8.0,1,1,1,1,23671,12092,16241,5259,14232,20469,14232,10221,7614,10631,13184,17946,19929,18990,16136,12287,8184,23744,1,11915,14596,11173,20662,2151,131,20309,1,5:40,2021,2022
2021-22,1630270,Xavier Sneed,Xavier,1610612762,UTA,Utah Jazz,22101230,2022-04-10T00:00:00,UTA @ POR,W,3.65,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,0,0,4,3.9,0,0,3.0,1,1,1,1,24541,22477,24770,22477,14232,20469,14232,13659,14456,13659,6346,17946,16419,13245,16136,12287,8184,1,1,18239,23122,8480,23172,2151,131,23348,1,3:39,2021,2022
2021-22,1627823,Juancho Hernangomez,Juancho,1610612762,UTA,Utah Jazz,22101230,2022-04-10T00:00:00,UTA @ POR,W,31.58333333333333,8,14,0.571,4,7,0.571,2,4,0.5,3,5,8,2,1,1,0,2,2,3,22,12,36.6,0,0,38.0,1,1,1,1,6424,2352,4053,6408,993,2729,3385,6073,3790,10631,1507,4619,2921,9105,8493,4518,8184,23744,11965,4544,2553,3538,3978,2151,131,2946,1,31:35,2021,2022
2021-22,1627863,Danuel House Jr.,Danuel,1610612762,UTA,Utah Jazz,22101230,2022-04-10T00:00:00,UTA @ POR,W,26.966666666666665,2,7,0.286,0,3,0.0,3,4,0.75,0,6,6,1,3,1,0,1,1,4,7,19,15.7,0,0,16.0,1,1,1,1,10407,15413,12670,19255,14232,10639,14232,4143,3790,8109,13184,3087,5450,13245,1921,4518,8184,17438,5520,2687,14596,1348,15566,2151,131,14542,1,26:58,2021,2022
2021-22,1630215,Jared Butler,Jared,1610612762,UTA,Utah Jazz,22101230,2022-04-10T00:00:00,UTA @ POR,W,22.4,3,6,0.5,1,4,0.25,4,4,1.0,0,3,3,1,2,0,1,0,2,2,11,15,17.1,0,0,18.0,1,1,1,1,14100,12092,14372,8341,8144,7950,11214,2651,3790,1,13184,9837,12968,13245,4151,12287,2399,1,11965,7362,9927,2414,14587,2151,131,13102,1,22:24,2021,2022
