season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2022-23,1627742,Brandon Ingram,Brandon,1610612740,NOP,New Orleans Pelicans,22201225,2023-04-09T00:00:00,NOP @ MIN,L,42.21666666666667,8,6,8,20,24,9,12,44,1,4,2,6,71.9,1,12947,12947,12947,250,357,630,286,186,25679,17963,21401,23863,2381,25771,11553,993,51,1,42:13,2022,2023
2022-23,1630529,Herbert Jones,Herbert,1610612740,NOP,New Orleans Pelicans,22201225,2023-04-09T00:00:00,NOP @ MIN,L,38.821666666666665,2,0,2,2,21,7,10,38,1,0,5,2,28.6,1,12947,12947,12947,1091,6599,10381,5273,14065,25322,14495,19030,21456,2381,1,24422,7612,7586,1,38:49,2022,2023
2022-23,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22201225,2023-04-09T00:00:00,NOP @ MIN,L,38.81666666666667,0,2,2,12,20,14,9,44,0,1,5,5,37.5,1,12947,12947,12947,1094,12084,5253,5273,1782,25076,23512,17506,23863,7930,17468,24422,1742,3919,1,38:49,2022,2023
2022-23,1630530,Trey Murphy III,Trey,1610612740,NOP,New Orleans Pelicans,22201225,2023-04-09T00:00:00,NOP @ MIN,L,40.083333333333336,3,0,4,10,22,13,12,42,0,0,2,5,29.8,1,12947,12947,12947,631,4426,10381,2165,2902,25467,22830,21401,23222,7930,1,11553,1742,7012,1,40:05,2022,2023
2022-23,202685,Jonas Valančiūnas,Jonas,1610612740,NOP,New Orleans Pelicans,22201225,2023-04-09T00:00:00,NOP @ MIN,L,21.671666666666667,0,2,0,8,14,3,12,24,1,3,3,2,35.1,1,12947,12947,12947,14667,12084,5253,10252,4612,21690,6581,21401,12316,2381,25315,17562,7612,4759,1,21:40,2022,2023
2022-23,1626196,Josh Richardson,Josh,1610612740,NOP,New Orleans Pelicans,22201225,2023-04-09T00:00:00,NOP @ MIN,L,29.08333333333333,2,2,0,0,18,11,9,24,0,0,3,0,10.5,1,12947,12947,12947,8876,6599,5253,10252,19499,24411,20826,17506,12316,7930,1,17562,17929,19025,1,29:05,2022,2023
2022-23,1630230,Naji Marshall,Naji,1610612740,NOP,New Orleans Pelicans,22201225,2023-04-09T00:00:00,NOP @ MIN,L,12.228333333333332,0,0,0,2,8,8,4,10,0,0,3,1,4.2,1,12947,12947,12947,21043,12084,10381,10252,14065,13017,16197,8099,3856,7930,1,17562,11862,22835,1,12:14,2022,2023
2022-23,1626204,Larry Nance Jr.,Larry,1610612740,NOP,New Orleans Pelicans,22201225,2023-04-09T00:00:00,NOP @ MIN,L,17.078333333333333,0,0,0,2,8,10,2,14,0,0,1,1,9.2,1,12947,12947,12947,18075,12084,10381,10252,14065,13017,19454,3800,5856,7930,1,5181,11862,19829,1,17:05,2022,2023
2022-23,1627742,Brandon Ingram,Brandon,1610612740,NOP,New Orleans Pelicans,22201209,2023-04-07T00:00:00,NOP vs. NYK,W,39.56666666666667,0,2,4,8,20,8,14,42,0,1,4,4,34.9,1,1,1,1,804,12084,5253,2165,4612,25076,16197,23092,23222,7930,17468,21892,2943,4844,1,39:34,2022,2023
2022-23,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22201209,2023-04-07T00:00:00,NOP vs. NYK,W,38.64333333333333,5,0,0,8,4,8,7,36,0,0,2,3,35.0,1,1,1,1,1186,1692,10381,10252,4612,5774,16197,14253,20405,7930,1,11553,4788,4805,1,38:39,2022,2023
2022-23,1626204,Larry Nance Jr.,Larry,1610612740,NOP,New Orleans Pelicans,22201209,2023-04-07T00:00:00,NOP vs. NYK,W,22.78333333333333,0,2,0,8,15,8,7,22,0,0,2,1,13.3,1,1,1,1,13792,12084,5253,10252,4612,22532,16197,14253,10917,7930,1,11553,11862,17166,1,22:47,2022,2023
2022-23,1630529,Herbert Jones,Herbert,1610612740,NOP,New Orleans Pelicans,22201209,2023-04-07T00:00:00,NOP vs. NYK,W,34.02166666666667,2,0,0,12,18,8,12,38,3,0,2,0,33.8,1,1,1,1,4602,6599,10381,10252,1782,24411,16197,21401,21456,252,1,11553,17929,5260,1,34:01,2022,2023
2022-23,1630230,Naji Marshall,Naji,1610612740,NOP,New Orleans Pelicans,22201209,2023-04-07T00:00:00,NOP vs. NYK,W,13.801666666666666,0,0,0,4,4,3,3,8,0,0,1,0,16.1,1,1,1,1,20155,12084,10381,10252,9969,5774,6581,6786,3007,7930,1,5181,17929,15201,1,13:48,2022,2023
2022-23,1626196,Josh Richardson,Josh,1610612740,NOP,New Orleans Pelicans,22201209,2023-04-07T00:00:00,NOP vs. NYK,W,17.55,0,0,0,0,13,6,6,10,0,0,0,0,12.9,1,1,1,1,17731,12084,10381,10252,19499,20617,12297,12302,3856,7930,1,1,17929,17405,1,17:33,2022,2023
2022-23,1630700,Dyson Daniels,Dyson,1610612740,NOP,New Orleans Pelicans,22201209,2023-04-07T00:00:00,NOP vs. NYK,W,9.356666666666667,0,0,0,0,18,3,8,10,0,0,0,0,5.6,1,1,1,1,22303,12084,10381,10252,19499,24411,6581,15914,3856,7930,1,1,17929,22059,1,9:21,2022,2023
2022-23,202685,Jonas Valančiūnas,Jonas,1610612740,NOP,New Orleans Pelicans,22201209,2023-04-07T00:00:00,NOP vs. NYK,W,25.216666666666665,0,0,0,6,7,3,8,24,3,0,4,4,30.9,1,1,1,1,11939,12084,10381,10252,6861,11228,6581,15914,12316,252,1,21892,2943,6519,1,25:13,2022,2023
2022-23,1630530,Trey Murphy III,Trey,1610612740,NOP,New Orleans Pelicans,22201209,2023-04-07T00:00:00,NOP vs. NYK,W,39.06,7,2,8,14,11,8,10,40,1,1,2,5,43.6,1,1,1,1,994,617,5253,286,1059,17997,16197,19030,22436,2381,17468,11553,1742,2290,1,39:04,2022,2023
2022-23,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22201194,2023-04-05T00:00:00,NOP vs. MEM,W,44.406666666666666,3,5,3,8,6,20,17,58,0,0,0,6,51.0,1,1,1,1,108,4426,1212,3545,4612,9347,25564,24603,25765,7930,1,1,993,1028,1,44:24,2022,2023
2022-23,1627742,Brandon Ingram,Brandon,1610612740,NOP,New Orleans Pelicans,22201194,2023-04-05T00:00:00,NOP vs. MEM,W,46.3,2,4,0,4,13,17,17,52,1,0,3,6,55.7,1,1,1,1,46,6599,1933,10252,9969,20617,24946,24603,25382,2381,1,17562,993,594,1,46:18,2022,2023
2022-23,1630529,Herbert Jones,Herbert,1610612740,NOP,New Orleans Pelicans,22201194,2023-04-05T00:00:00,NOP vs. MEM,W,43.61666666666667,2,2,5,10,9,17,17,50,3,5,3,5,54.9,1,1,1,1,134,6599,5253,1361,2902,14808,24946,24603,25180,252,25863,17562,1742,660,1,43:37,2022,2023
2022-23,1630230,Naji Marshall,Naji,1610612740,NOP,New Orleans Pelicans,22201194,2023-04-05T00:00:00,NOP vs. MEM,W,7.633333333333334,0,0,0,2,4,7,4,20,1,0,1,0,5.2,1,1,1,1,22903,12084,10381,10252,14065,5774,14495,8099,9546,2381,1,5181,17929,22270,1,7:38,2022,2023
2022-23,1630700,Dyson Daniels,Dyson,1610612740,NOP,New Orleans Pelicans,22201194,2023-04-05T00:00:00,NOP vs. MEM,W,8.416666666666666,0,0,0,0,6,2,4,12,0,0,1,0,7.6,1,1,1,1,22630,12084,10381,10252,19499,9347,3520,8099,4815,7930,1,5181,17929,20820,1,8:25,2022,2023
2022-23,1630530,Trey Murphy III,Trey,1610612740,NOP,New Orleans Pelicans,22201194,2023-04-05T00:00:00,NOP vs. MEM,W,46.3,12,0,8,4,13,20,17,58,0,0,3,5,47.4,1,1,1,1,46,46,10381,286,9969,20617,25564,24603,25765,7930,1,17562,1742,1551,1,46:18,2022,2023
2022-23,202685,Jonas Valančiūnas,Jonas,1610612740,NOP,New Orleans Pelicans,22201194,2023-04-05T00:00:00,NOP vs. MEM,W,19.05333333333333,0,0,2,2,4,14,10,24,3,1,5,3,24.7,1,1,1,1,16667,12084,10381,5273,14065,5774,23512,19030,12316,252,17468,24422,4788,9742,1,19:03,2022,2023
2022-23,1626196,Josh Richardson,Josh,1610612740,NOP,New Orleans Pelicans,22201194,2023-04-05T00:00:00,NOP vs. MEM,W,15.296666666666669,0,0,0,0,7,11,8,30,0,0,3,0,8.5,1,1,1,1,19255,12084,10381,10252,19499,11228,20826,15914,16558,7930,1,17562,17929,20295,1,15:18,2022,2023
2022-23,1626204,Larry Nance Jr.,Larry,1610612740,NOP,New Orleans Pelicans,22201194,2023-04-05T00:00:00,NOP vs. MEM,W,33.97666666666667,2,0,0,4,13,12,11,46,0,0,3,0,23.3,1,1,1,1,4651,6599,10381,10252,9969,20617,21898,20334,24426,7930,1,17562,17929,10588,1,33:59,2022,2023
2022-23,1630700,Dyson Daniels,Dyson,1610612740,NOP,New Orleans Pelicans,22201185,2023-04-04T00:00:00,NOP vs. SAC,L,12.841666666666669,3,2,3,6,6,4,2,8,0,0,0,2,18.3,1,12947,12947,12947,20698,4426,5253,3545,6861,9347,7828,3800,3007,7930,1,1,7612,13719,1,12:51,2022,2023
2022-23,1630529,Herbert Jones,Herbert,1610612740,NOP,New Orleans Pelicans,22201185,2023-04-04T00:00:00,NOP vs. SAC,L,30.891666666666666,2,2,2,8,17,12,11,26,0,0,1,0,21.3,1,12947,12947,12947,7369,6599,5253,5273,4612,23917,21898,20334,13703,7930,1,5181,17929,11800,1,30:54,2022,2023
2022-23,1626204,Larry Nance Jr.,Larry,1610612740,NOP,New Orleans Pelicans,22201185,2023-04-04T00:00:00,NOP vs. SAC,L,17.666666666666668,2,2,0,4,17,11,7,26,2,0,2,2,16.6,1,12947,12947,12947,17646,6599,5253,10252,9969,23917,20826,14253,13703,751,1,11553,7612,14849,1,17:40,2022,2023
2022-23,1627742,Brandon Ingram,Brandon,1610612740,NOP,New Orleans Pelicans,22201185,2023-04-04T00:00:00,NOP vs. SAC,L,37.40833333333333,5,0,0,6,23,19,13,40,1,1,2,5,41.4,1,12947,12947,12947,1897,1692,10381,10252,6861,25590,25412,22335,22436,2381,17468,11553,1742,2777,1,37:25,2022,2023
2022-23,202685,Jonas Valančiūnas,Jonas,1610612740,NOP,New Orleans Pelicans,22201185,2023-04-04T00:00:00,NOP vs. SAC,L,27.316666666666663,0,3,0,6,6,8,6,18,0,1,3,6,27.6,1,12947,12947,12947,10333,12084,3415,10252,6861,9347,16197,12302,8243,7930,17468,17562,993,8105,1,27:19,2022,2023
