season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2023-24,1630527,Brandon Boston,Brandon,1610612746,LAC,LA Clippers,22301199,2024-04-14T00:00:00,LAC vs. HOU,L,42.9,6.9,22.2,0.313,2.8,8.3,0.333,4.2,5.6,0.75,2.8,5.6,8.3,4.2,8.3,5.6,0.0,5.6,4.2,2.8,20.8,-5.6,45.4,0,0,47.2,1,13252,1,13252,24416,13771,5957,19366,9048,8958,9124,7430,7337,8216,7520,12991,11252,12329,974,1109,8529,593,10179,12489,12191,15201,11530,2248,138,9460,1,30:53,2023,2024
2023-24,1628464,Daniel Theis,Daniel,1610612746,LAC,LA Clippers,22301199,2024-04-14T00:00:00,LAC vs. HOU,L,43.0,9.0,17.9,0.5,3.0,9.0,0.333,3.0,3.0,1.0,4.5,11.9,16.4,3.0,1.5,3.0,3.0,0.0,3.0,3.0,23.9,9.0,64.5,1,0,58.2,1,13252,1,13252,24284,9724,10768,8954,8448,8065,9124,9730,11808,1,4385,3419,3162,15248,14467,4525,2994,9067,13909,11863,9831,9327,3621,1,138,4550,1,28:50,2023,2024
2023-24,1629611,Terance Mann,Terance,1610612746,LAC,LA Clippers,22301199,2024-04-14T00:00:00,LAC vs. HOU,L,45.4,16.4,23.0,0.714,1.6,4.9,0.333,4.9,4.9,1.0,3.3,6.6,9.8,3.3,1.6,1.6,0.0,0.0,1.6,4.9,39.3,-6.6,59.3,0,0,57.4,1,13252,1,13252,20781,1378,5460,2921,12676,15378,9124,6294,8395,1,6388,10890,9071,14459,13741,8999,8529,9067,18333,7158,2230,15574,5203,2248,138,4807,1,27:40,2023,2024
2023-24,1641738,Kobe Brown,Kobe,1610612746,LAC,LA Clippers,22301199,2024-04-14T00:00:00,LAC vs. HOU,L,44.2,4.6,11.5,0.4,1.1,3.4,0.333,0.0,0.0,0.0,3.4,3.4,6.9,4.6,0.0,2.3,2.3,1.1,3.4,0.0,10.3,-11.5,39.3,0,0,32.2,1,13252,1,13252,23054,18325,18984,15260,14594,17701,9124,13417,14233,13417,6020,17942,13916,11468,16035,6739,4363,8939,12422,17532,19986,17387,14836,2248,138,17927,1,38:26,2023,2024
2023-24,1629875,Xavier Moon,Xavier,1610612746,LAC,LA Clippers,22301199,2024-04-14T00:00:00,LAC vs. HOU,L,44.6,5.8,21.2,0.273,1.9,8.7,0.222,0.0,0.0,0.0,1.9,3.8,5.8,5.8,0.0,1.9,1.0,0.0,1.9,0.0,13.5,-6.7,37.7,0,0,32.7,1,13252,1,13252,22411,16098,7100,20199,11674,8586,13104,13417,14233,13417,9900,17027,16205,9061,16035,7770,8524,9067,17445,17532,17937,15658,15732,2248,138,17675,1,46:21,2023,2024
2023-24,200782,P.J. Tucker,P.J.,1610612746,LAC,LA Clippers,22301199,2024-04-14T00:00:00,LAC vs. HOU,L,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.3,0.0,0,0,0.0,1,13252,1,13252,1893,22557,24896,22557,14651,20560,14651,13417,14233,13417,13449,22149,23241,19657,16035,12108,8529,9067,20239,17532,23140,22767,25245,2248,138,25279,1,7:54,2023,2024
2023-24,1629599,Amir Coffey,Amir,1610612746,LAC,LA Clippers,22301199,2024-04-14T00:00:00,LAC vs. HOU,L,46.8,9.1,22.1,0.412,0.0,9.1,0.0,5.2,5.2,1.0,0.0,3.9,3.9,2.6,1.3,1.3,1.3,2.6,0.0,5.2,23.4,-14.3,38.4,0,0,35.1,1,13252,1,13252,16521,9293,6224,15119,14651,7686,14651,5880,7949,1,13449,16980,19735,16311,15506,11253,7767,3605,20239,6592,10179,18290,15318,2248,138,16371,1,36:02,2023,2024
2023-24,203486,Mason Plumlee,Mason,1610612746,LAC,LA Clippers,22301199,2024-04-14T00:00:00,LAC vs. HOU,L,46.0,5.8,25.0,0.231,0.0,5.8,0.0,5.8,7.7,0.75,7.7,17.3,25.0,7.7,5.8,1.9,3.8,1.9,5.8,3.8,17.3,-38.5,70.4,0,0,61.5,1,13252,1,13252,19106,16098,3727,21232,14651,13854,14651,5093,4695,8216,1592,942,587,5814,2830,7770,1925,5203,6211,9488,14972,23530,2311,2248,138,3521,1,23:54,2023,2024
2023-24,1630538,Bones Hyland,Bones,1610612746,LAC,LA Clippers,22301184,2024-04-12T00:00:00,LAC vs. UTA,L,48.0,11.3,27.4,0.412,4.8,17.7,0.273,4.8,6.5,0.75,0.0,8.1,8.1,9.7,1.6,4.8,1.6,3.2,3.2,4.8,32.3,-29.0,74.2,0,0,67.7,1,13252,1,13252,12332,5702,2522,15119,4329,955,11733,6418,6139,8216,13449,8074,11837,3670,13862,1654,6145,2349,13071,7300,4684,22084,1758,2248,138,2120,1,29:47,2023,2024
2023-24,1627826,Ivica Zubac,Ivica,1610612746,LAC,LA Clippers,22301184,2024-04-12T00:00:00,LAC vs. UTA,L,51.6,25.0,30.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,50.0,40.0,77.0,0,0,70.0,1,13252,1,13252,3124,131,1517,1607,14651,20560,14651,13417,14233,13417,826,22149,8624,19657,16035,12108,1130,9067,20239,17532,512,1882,1374,2248,138,1750,1,10:19,2023,2024
2023-24,202331,Paul George,Paul,1610612746,LAC,LA Clippers,22301184,2024-04-12T00:00:00,LAC vs. UTA,L,52.5,18.8,31.3,0.6,12.5,18.8,0.667,12.5,12.5,1.0,6.3,0.0,6.3,6.3,6.3,6.3,6.3,0.0,0.0,6.3,62.5,68.8,110.6,0,0,112.5,1,13252,1,13252,2032,656,1182,5678,195,738,2080,827,1610,1,2498,22149,15140,8161,2247,798,686,9067,20239,4703,204,481,144,2248,138,84,1,8:24,2023,2024
2023-24,1629875,Xavier Moon,Xavier,1610612746,LAC,LA Clippers,22301184,2024-04-12T00:00:00,LAC vs. UTA,L,49.8,2.9,11.8,0.25,0.0,5.9,0.0,0.0,0.0,0.0,5.9,2.9,8.8,11.8,2.9,0.0,2.9,0.0,5.9,0.0,5.9,23.5,40.0,0,0,32.4,1,13252,1,13252,6743,20982,18583,20383,14651,13562,14651,13417,14233,13417,2785,19089,10569,2173,9021,12108,3036,9067,5897,17532,22254,4638,14357,2248,138,17827,1,16:55,2023,2024
2023-24,1630527,Brandon Boston,Brandon,1610612746,LAC,LA Clippers,22301184,2024-04-12T00:00:00,LAC vs. UTA,L,49.0,8.2,24.5,0.333,0.0,4.1,0.0,4.1,4.1,1.0,4.1,6.1,10.2,2.0,8.2,2.0,0.0,0.0,8.2,2.0,20.4,0.0,33.7,0,0,36.7,1,13252,1,13252,9111,11230,4329,17629,14651,16744,14651,7617,9684,1,4931,11871,8495,17606,1112,7406,8529,9067,2842,14752,12504,12394,17794,2248,138,15480,1,24:00,2023,2024
2023-24,203486,Mason Plumlee,Mason,1610612746,LAC,LA Clippers,22301184,2024-04-12T00:00:00,LAC vs. UTA,L,43.9,3.2,6.5,0.5,0.0,0.0,0.0,3.2,6.5,0.5,6.5,6.5,12.9,6.5,6.5,0.0,0.0,0.0,0.0,3.2,9.7,-48.4,28.4,0,0,29.0,1,13252,1,13252,23393,20527,23443,8954,14651,20560,14651,9184,6139,10591,2399,11107,5574,7883,2107,12108,8529,9067,20239,11103,20410,24504,20208,2248,138,19412,1,13:37,2023,2024
2023-24,200782,P.J. Tucker,P.J.,1610612746,LAC,LA Clippers,22301184,2024-04-12T00:00:00,LAC vs. UTA,L,51.8,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,5.0,7.5,12.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,7.5,22.5,0,0,17.5,1,13252,1,13252,2772,22557,24827,22557,14651,19171,14651,13417,14233,13417,3640,9006,5826,19657,16035,5993,8529,9067,20239,17532,23140,9855,22273,2248,138,23467,1,20:44,2023,2024
2023-24,1626181,Norman Powell,Norman,1610612746,LAC,LA Clippers,22301184,2024-04-12T00:00:00,LAC vs. UTA,L,47.3,6.1,21.2,0.286,0.0,9.1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,12.1,-36.4,20.3,0,0,18.2,1,13252,1,13252,14929,15519,7025,19775,14651,7686,14651,13417,14233,13417,13449,18869,21110,15081,16035,12108,8529,9067,20239,11663,18852,23260,22904,2248,138,23262,1,15:36,2023,2024
