season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2024-25,1629731,Dean Wade,Dean,1610612739,CLE,Cleveland Cavaliers,42400205,2025-05-13T00:00:00,CLE vs. IND,L,18.73333333333333,3.8,5.8,0.667,0.0,1.9,0.0,0.0,0.0,0.0,3.8,7.7,11.5,0.0,1.9,0.0,0.0,0.0,7.7,1.9,7.7,-21.1,19.6,0,0,19.2,1,905,1,905,1071,1057,1467,206,989,1323,989,893,947,893,246,310,224,1202,705,825,570,598,156,961,1278,1464,1344,145,9,1353,1,18:44,2024,2025
2024-25,1630171,Isaac Okoro,Isaac,1610612739,CLE,Cleveland Cavaliers,42400205,2025-05-13T00:00:00,CLE vs. IND,L,16.133333333333333,2.2,4.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,0.0,0.0,2.2,0.0,4.5,4.5,8.9,0,0,8.9,1,905,1,905,1165,1333,1560,533,989,1387,989,893,947,893,947,1452,1554,1202,607,336,570,598,1053,1216,1443,703,1618,145,9,1622,1,16:08,2024,2025
2024-25,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,42400205,2025-05-13T00:00:00,CLE vs. IND,L,37.41666666666666,7.7,11.5,0.667,1.0,1.9,0.5,6.7,8.7,0.778,4.8,5.8,10.6,1.0,0.0,0.0,1.9,0.0,0.0,5.8,23.1,-13.5,43.0,1,0,39.4,1,905,1,905,264,424,897,206,924,1322,253,167,184,519,173,553,292,1167,1101,825,238,598,1386,255,328,1306,341,1,9,396,1,37:25,2024,2025
2024-25,1629636,Darius Garland,Darius,1610612739,CLE,Cleveland Cavaliers,42400205,2025-05-13T00:00:00,CLE vs. IND,L,33.3,4.3,17.3,0.25,0.0,6.5,0.0,3.2,4.3,0.75,0.0,4.3,4.3,3.2,5.4,0.0,0.0,0.0,4.3,5.4,11.9,-19.5,16.5,0,0,19.5,1,905,1,905,469,969,346,1290,989,580,989,506,522,528,947,834,1106,682,148,825,570,598,497,297,981,1427,1453,145,9,1341,1,33:18,2024,2025
2024-25,1629660,Ty Jerome,Ty,1610612739,CLE,Cleveland Cavaliers,42400205,2025-05-13T00:00:00,CLE vs. IND,L,11.0,9.8,16.4,0.6,6.5,9.8,0.667,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,3.3,0.0,3.3,9.8,0.0,26.2,3.3,45.8,0,0,45.8,1,905,1,905,1378,210,415,326,62,221,132,893,947,893,947,1452,1554,228,1101,161,570,74,90,1216,230,750,270,145,9,226,1,11:00,2024,2025
2024-25,1629622,Max Strus,Max,1610612739,CLE,Cleveland Cavaliers,42400205,2025-05-13T00:00:00,CLE vs. IND,L,26.116666666666667,0.0,12.4,0.0,0.0,8.3,0.0,0.0,0.0,0.0,4.1,5.5,9.6,2.8,0.0,0.0,0.0,2.8,5.5,2.8,0.0,-4.1,15.7,0,0,12.4,1,905,1,905,785,1451,800,1451,989,358,989,893,947,893,219,598,362,771,1101,825,570,106,305,740,1503,1038,1477,145,9,1556,1,26:07,2024,2025
2024-25,1628378,Donovan Mitchell,Donovan,1610612739,CLE,Cleveland Cavaliers,42400205,2025-05-13T00:00:00,CLE vs. IND,L,37.65,7.6,23.9,0.32,3.8,12.4,0.308,14.3,20.1,0.714,1.9,6.7,8.6,1.0,1.9,3.8,1.0,1.9,1.9,10.5,33.5,-2.9,57.7,0,0,56.4,1,905,1,905,253,431,70,1223,250,83,735,16,16,591,578,426,470,1169,708,121,490,215,1147,34,80,995,89,145,9,69,1,37:39,2024,2025
2024-25,1629631,De'Andre Hunter,De'Andre,1610612739,CLE,Cleveland Cavaliers,42400205,2025-05-13T00:00:00,CLE vs. IND,L,29.933333333333334,6.0,14.4,0.417,2.4,4.8,0.5,0.0,1.2,0.0,2.4,3.6,6.0,1.2,0.0,1.2,0.0,1.2,4.8,1.2,14.4,4.8,27.1,0,0,26.5,1,905,1,905,625,681,588,932,503,860,253,893,914,893,454,961,802,1097,1101,616,570,376,407,1127,814,692,1023,145,9,1005,1,29:56,2024,2025
2024-25,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,42400205,2025-05-13T00:00:00,CLE vs. IND,L,29.716666666666665,4.8,7.3,0.667,0.0,0.0,0.0,1.2,2.4,0.5,1.2,3.6,4.8,0.0,2.4,1.2,0.0,2.4,1.2,1.2,10.9,-3.6,17.9,0,0,18.2,1,905,1,905,638,893,1353,206,989,1387,989,815,760,695,762,955,1011,1202,567,610,570,142,1299,1124,1066,1019,1407,145,9,1392,1,29:43,2024,2025
2024-25,1629750,Javonte Green,Javonte,1610612739,CLE,Cleveland Cavaliers,42400204,2025-05-11T00:00:00,CLE @ IND,L,7.333333333333333,0.0,4.9,0.0,0.0,0.0,0.0,9.8,9.8,1.0,0.0,9.8,9.8,0.0,0.0,0.0,0.0,4.9,4.9,4.9,9.8,14.7,21.6,0,0,19.6,1,905,1,905,1492,1451,1538,1451,989,1387,989,72,124,1,947,159,347,1202,1101,825,570,26,392,355,1139,400,1262,145,9,1332,1,7:20,2024,2025
