season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2024-25,1631124,Julian Strawther,Julian,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,17.551666666666666,8.2,21.9,0.375,0.0,5.5,0.0,0.0,0.0,0.0,2.7,5.5,8.2,0.0,8.2,2.7,0.0,0.0,0.0,0.0,16.4,-27.3,26.3,0,0,30.1,1,905,1,905,1120,659,410,1044,989,980,989,893,947,893,537,870,774,1202,100,376,570,598,1386,1216,957,1452,1337,145,9,1216,1,17:33,2024,2025
2024-25,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,32.79833333333333,10.2,20.5,0.5,2.9,11.7,0.25,4.4,5.9,0.75,2.9,2.9,5.9,4.4,2.9,1.5,0.0,0.0,7.3,4.4,27.8,-41.0,42.9,0,0,43.9,1,905,1,905,506,426,493,533,558,305,771,496,513,528,495,1256,1095,673,616,658,570,598,308,632,454,1589,776,145,9,678,1,32:48,2024,2025
2024-25,1631212,Peyton Watson,Peyton,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,19.765,2.4,19.4,0.125,0.0,7.3,0.0,4.9,9.7,0.5,4.9,4.9,9.7,4.9,4.9,0.0,2.4,2.4,2.4,7.3,9.7,-65.6,31.1,0,0,29.1,1,905,1,905,1020,1382,570,1432,989,734,989,457,251,695,262,954,625,623,319,825,257,244,1180,286,1304,1703,1193,145,9,1241,1,19:46,2024,2025
2024-25,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,34.75,8.3,22.1,0.375,1.4,11.1,0.125,0.0,0.0,0.0,0.0,1.4,1.4,2.8,2.8,4.1,1.4,1.4,1.4,0.0,18.0,-29.0,37.6,0,0,34.5,1,905,1,905,390,652,393,1044,887,357,980,893,947,893,947,1435,1549,916,660,185,444,457,1333,1216,887,1473,964,145,9,1040,1,34:45,2024,2025
2024-25,1641816,Hunter Tyson,Hunter,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,9.6,10.0,15.0,0.667,5.0,10.0,0.5,0.0,0.0,0.0,10.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,10.0,5.0,25.0,0.0,50.5,0,0,50.0,1,905,1,905,1418,449,930,206,259,435,253,893,947,893,61,934,244,609,1101,825,570,598,162,553,568,842,520,145,9,475,1,9:36,2024,2025
2024-25,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,24.5,3.9,7.8,0.5,2.0,5.9,0.333,5.9,5.9,1.0,7.8,13.7,21.6,0.0,7.8,0.0,0.0,0.0,2.0,5.9,15.7,-17.6,33.7,0,0,39.2,1,905,1,905,853,1217,1459,533,770,933,600,364,512,1,117,141,75,1202,122,825,570,598,1261,444,988,1301,1112,145,9,853,1,24:30,2024,2025
2024-25,1629618,Jalen Pickett,Jalen,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,9.6,10.0,25.0,0.4,10.0,25.0,0.4,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,57.0,0,0,60.0,1,905,1,905,1418,449,230,951,39,27,513,893,947,893,947,329,596,167,1101,825,570,598,1386,553,358,842,350,145,9,246,1,9:36,2024,2025
2024-25,1630192,Zeke Nnaji,Zeke,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,9.6,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,0,0,10.0,1,905,1,905,1418,1451,1332,1451,989,435,989,893,947,893,947,329,596,1202,1101,825,570,598,637,1216,1503,842,1617,145,9,1640,1,9:36,2024,2025
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,36.818333333333335,6.5,11.7,0.556,1.3,2.6,0.5,11.7,14.3,0.818,1.3,10.4,11.7,9.1,6.5,0.0,0.0,0.0,3.9,10.4,26.1,-30.0,47.3,0,0,48.2,1,905,1,905,296,878,1204,442,917,1319,253,99,106,479,864,301,441,205,187,825,570,598,859,99,525,1486,612,145,9,530,1,36:49,2024,2025
2024-25,201566,Russell Westbrook,Russell,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,21.811666666666667,4.4,15.4,0.286,4.4,11.0,0.4,0.0,0.0,0.0,2.2,8.8,11.0,4.4,8.8,0.0,0.0,2.2,6.6,0.0,13.2,-74.8,24.2,0,0,33.0,1,905,1,905,944,1147,895,1251,322,360,513,893,947,893,662,438,503,672,79,825,570,281,385,1216,1133,1729,1397,145,9,1116,1,21:49,2024,2025
2024-25,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,42400227,2025-05-18T00:00:00,DEN @ OKC,L,23.205,6.2,16.5,0.375,0.0,8.3,0.0,0.0,0.0,0.0,4.1,2.1,6.2,2.1,0.0,2.1,0.0,0.0,4.1,0.0,12.4,-16.5,29.2,0,0,24.8,1,905,1,905,891,923,799,1044,989,628,989,893,947,893,330,1364,1053,1037,1101,534,570,598,813,1216,1180,1281,1251,145,9,1377,1,23:12,2024,2025
2024-25,1627750,Jamal Murray,Jamal,1610612743,DEN,Denver Nuggets,42400226,2025-05-15T00:00:00,DEN vs. OKC,W,42.333333333333336,10.2,21.5,0.474,2.3,6.8,0.333,5.7,6.8,0.833,1.1,7.9,9.1,7.9,5.7,0.0,1.1,1.1,3.4,7.9,28.3,31.7,48.9,0,0,49.9,1,1,901,1,76,430,426,771,720,801,600,383,442,437,922,527,695,293,248,825,552,575,966,236,428,234,558,145,9,476,1,42:20,2024,2025
2024-25,203932,Aaron Gordon,Aaron,1610612743,DEN,Denver Nuggets,42400226,2025-05-15T00:00:00,DEN vs. OKC,W,38.263333333333335,2.5,8.8,0.286,1.3,5.0,0.25,0.0,0.0,0.0,2.5,6.3,8.8,8.8,1.3,1.3,0.0,0.0,0.0,3.8,6.3,21.3,32.5,0,0,27.6,1,1,901,1,228,1373,1406,1251,930,1044,771,893,947,893,587,755,718,224,1046,755,570,598,1386,731,1432,371,1151,145,9,1287,1,38:16,2024,2025
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,42400226,2025-05-15T00:00:00,DEN vs. OKC,W,40.82,10.6,16.5,0.643,1.2,3.5,0.333,11.8,14.1,0.833,1.2,15.3,16.5,9.4,1.2,2.4,1.2,1.2,4.7,9.4,34.1,12.9,77.4,1,0,68.2,1,1,901,1,120,390,811,276,958,1213,600,98,111,437,908,99,177,186,1074,466,536,559,687,140,247,542,87,1,9,122,1,40:49,2024,2025
2024-25,1629008,Michael Porter Jr.,Michael,1610612743,DEN,Denver Nuggets,42400226,2025-05-15T00:00:00,DEN vs. OKC,W,28.953333333333333,6.6,14.9,0.444,3.3,8.3,0.4,0.0,0.0,0.0,0.0,6.6,6.6,0.0,1.7,1.7,1.7,0.0,1.7,0.0,16.6,8.3,32.8,0,0,33.2,1,1,901,1,676,855,934,839,486,625,513,893,947,893,947,709,984,1202,912,597,371,598,1291,1216,952,649,1137,145,9,1108,1,28:57,2024,2025
2024-25,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,42400226,2025-05-15T00:00:00,DEN vs. OKC,W,39.31333333333333,9.8,17.1,0.571,3.7,7.3,0.5,4.9,4.9,1.0,2.4,11.0,13.4,6.1,2.4,3.7,1.2,1.2,4.9,3.7,28.1,17.1,65.6,1,0,61.0,1,1,901,1,188,476,749,397,426,726,253,454,596,1,610,269,332,469,742,238,510,530,655,742,443,452,203,1,9,229,1,39:19,2024,2025
2024-25,1631124,Julian Strawther,Julian,1610612743,DEN,Denver Nuggets,42400226,2025-05-15T00:00:00,DEN vs. OKC,W,19.51333333333333,9.8,19.7,0.5,7.4,9.8,0.75,9.8,9.8,1.0,2.5,2.5,4.9,0.0,0.0,0.0,0.0,0.0,7.4,4.9,36.9,9.8,42.8,0,0,49.2,1,1,901,1,1033,463,547,533,102,452,107,150,247,1,605,1319,1212,1202,1101,825,570,598,302,563,185,619,779,145,9,501,1,19:31,2024,2025
2024-25,201566,Russell Westbrook,Russell,1610612743,DEN,Denver Nuggets,42400226,2025-05-15T00:00:00,DEN vs. OKC,W,16.926666666666666,8.5,22.7,0.375,0.0,5.7,0.0,5.7,11.3,0.5,8.5,0.0,8.5,0.0,11.3,0.0,2.8,0.0,0.0,8.5,22.7,-25.5,30.1,0,0,36.9,1,1,901,1,1141,620,368,1044,989,958,989,382,192,695,101,1452,744,1202,34,825,206,598,1386,192,654,1422,1222,145,9,941,1,16:56,2024,2025
2024-25,1631212,Peyton Watson,Peyton,1610612743,DEN,Denver Nuggets,42400226,2025-05-15T00:00:00,DEN vs. OKC,W,13.876666666666669,3.5,24.2,0.143,0.0,6.9,0.0,6.9,6.9,1.0,3.5,6.9,10.4,0.0,0.0,3.5,3.5,3.5,3.5,6.9,13.8,-34.6,47.0,0,0,38.0,1,1,901,1,1261,1270,273,1421,989,784,989,284,432,1,411,671,556,1202,1101,263,153,121,950,322,1104,1532,619,145,9,896,1,13:53,2024,2025
