season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2024-25,1630541,Moses Moody,Moses,1610612744,GSW,Golden State Warriors,42400235,2025-05-14T00:00:00,GSW @ MIN,L,12.0,4.0,2.0,1.0,2.0,6.0,0.0,8.0,20.0,0.0,0.0,2.0,3.0,21.2,1,871,871,871,1281,171,388,600,802,735,1,1162,832,547,1,763,344,723,1,12:00,2024,2025
2024-25,203110,Draymond Green,Draymond,1610612744,GSW,Golden State Warriors,42400235,2025-05-14T00:00:00,GSW @ MIN,L,35.8,0.0,2.0,0.0,6.0,14.0,2.0,12.0,56.0,0.0,0.0,4.0,1.0,26.2,1,871,871,871,343,751,388,625,404,1443,308,1472,7,547,1,1412,773,557,1,35:46,2024,2025
2024-25,202710,Jimmy Butler III,Jimmy,1610612744,GSW,Golden State Warriors,42400235,2025-05-14T00:00:00,GSW @ MIN,L,41.9,2.0,4.0,0.0,6.0,19.0,0.0,16.0,60.0,0.0,0.0,2.0,6.0,41.2,1,871,871,871,95,423,147,625,404,1636,1,1654,1,547,1,763,92,218,1,41:54,2024,2025
2024-25,1627741,Buddy Hield,Buddy,1610612744,GSW,Golden State Warriors,42400235,2025-05-14T00:00:00,GSW @ MIN,L,29.6,2.0,0.0,2.0,4.0,11.0,2.0,8.0,38.0,0.0,0.0,5.0,2.0,16.3,1,871,871,871,625,423,705,325,582,1253,308,1162,202,547,1,1609,505,908,1,29:37,2024,2025
2024-25,1642366,Quinten Post,Quinten,1610612744,GSW,Golden State Warriors,42400235,2025-05-14T00:00:00,GSW @ MIN,L,9.9,0.0,0.0,0.0,0.0,6.0,0.0,6.0,16.0,0.0,0.0,1.0,0.0,4.6,1,871,871,871,1353,751,705,625,1167,735,1,944,991,547,1,400,1168,1409,1,9:56,2024,2025
2024-25,1630228,Jonathan Kuminga,Jonathan,1610612744,GSW,Golden State Warriors,42400235,2025-05-14T00:00:00,GSW @ MIN,L,32.2,3.0,5.0,2.0,14.0,12.0,2.0,10.0,50.0,0.0,2.0,2.0,1.0,33.6,1,871,871,871,521,271,90,325,65,1324,308,1324,26,547,1564,763,773,378,1,32:14,2024,2025
2024-25,1627780,Gary Payton II,Gary,1610612744,GSW,Golden State Warriors,42400235,2025-05-14T00:00:00,GSW @ MIN,L,5.7,0.0,0.0,0.0,0.0,5.0,0.0,2.0,12.0,0.0,0.0,0.0,1.0,3.0,1,871,871,871,1485,751,705,625,1167,633,1,358,1167,547,1,1,773,1484,1,5:42,2024,2025
2024-25,1626172,Kevon Looney,Kevon,1610612744,GSW,Golden State Warriors,42400235,2025-05-14T00:00:00,GSW @ MIN,L,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.1,1,871,871,871,1477,751,705,625,1167,431,1,1,1322,547,1,1,1168,1382,1,5:59,2024,2025
2024-25,1641764,Brandin Podziemski,Brandin,1610612744,GSW,Golden State Warriors,42400235,2025-05-14T00:00:00,GSW @ MIN,L,38.7,10.0,10.0,2.0,12.0,15.0,0.0,12.0,56.0,0.0,2.0,3.0,4.0,45.2,1,871,871,871,213,12,5,325,109,1494,1,1472,7,547,1564,1145,227,157,1,38:44,2024,2025
2024-25,1630311,Pat Spencer,Pat,1610612744,GSW,Golden State Warriors,42400235,2025-05-14T00:00:00,GSW @ MIN,L,5.7,0.0,0.0,0.0,2.0,2.0,2.0,2.0,12.0,0.0,0.0,1.0,0.0,2.7,1,871,871,871,1483,751,705,625,802,256,308,358,1167,547,1,400,1168,1499,1,5:44,2024,2025
