season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
,1630205,Lamar Stevens,Lamar,1610612763,MEM,,42400144,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,871,871,871,1731,751,705,625,1167,1,1,1,1643,547,1,400,1168,1620,1,,2024,2025
,1628991,Jaren Jackson Jr.,Jaren,1610612763,MEM,,42400144,,,,34.7,2.0,0.0,0.0,4.0,24.0,13.0,13.0,40.0,1.0,2.0,5.0,4.0,23.8,1,871,871,871,383,423,705,625,582,1713,1459,1521,162,170,1564,1609,227,628,1,,2024,2025
,1630643,Jay Huff,Jay,1610612763,MEM,,42400144,,,,6.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,6.0,1.0,0.0,1.0,0.0,5.7,1,871,871,871,1479,751,705,625,1167,735,1,808,1404,170,1,400,1168,1348,1,,2024,2025
,1630583,Santi Aldama,Santi,1610612763,MEM,,42400144,,,,40.1,0.0,0.0,3.0,6.0,24.0,13.0,11.0,42.0,0.0,0.0,3.0,1.0,36.3,1,871,871,871,149,751,705,204,404,1713,1459,1399,114,547,1,1145,773,316,1,,2024,2025
,1631246,Vince Williams Jr.,Vince,1610612763,MEM,,42400144,,,,18.1,3.0,0.0,0.0,0.0,13.0,2.0,6.0,22.0,0.0,0.0,2.0,1.0,23.3,1,871,871,871,1050,271,705,625,1167,1382,308,944,754,547,1,763,773,649,1,,2024,2025
,1630590,Scotty Pippen Jr.,Scotty,1610612763,MEM,,42400144,,,,36.9,2.0,3.0,0.0,12.0,26.0,13.0,18.0,46.0,0.0,3.0,6.0,7.0,44.2,1,871,871,871,288,423,251,625,109,1724,1459,1682,52,547,1689,1711,53,169,1,,2024,2025
,1628379,Luke Kennard,Luke,1610612763,MEM,,42400144,,,,17.7,0.0,0.0,0.0,2.0,7.0,5.0,6.0,18.0,0.0,0.0,1.0,0.0,10.1,1,871,871,871,1070,751,705,625,802,860,701,944,918,547,1,400,1168,1172,1,,2024,2025
,1629723,John Konchar,John,1610612763,MEM,,42400144,,,,16.3,0.0,0.0,0.0,2.0,16.0,4.0,14.0,20.0,1.0,0.0,2.0,1.0,19.2,1,871,871,871,1114,751,705,625,802,1539,578,1578,832,170,1,763,773,792,1,,2024,2025
,1630217,Desmond Bane,Desmond,1610612763,MEM,,42400144,,,,37.7,2.0,4.0,4.0,8.0,31.0,12.0,16.0,42.0,0.0,2.0,5.0,5.0,31.5,1,871,871,871,248,423,147,124,265,1731,1393,1654,114,547,1564,1609,143,428,1,,2024,2025
,1641744,Zach Edey,Zach,1610612763,MEM,,42400144,,,,32.5,0.0,4.0,0.0,6.0,18.0,13.0,11.0,34.0,7.0,0.0,6.0,1.0,39.1,1,871,871,871,505,751,147,625,404,1602,1459,1399,299,1,1,1711,773,256,1,,2024,2025
