season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2015-16,203895,Jordan McRae,Jordan,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,52.9,15.7,32.6,0.483,3.4,5.6,0.6,5.6,9.0,0.625,1.1,3.4,4.5,7.9,5.6,0.0,0.0,5.6,5.6,5.6,40.4,3.4,52.0,0,0,56.2,1,13074,1,13074,3563,1205,716,11307,4759,9622,2761,5880,4265,10341,13004,18442,18618,4461,3720,12313,8004,660,7782,6955,1247,11061,6927,2107,76,3999,1.0,47:06,2015,2016
2015-16,203521,Matthew Dellavedova,Matthew,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,47.3,23.1,38.5,0.6,0.0,7.7,0.0,0.0,0.0,0.0,7.7,23.1,30.8,15.4,0.0,0.0,0.0,0.0,0.0,0.0,46.2,23.1,106.2,0,0,92.3,1,13074,1,13074,18387,156,223,4873,11051,6100,11051,14161,15066,14161,1618,243,217,673,16943,12313,8004,8866,21100,18762,563,4195,110,2107,76,156,1.0,6:09,2015,2016
2015-16,201619,Sasha Kaun,Sasha,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,52.3,2.3,13.6,0.167,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.8,11.4,0.0,0.0,2.3,4.5,6.8,0.0,2.3,4.5,11.4,38.6,0,0,29.5,1,13074,1,13074,4631,21682,16253,21747,11051,17277,11051,14161,15066,14161,4291,10923,7685,18354,16943,7253,1496,380,21100,15590,22704,7870,13983,2107,76,18322,1.0,23:01,2015,2016
2015-16,2592,James Jones,James,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,54.2,6.1,15.2,0.4,1.5,7.6,0.2,0.0,0.0,0.0,1.5,6.1,7.6,1.5,4.5,1.5,1.5,0.0,7.6,4.5,13.6,-6.1,29.5,0,0,30.3,1,13074,1,13074,2080,14759,14189,14037,9681,6380,10165,14161,15066,14161,11435,12502,13147,17534,5612,10410,6610,8866,4273,9260,17150,15270,18907,2107,76,17910,1.0,35:45,2015,2016
2015-16,2563,Dahntay Jones,Dahntay,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,53.6,7.6,17.7,0.429,1.3,2.5,0.5,0.0,0.0,0.0,1.3,5.1,6.3,2.5,0.0,1.3,2.5,2.5,7.6,1.3,16.5,-1.3,39.2,0,0,34.2,1,13074,1,13074,2656,11410,10630,12903,10735,15220,3313,14161,15066,14161,12691,14757,15323,14624,16943,11870,3991,3918,4268,18639,14801,13239,13660,2107,76,15635,1.0,42:21,2015,2016
2015-16,202684,Tristan Thompson,Tristan,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,13074,1,13074,26048,22516,24912,22516,11051,17277,11051,14161,15066,14161,13060,22256,23166,18354,16943,12313,8004,8866,21100,18762,23226,12042,25169,2107,76,25214,1.0,0:04,2015,2016
2015-16,101112,Channing Frye,Channing,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,52.6,7.7,12.8,0.6,1.3,3.8,0.333,1.3,1.3,1.0,1.3,6.4,7.7,5.1,0.0,1.3,0.0,0.0,1.3,2.6,17.9,-6.4,38.7,0,0,34.6,1,13074,1,13074,4015,11020,17378,4873,10672,12759,7128,14018,15010,1,12624,11799,12806,8334,16943,11804,8004,8866,20834,14755,13491,15433,13941,2107,76,15326,1.0,41:04,2015,2016
2015-16,202389,Timofey Mozgov,Timofey,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,53.0,10.1,17.4,0.583,0.0,0.0,0.0,0.0,0.0,0.0,1.4,15.9,17.4,4.3,1.4,0.0,2.9,1.4,2.9,0.0,20.3,1.4,54.9,1,0,47.8,1,13074,1,13074,3506,6544,10994,5861,11051,17277,11051,14161,15066,14161,11783,1410,2804,9864,15900,12313,3246,7428,15823,18762,11430,11886,5778,1,76,7513,1.0,36:33,2015,2016
2015-16,2210,Richard Jefferson,Richard,1610612739,CLE,Cleveland Cavaliers,21501220,2016-04-13T00:00:00,CLE vs. DET,L,54.0,8.2,18.0,0.455,1.6,3.3,0.5,8.2,9.8,0.833,0.0,3.3,3.3,3.3,1.6,0.0,0.0,0.0,4.9,4.9,26.2,-19.7,33.4,0,0,34.4,1,13074,1,13074,2212,10122,10242,11898,9183,13767,3313,3056,3568,7124,13060,18601,20639,12462,14978,12313,8004,8866,9561,8456,6792,19998,16876,2107,76,15445,1.0,32:58,2015,2016
2015-16,101112,Channing Frye,Channing,1610612739,CLE,Cleveland Cavaliers,21501203,2016-04-11T00:00:00,CLE vs. ATL,W,50.1,6.5,16.1,0.4,3.2,12.9,0.25,0.0,0.0,0.0,0.0,6.5,6.5,0.0,6.5,0.0,3.2,0.0,6.5,0.0,16.1,-6.5,27.1,0,0,32.3,1,1,13006,1,9959,13895,12788,14037,4988,1587,9116,14161,15066,14161,13060,11658,15055,18354,2617,12313,2719,8866,6019,18762,15083,15440,19998,2107,76,16846,1.0,15:32,2015,2016
