season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2016-17,2207,Joe Johnson,Joe,1610612762,UTA,Utah Jazz,41600224,2017-05-08T00:00:00,UTA vs. GSW,L,26.1,2.0,8.0,0.25,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,-6.0,9.9,0,0,9.0,1,873,1,873,697,888,624,1265,825,531,825,408,512,1,832,809,966,742,1008,745,514,542,946,752,907,1219,1143,135,10,1144,1,26:08,2016,2017
2016-17,202714,Shelvin Mack,Shelvin,1610612762,UTA,Utah Jazz,41600224,2017-05-08T00:00:00,UTA vs. GSW,L,23.9,6.0,11.0,0.545,2.0,4.0,0.5,4.0,4.0,1.0,1.0,4.0,5.0,2.0,2.0,0.0,0.0,1.0,4.0,3.0,18.0,-13.0,25.0,0,0,27.0,1,873,1,873,786,302,412,496,218,380,240,200,267,1,380,405,433,498,250,745,514,156,92,302,268,1514,538,135,10,438,1,23:54,2016,2017
2016-17,203526,Raul Neto,Raul,1610612762,UTA,Utah Jazz,41600224,2017-05-08T00:00:00,UTA vs. GSW,L,12.4,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,-4.0,6.6,0,0,7.0,1,873,1,873,1259,1160,1342,539,825,957,825,408,512,1,832,571,748,1151,520,745,514,542,588,752,1119,1101,1303,135,10,1256,1,12:22,2016,2017
2016-17,203918,Rodney Hood,Rodney,1610612762,UTA,Utah Jazz,41600224,2017-05-08T00:00:00,UTA vs. GSW,L,14.3,1.0,5.0,0.2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,-18.0,4.9,0,0,5.0,1,873,1,873,1180,1160,919,1336,825,730,825,869,512,869,832,809,966,742,520,745,514,542,16,752,1302,1618,1411,135,10,1371,1,14:20,2016,2017
2016-17,202324,Derrick Favors,Derrick,1610612762,UTA,Utah Jazz,41600224,2017-05-08T00:00:00,UTA vs. GSW,L,11.5,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,2.0,12.6,0,0,11.0,1,873,1,873,1297,888,919,918,825,1219,825,408,512,1,832,571,748,1151,1008,745,150,156,1361,752,907,653,999,135,10,1041,1,11:30,2016,2017
2016-17,1626168,Trey Lyles,Trey,1610612762,UTA,Utah Jazz,41600224,2017-05-08T00:00:00,UTA vs. GSW,L,3.9,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.2,0,0,1.0,1,873,1,873,1588,1410,1192,1410,825,957,825,869,920,869,832,1062,1231,1151,1008,745,514,542,1361,1177,1470,967,1597,135,10,1594,1,3:53,2016,2017
2016-17,203957,Danté Exum,Danté,1610612762,UTA,Utah Jazz,41600224,2017-05-08T00:00:00,UTA vs. GSW,L,31.5,5.0,14.0,0.357,1.0,5.0,0.2,4.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,5.0,15.0,-12.0,23.6,0,0,23.0,1,873,1,873,489,411,241,1062,439,269,757,200,267,1,380,809,748,498,520,290,514,156,285,134,371,1478,575,135,10,548,1,31:32,2016,2017
2016-17,204060,Joe Ingles,Joe,1610612762,UTA,Utah Jazz,41600224,2017-05-08T00:00:00,UTA vs. GSW,L,25.5,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,4.0,0.0,0.0,3.0,1.0,7.0,-3.0,26.3,0,0,23.0,1,873,1,873,732,690,806,539,439,531,527,869,920,869,832,405,585,338,250,13,514,542,285,752,837,1028,497,135,10,548,1,25:29,2016,2017
2016-17,1627762,Joel Bolomboy,Joel,1610612762,UTA,Utah Jazz,41600224,2017-05-08T00:00:00,UTA vs. GSW,L,3.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,0,0,3.0,1,873,1,873,1600,1410,1478,1410,825,1219,825,869,920,869,832,1062,1231,1151,1008,745,150,542,1361,1177,1470,796,1445,135,10,1485,1,3:42,2016,2017
2016-17,2564,Boris Diaw,Boris,1610612762,UTA,Utah Jazz,41600224,2017-05-08T00:00:00,UTA vs. GSW,L,15.6,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-14.0,4.5,0,0,3.0,1,873,1,873,1125,1410,1342,1410,825,957,825,869,920,869,832,1413,1492,742,1008,745,150,542,1361,488,1470,1546,1426,135,10,1485,1,15:38,2016,2017
