season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2017-18,203920,Khem Birch,Khem,1610612753,ORL,Orlando Magic,21701222,2018-04-11T00:00:00,ORL vs. WAS,W,32.85333333333333,3,3,1.0,0,0,0.0,7,10,0.7,3,6,9,1,2,0,2,0,2,7,13,2,29.3,0,0,27.0,1,1,1,1,4829,12053,20118,1,12784,18958,12784,658,381,9257,1318,3036,2084,12861,4386,12224,803,1,11691,463,7521,10074,6285,2016,109,6662,1.0,32:51,2017,2018
2017-18,201571,D.J. Augustin,D.J.,1610612753,ORL,Orlando Magic,21701222,2018-04-11T00:00:00,ORL vs. WAS,W,12.0,3,3,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,7,3,8.5,0,0,9.0,1,1,1,1,21750,12053,20118,1,6911,15030,1,13731,14642,13731,12711,22415,23339,12861,16820,12224,8133,1,1,18674,14463,9131,20475,2016,109,19576,1.0,12:00,2017,2018
2017-18,1628503,Jamel Artis,Jamel,1610612753,ORL,Orlando Magic,21701222,2018-04-11T00:00:00,ORL vs. WAS,W,21.816666666666663,1,5,0.2,0,0,0.0,1,2,0.5,0,5,5,1,1,0,0,0,3,2,3,-5,9.5,0,0,9.0,1,1,1,1,14534,19115,16430,21382,12784,18958,12784,10216,7582,10590,12711,4562,7090,12861,9095,12224,8133,1,17900,7539,20013,17397,19802,2016,109,19576,1.0,21:49,2017,2018
2017-18,201578,Marreese Speights,Marreese,1610612753,ORL,Orlando Magic,21701222,2018-04-11T00:00:00,ORL vs. WAS,W,3.35,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,2,1,0,0,2,0,0,-2,2.2,0,0,3.0,1,1,1,1,25041,22697,23497,22697,12784,15030,12784,13731,14642,13731,12711,17844,19703,18867,4386,4599,8133,1,11691,18674,23334,14288,24259,2016,109,23594,1.0,3:21,2017,2018
2017-18,202714,Shelvin Mack,Shelvin,1610612753,ORL,Orlando Magic,21701222,2018-04-11T00:00:00,ORL vs. WAS,W,20.216666666666665,1,7,0.143,0,2,0.0,1,1,1.0,0,1,1,2,1,1,0,1,1,4,3,2,9.2,0,0,8.0,1,1,1,1,15906,19115,12683,22272,12784,11647,12784,10216,13052,1,12711,17844,19703,8497,9095,4599,8133,17404,5153,2633,20013,10074,19978,2016,109,20351,1.0,20:13,2017,2018
2017-18,1628411,Wes Iwundu,Wes,1610612753,ORL,Orlando Magic,21701222,2018-04-11T00:00:00,ORL vs. WAS,W,25.166666666666668,1,2,0.5,1,2,0.5,2,2,1.0,0,0,0,2,0,0,1,0,6,1,5,16,11.0,0,0,10.0,1,1,1,1,11582,19115,21901,8363,6911,11647,3791,5999,7582,1,12711,22415,23339,8497,16820,12224,2512,1,25886,12172,17225,1859,18754,2016,109,18828,1.0,25:10,2017,2018
2017-18,201167,Arron Afflalo,Arron,1610612753,ORL,Orlando Magic,21701222,2018-04-11T00:00:00,ORL vs. WAS,W,17.123333333333335,5,7,0.714,2,4,0.5,0,0,0.0,0,0,0,1,0,0,0,0,2,0,12,4,13.5,0,0,15.0,1,1,1,1,18451,6480,12683,2604,3481,6151,3791,13731,14642,13731,12711,22415,23339,12861,16820,12224,8133,1,11691,18674,8469,8276,16935,2016,109,14956,1.0,17:07,2017,2018
2017-18,203932,Aaron Gordon,Aaron,1610612753,ORL,Orlando Magic,21701222,2018-04-11T00:00:00,ORL vs. WAS,W,12.0,4,9,0.444,3,5,0.6,0,0,0.0,0,3,3,0,1,0,1,0,1,0,11,3,16.6,0,0,19.0,1,1,1,1,21750,9019,9295,12726,1558,4175,3041,13731,14642,13731,12711,9682,12541,18867,9095,12224,2512,1,5153,18674,9561,9131,14588,2016,109,11894,1.0,12:00,2017,2018
2017-18,202696,Nikola Vučević,Nikola,1610612753,ORL,Orlando Magic,21701222,2018-04-11T00:00:00,ORL vs. WAS,W,12.0,1,5,0.2,0,1,0.0,0,0,0.0,1,3,4,3,0,1,0,0,0,0,2,3,14.3,0,0,11.0,1,1,1,1,21750,19115,16430,21382,12784,15030,12784,13731,14642,13731,5905,9682,9561,5723,16820,4599,8133,1,1,18674,21168,9131,16315,2016,109,18043,1.0,12:00,2017,2018
2017-18,202687,Bismack Biyombo,Bismack,1610612753,ORL,Orlando Magic,21701222,2018-04-11T00:00:00,ORL vs. WAS,W,11.81,3,4,0.75,0,0,0.0,0,0,0.0,1,2,3,1,0,1,1,0,3,2,6,4,17.1,0,0,14.0,1,1,1,1,21920,12053,18324,1914,12784,18958,12784,13731,14642,13731,5905,13412,12541,12861,16820,4599,2512,1,17900,7539,15609,8276,14216,2016,109,15738,1.0,11:49,2017,2018
