season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2019-20,1627827,Dorian Finney-Smith,Dorian,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,10.833333333333334,0.0,3.3,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,3.3,0.0,0.0,13.3,5.0,0,0,3.3,1,11184,1,11184,19236,19596,21032,19596,12218,13624,12218,12027,12814,12027,11304,19440,20207,9177,14567,10567,7040,7528,9343,16138,20146,4911,21500,1909,101,21680,1,10:50,2019,2020
2019-20,203552,Seth Curry,Seth,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,20.05,5.4,16.2,0.333,3.6,5.4,0.667,0.0,0.0,0.0,1.8,1.8,3.6,0.0,0.0,0.0,0.0,0.0,3.6,0.0,14.4,-43.1,18.7,0,0,21.5,1,11184,1,11184,13862,11035,5758,14612,3519,9247,1664,12027,12814,12027,7194,17904,15915,16549,14567,10567,7040,7528,8482,16138,11420,21403,18288,1909,101,16640,1,20:03,2019,2020
2019-20,1626246,Boban Marjanović,Boban,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,29.383333333333333,11.0,17.2,0.643,0.0,1.2,0.0,0.0,1.2,0.0,7.4,17.2,24.5,3.7,3.7,0.0,0.0,1.2,2.5,2.5,22.1,-12.3,53.3,1,0,50.2,1,11184,1,11184,6888,1779,4720,3741,12218,17257,12218,12027,12398,12027,646,276,162,8349,4193,10567,7040,5321,12498,10712,5039,16374,1775,1,101,1794,1,29:23,2019,2020
2019-20,1629029,Luka Dončić,Luka,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,13.233333333333333,13.6,24.5,0.556,2.7,5.4,0.5,19.0,19.0,1.0,2.7,10.9,13.6,0.0,2.7,2.7,0.0,0.0,5.4,13.6,49.0,-5.4,70.7,0,0,70.7,1,11184,1,11184,18165,589,730,5983,5544,9143,3230,74,155,1,4592,1855,2107,16549,6824,2917,7040,7528,3927,144,111,13573,284,1909,101,193,1,13:14,2019,2020
2019-20,203077,Michael Kidd-Gilchrist,Michael,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,21.05,3.4,8.6,0.4,0.0,0.0,0.0,3.4,3.4,1.0,1.7,3.4,5.1,1.7,1.7,0.0,1.7,1.7,3.4,1.7,10.3,-32.5,22.4,0,0,20.5,1,11184,1,11184,13183,15669,16676,12431,12218,17645,12218,6279,8294,1,7433,13955,12564,13986,10679,10567,3712,3621,9001,13304,15163,20646,16482,1909,101,17157,1,21:03,2019,2020
2019-20,1628382,Justin Jackson,Justin,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,28.75,6.3,12.5,0.5,1.3,5.0,0.25,2.5,2.5,1.0,0.0,2.5,2.5,0.0,1.3,0.0,0.0,0.0,0.0,1.3,16.3,-13.8,18.0,0,0,20.0,1,11184,1,11184,7368,8920,10751,7108,10572,10047,9796,8234,10209,1,11304,16263,17994,16549,12648,10567,7040,7528,18209,14949,9558,16874,18562,1909,101,17424,1,28:45,2019,2020
2019-20,1629729,Josh Reaves,Josh,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,13.2,2.7,10.9,0.25,0.0,2.7,0.0,5.5,5.5,1.0,2.7,2.7,5.5,0.0,0.0,0.0,0.0,0.0,8.2,2.7,10.9,2.7,17.5,0,0,16.4,1,11184,1,11184,18182,17063,13281,17337,12218,14775,12218,3211,4857,1,4576,15747,11880,16549,14567,10567,7040,7528,1353,9887,14636,9475,18799,1909,101,19084,1,13:12,2019,2020
2019-20,203501,Tim Hardaway Jr.,Tim,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,20.05,3.6,14.4,0.25,1.8,5.4,0.333,5.4,7.2,0.75,0.0,3.6,3.6,0.0,1.8,0.0,0.0,1.8,3.6,3.6,14.4,-43.1,16.9,0,0,19.8,1,11184,1,11184,13862,15310,8040,17337,8613,9247,7485,3275,2999,7163,11304,13521,15915,16549,10374,10567,7040,3418,8482,7371,11420,21403,19028,1909,101,17560,1,20:03,2019,2020
2019-20,1626153,Delon Wright,Delon,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,21.883333333333333,3.3,6.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,6.6,1.6,1.6,0.0,1.6,1.6,0.0,6.6,-8.2,23.7,0,0,19.7,1,11184,1,11184,12570,15926,18926,7108,12218,17645,12218,12027,12814,12027,11304,14270,16483,3404,10914,6172,7040,3783,15597,16138,17997,14796,15764,1909,101,17567,1,21:53,2019,2020
2019-20,200826,J.J. Barea,J.J.,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,18.98333333333333,7.6,22.8,0.333,1.9,9.5,0.2,0.0,0.0,0.0,0.0,3.8,3.8,7.6,1.9,0.0,0.0,0.0,0.0,0.0,17.1,-20.9,31.1,0,0,30.3,1,11184,1,11184,14648,6133,1148,14612,8248,2750,11014,12027,12814,12027,11304,13002,15514,2469,9970,10567,7040,7528,18209,16138,8821,18852,11289,1909,101,11061,1,18:59,2019,2020
2019-20,1628499,Antonius Cleveland,Antonius,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,13.2,5.5,8.2,0.667,0.0,2.7,0.0,0.0,2.7,0.0,0.0,2.7,2.7,2.7,2.7,0.0,5.5,0.0,5.5,2.7,10.9,2.7,31.9,0,0,27.3,1,11184,1,11184,18182,10875,17142,2660,12218,14775,12218,12027,9758,12027,11304,15747,17630,10856,6803,10567,406,7528,3907,9887,14636,9475,10761,1909,101,13098,1,13:12,2019,2020
2019-20,203504,Trey Burke,Trey,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,18.65,5.8,15.4,0.375,1.9,5.8,0.333,0.0,0.0,0.0,0.0,1.9,1.9,5.8,1.9,1.9,0.0,0.0,0.0,0.0,13.5,-19.3,28.4,0,0,27.0,1,11184,1,11184,14872,10081,6674,13599,8124,8368,7485,12027,12814,12027,11304,17630,19018,4437,9819,5186,7040,7528,18209,16138,12218,18486,12968,1909,101,13266,1,18:39,2019,2020
