season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2022-23,1626220,Royce O'Neale,Royce,1610612751,BKN,Brooklyn Nets,42200124,2023-04-22T00:00:00,BKN vs. PHI,L,24.626666666666665,1.5,8.8,0.167,1.5,7.3,0.2,0.0,0.0,0.0,0.0,2.9,2.9,5.8,0.0,1.5,0.0,0.0,1.5,1.5,4.4,-2.9,21.1,0,0,17.5,1,857,1,857,877,1355,1145,1349,719,447,808,824,862,824,876,1060,1232,295,982,451,536,565,1165,945,1380,981,1216,183,15,1314,1,24:38,2022,2023
2022-23,203552,Seth Curry,Seth,1610612751,BKN,Brooklyn Nets,42200124,2023-04-22T00:00:00,BKN vs. PHI,L,21.51,5.0,10.0,0.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-10.0,18.6,0,0,16.7,1,857,1,857,1000,823,1002,524,914,779,914,824,862,824,876,660,905,992,982,752,536,565,1325,1103,1070,1211,1322,183,15,1340,1,21:31,2022,2023
2022-23,203925,Joe Harris,Joe,1610612751,BKN,Brooklyn Nets,42200124,2023-04-22T00:00:00,BKN vs. PHI,L,13.356666666666667,2.7,13.5,0.2,0.0,10.8,0.0,5.4,5.4,1.0,0.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0,8.1,2.7,10.8,-5.4,17.2,0,0,16.2,1,857,1,857,1261,1211,636,1312,914,145,914,222,316,1,876,602,847,1173,982,752,536,565,105,657,1028,1047,1359,183,15,1365,1,13:21,2022,2023
2022-23,201988,Patty Mills,Patty,1610612751,BKN,Brooklyn Nets,42200124,2023-04-22T00:00:00,BKN vs. PHI,L,5.3,0.0,13.6,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,6.8,0.0,-6.8,0.0,0,0,0.0,1,857,1,857,1471,1385,626,1385,914,63,914,824,862,824,876,1370,1453,1173,982,752,536,565,154,115,1429,1098,1601,183,15,1604,1,5:18,2022,2023
2022-23,1628969,Mikal Bridges,Mikal,1610612751,BKN,Brooklyn Nets,42200124,2023-04-22T00:00:00,BKN vs. PHI,L,38.69,5.6,16.7,0.333,1.9,5.6,0.333,2.8,5.6,0.5,0.9,3.7,4.7,2.8,0.9,0.0,0.0,0.9,1.9,2.8,15.8,-12.1,24.7,0,0,25.1,1,857,1,857,262,741,382,1059,624,685,559,514,297,662,801,919,969,752,919,752,536,469,1047,640,690,1253,1064,183,15,1003,1,38:41,2022,2023
2022-23,1629661,Cameron Johnson,Cameron,1610612751,BKN,Brooklyn Nets,42200124,2023-04-22T00:00:00,BKN vs. PHI,L,39.93333333333333,3.6,11.7,0.308,0.9,5.4,0.167,1.8,1.8,1.0,0.9,8.1,9.0,3.6,1.8,0.9,0.0,1.8,0.9,5.4,9.9,-9.0,27.0,1,0,25.2,1,857,1,857,194,1064,825,1166,882,712,859,687,785,1,822,286,413,591,655,688,536,188,1293,230,1077,1171,942,1,15,994,1,39:56,2022,2023
2022-23,203915,Spencer Dinwiddie,Spencer,1610612751,BKN,Brooklyn Nets,42200124,2023-04-22T00:00:00,BKN vs. PHI,L,39.53666666666667,6.4,11.8,0.538,2.7,5.5,0.5,2.7,3.6,0.75,0.0,2.7,2.7,5.5,3.6,0.0,0.9,0.0,2.7,1.8,18.2,-6.4,28.8,0,0,31.0,1,857,1,857,213,612,813,478,404,707,210,523,527,514,876,1103,1260,331,241,752,471,565,805,866,559,1085,858,183,15,723,1,39:32,2022,2023
2022-23,1627827,Dorian Finney-Smith,Dorian,1610612751,BKN,Brooklyn Nets,42200124,2023-04-22T00:00:00,BKN vs. PHI,L,19.133333333333333,5.6,13.2,0.429,3.8,9.4,0.4,0.0,0.0,0.0,0.0,1.9,1.9,1.9,1.9,1.9,1.9,0.0,1.9,0.0,15.1,9.4,29.5,0,0,30.1,1,857,1,857,1079,727,666,835,212,242,460,824,862,824,876,1249,1377,940,622,327,211,565,1038,1103,750,490,833,183,15,758,1,19:08,2022,2023
2022-23,1629651,Nic Claxton,Nic,1610612751,BKN,Brooklyn Nets,42200124,2023-04-22T00:00:00,BKN vs. PHI,L,37.91333333333333,7.6,9.5,0.8,0.0,0.0,0.0,2.8,4.7,0.6,2.8,8.5,11.4,0.9,1.9,0.0,3.8,0.0,1.9,4.7,18.0,-3.8,42.6,1,0,38.0,1,857,1,857,303,436,1069,104,914,1289,914,498,383,643,320,256,240,1144,614,752,57,565,1032,318,571,1010,312,1,15,403,1,37:55,2022,2023
2022-23,203915,Spencer Dinwiddie,Spencer,1610612751,BKN,Brooklyn Nets,42200123,2023-04-20T00:00:00,BKN vs. PHI,L,42.21666666666667,4.3,10.2,0.417,1.7,3.4,0.5,6.8,8.5,0.8,0.0,2.6,2.6,6.0,2.6,1.7,0.0,0.9,0.9,5.1,17.1,-2.6,31.6,0,0,30.7,1,857,1,857,83,957,983,884,666,1026,210,141,136,482,876,1140,1286,285,444,390,536,536,1310,267,622,968,741,183,15,737,1,42:13,2022,2023
