season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2022-23,202397,Ish Smith,Ish,1610612743,DEN,Denver Nuggets,22201227,2023-04-09T00:00:00,DEN vs. SAC,W,23.48333333333333,0.0,6.1,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,4.1,4.1,18.4,4.1,2.0,0.0,0.0,2.0,0.0,0.0,22.5,34.5,0,0,26.6,1,1,12949,1,13285,22559,23403,22559,14184,12717,14184,13851,14660,13851,13272,16540,19286,345,6216,7273,7930,8428,17933,17929,23116,4459,16889,2163,120,20178,1,23:29,2022,2023
2022-23,1628971,Bruce Brown,Bruce,1610612743,DEN,Denver Nuggets,22201227,2023-04-09T00:00:00,DEN vs. SAC,W,31.75,13.6,25.7,0.529,0.0,1.5,0.0,4.5,7.6,0.6,0.0,9.1,9.1,9.1,0.0,4.5,0.0,1.5,3.0,4.5,31.7,15.1,69.8,0,0,59.0,1,1,12949,1,6592,3002,3356,8804,14184,19932,14184,7317,5457,10622,13272,6554,10208,3795,16367,1881,7930,6338,14781,8621,4889,6637,2148,2163,120,4028,1,31:45,2022,2023
2022-23,1628418,Thomas Bryant,Thomas,1610612743,DEN,Denver Nuggets,22201227,2023-04-09T00:00:00,DEN vs. SAC,W,21.216666666666665,11.3,18.1,0.625,4.5,6.8,0.667,0.0,0.0,0.0,2.3,15.8,18.1,0.0,0.0,0.0,2.3,2.3,2.3,0.0,27.1,27.1,55.7,0,0,54.3,1,1,12949,1,15040,5541,10356,5245,4546,11440,1971,13851,14660,13851,8953,1316,2226,19186,16367,11790,4147,3962,17442,17929,7476,3369,6148,2163,120,5683,1,21:13,2022,2023
2022-23,1630192,Zeke Nnaji,Zeke,1610612743,DEN,Denver Nuggets,22201227,2023-04-09T00:00:00,DEN vs. SAC,W,25.9,14.8,29.7,0.5,3.7,16.7,0.222,0.0,3.7,0.0,5.6,7.4,13.0,1.9,7.4,1.9,0.0,0.0,5.6,3.7,33.4,35.2,49.9,0,0,55.6,1,1,12949,1,11424,2084,1568,9075,6324,1089,12698,13851,11006,13851,3010,9323,5426,17462,1599,7901,7930,8428,7329,10655,4148,2106,8752,2163,120,5185,1,25:54,2022,2023
2022-23,1631298,Jack White,Jack,1610612743,DEN,Denver Nuggets,22201227,2023-04-09T00:00:00,DEN vs. SAC,W,15.0,3.2,9.6,0.333,0.0,3.2,0.0,0.0,0.0,0.0,9.6,16.0,25.6,3.2,3.2,3.2,0.0,0.0,3.2,0.0,6.4,41.6,48.3,0,0,41.6,1,1,12949,1,19444,20603,20831,17586,14184,17684,14184,13851,14660,13851,932,1259,538,13910,8605,3956,7930,8428,14250,17929,22012,1421,9528,2163,120,12223,1,15:00,2022,2023
2022-23,202704,Reggie Jackson,Reggie,1610612743,DEN,Denver Nuggets,22201227,2023-04-09T00:00:00,DEN vs. SAC,W,25.183333333333334,13.3,21.0,0.636,3.8,11.4,0.333,0.0,0.0,0.0,0.0,5.7,5.7,7.6,1.9,1.9,0.0,0.0,1.9,0.0,30.5,40.0,52.6,0,0,51.5,1,1,12949,1,11971,3248,7138,5046,6065,4380,8680,13851,14660,13851,13272,12754,16233,5417,13035,7729,7930,8428,18266,17929,5528,1556,7408,2163,120,6980,1,25:11,2022,2023
2022-23,201599,DeAndre Jordan,DeAndre,1610612743,DEN,Denver Nuggets,22201227,2023-04-09T00:00:00,DEN vs. SAC,W,26.78333333333333,3.6,5.4,0.667,0.0,0.0,0.0,3.6,3.6,1.0,5.4,9.0,14.3,3.6,5.4,1.8,0.0,0.0,5.4,3.6,10.8,3.6,33.3,0,0,32.3,1,1,12949,1,10748,20014,23799,3571,14184,20319,14184,9096,11212,1,3197,6734,4340,12965,3741,8115,7930,8428,7746,10960,19731,10975,17490,2163,120,17482,1,26:47,2022,2023
2022-23,1631128,Christian Braun,Christian,1610612743,DEN,Denver Nuggets,22201227,2023-04-09T00:00:00,DEN vs. SAC,W,22.816666666666663,8.4,18.9,0.444,0.0,4.2,0.0,4.2,4.2,1.0,4.2,0.0,4.2,0.0,4.2,0.0,0.0,2.1,2.1,4.2,21.0,-14.7,21.9,0,0,25.2,1,1,12949,1,13774,10702,9379,13499,14184,16108,14184,7915,10130,1,4629,22091,19048,19186,5923,11790,7930,4314,17802,9344,11943,18381,22144,2163,120,20719,1,22:49,2022,2023
2022-23,1631212,Peyton Watson,Peyton,1610612743,DEN,Denver Nuggets,22201227,2023-04-09T00:00:00,DEN vs. SAC,W,26.316666666666663,7.3,18.2,0.4,0.0,3.6,0.0,9.1,12.8,0.714,3.6,3.6,7.3,0.0,3.6,1.8,1.8,3.6,1.8,7.3,23.7,-16.4,39.8,0,0,38.3,1,1,12949,1,11088,12933,10193,15219,14184,17033,14184,2390,1810,9448,5577,17554,13265,19186,7446,8006,5141,1550,18472,3820,9875,18924,14100,2163,120,14172,1,26:19,2022,2023
2022-23,1628427,Vlatko Čančar,Vlatko,1610612743,DEN,Denver Nuggets,22201227,2023-04-09T00:00:00,DEN vs. SAC,W,21.55,4.5,8.9,0.5,2.2,2.2,1.0,13.4,15.6,0.857,2.2,4.5,6.7,4.5,2.2,4.5,0.0,2.2,2.2,11.1,24.5,-4.5,50.3,0,0,46.8,1,1,12949,1,14755,18550,21473,9075,10461,19137,1,835,991,7116,9046,15704,14379,10936,12085,1965,7930,4043,17521,1029,9260,14532,8478,2163,120,9330,1,21:33,2022,2023
