season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2022-23,202691,Klay Thompson,Klay,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,37.6,3.0,19.0,0.158,2.0,12.0,0.167,0.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,-33.0,19.1,0,0,18.0,1,857,1,857,316,775,152,1364,302,18,859,824,862,824,876,639,830,212,982,752,536,171,595,1103,840,1728,839,183,15,838,1,37:37,2022,2023
2022-23,1630237,Anthony Lamb,Anthony,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,3.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.4,0,0,4.0,1,857,1,857,1541,1163,1433,1,914,1289,914,824,862,824,425,1099,1015,1173,982,752,536,565,943,1103,1300,708,1392,183,15,1396,1,3:45,2022,2023
2022-23,1630541,Moses Moody,Moses,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,14.7,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,10.0,13.5,0,0,14.0,1,857,1,857,1214,961,1000,918,302,731,96,824,862,824,425,473,509,823,982,752,536,565,943,747,975,280,1056,183,15,992,1,14:39,2022,2023
2022-23,1629673,Jordan Poole,Jordan,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,23.0,3.0,10.0,0.3,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,2.0,7.0,1.0,12.0,0,0,11.0,1,857,1,857,944,775,579,1179,914,731,914,658,794,1,876,1370,1453,306,528,752,536,171,116,515,917,708,1114,183,15,1127,1,23:02,2022,2023
2022-23,203110,Draymond Green,Draymond,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,24.0,4.0,8.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.0,5.0,9.0,3.0,2.0,0.0,1.0,1.0,5.0,2.0,9.0,-26.0,25.3,0,0,24.0,1,857,1,857,897,618,728,524,557,731,559,824,862,824,60,331,178,432,271,752,178,171,22,515,785,1704,624,183,15,625,1,24:03,2022,2023
2022-23,203952,Andrew Wiggins,Andrew,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,28.3,2.0,8.0,0.25,0.0,3.0,0.0,2.0,4.0,0.5,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0,3.0,6.0,-26.0,14.4,0,0,12.0,1,857,1,857,726,961,728,1235,914,731,914,423,275,662,213,1370,1015,593,982,293,536,171,22,364,975,1704,1018,183,15,1075,1,28:15,2022,2023
2022-23,1626172,Kevon Looney,Kevon,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,26.1,4.0,7.0,0.571,0.0,0.0,0.0,1.0,1.0,1.0,8.0,10.0,18.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,9.0,4.0,32.6,0,0,29.0,1,857,1,857,809,618,804,386,914,1289,914,658,794,1,6,53,14,593,528,752,536,565,294,747,785,520,428,183,15,478,1,26:08,2022,2023
2022-23,1628978,Donte DiVincenzo,Donte,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,25.7,6.0,12.0,0.5,4.0,8.0,0.5,0.0,2.0,0.0,1.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,4.0,2.0,16.0,1.0,21.8,0,0,26.0,1,857,1,857,836,384,445,524,69,140,210,824,515,824,425,639,658,1173,271,293,536,171,116,515,418,708,745,183,15,552,1,25:39,2022,2023
2022-23,1630228,Jonathan Kuminga,Jonathan,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,3.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.5,0,0,3.0,1,857,1,857,1541,1163,1433,1,914,1289,914,824,862,824,876,1370,1453,823,982,752,536,565,1325,1103,1300,708,1434,183,15,1440,1,3:45,2022,2023
2022-23,1627780,Gary Payton II,Gary,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,10.4,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,-18.0,7.9,0,0,7.0,1,857,1,857,1349,961,1210,204,914,1082,914,824,862,824,213,1370,1015,823,982,752,536,565,595,747,1130,1634,1255,183,15,1263,1,10:25,2022,2023
2022-23,1631116,Patrick Baldwin Jr.,Patrick,1610612744,GSW,Golden State Warriors,42200236,2023-05-12T00:00:00,GSW @ LAL,L,3.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,0,0,3.0,1,857,1,857,1541,1385,1433,1385,914,1082,914,824,862,824,876,860,1015,823,982,752,536,565,1325,1103,1429,708,1424,183,15,1440,1,3:45,2022,2023
