season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2024-25,1641744,Zach Edey,Zach,1610612763,MEM,Memphis Grizzlies,42400144,2025-04-26T00:00:00,MEM vs. OKC,L,32.5,3.0,4.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,1.0,1.0,0.0,7.0,0.0,6.0,1.0,8.0,-5.0,39.1,0,0,31.0,1,905,1,905,517,752,1104,133,989,1387,989,453,543,1,234,195,194,815,574,825,1,598,1,805,839,1213,263,145,9,413,1,32:32,2024,2025
2024-25,1630217,Desmond Bane,Desmond,1610612763,MEM,Memphis Grizzlies,42400144,2025-04-26T00:00:00,MEM vs. OKC,L,37.7,7.0,20.0,0.35,2.0,8.0,0.25,7.0,8.0,0.875,1.0,4.0,5.0,5.0,5.0,0.0,0.0,2.0,5.0,5.0,23.0,-1.0,31.5,0,0,35.0,1,905,1,905,251,265,101,1112,275,118,771,79,99,407,469,441,498,193,28,825,570,46,24,148,179,926,439,145,9,311,1,37:43,2024,2025
2024-25,1629723,John Konchar,John,1610612763,MEM,Memphis Grizzlies,42400144,2025-04-26T00:00:00,MEM vs. OKC,L,16.3,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,-14.0,19.2,0,0,16.0,1,905,1,905,1159,1171,1490,1,989,1387,989,453,543,1,469,298,367,562,574,328,178,598,614,805,1159,1592,826,145,9,916,1,16:17,2024,2025
2024-25,1630643,Jay Huff,Jay,1610612763,MEM,Memphis Grizzlies,42400144,2025-04-26T00:00:00,MEM vs. OKC,L,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-5.0,5.7,0,0,4.0,1,905,1,905,1539,1451,1647,1451,989,1387,989,893,947,893,947,1111,1284,815,1101,825,178,598,1015,1216,1503,1213,1402,145,9,1457,1,5:57,2024,2025
2024-25,1628379,Luke Kennard,Luke,1610612763,MEM,Memphis Grizzlies,42400144,2025-04-26T00:00:00,MEM vs. OKC,L,17.7,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,10.1,0,0,10.0,1,905,1,905,1114,954,1104,533,989,934,989,893,947,893,469,836,832,390,276,825,570,598,1015,1216,1159,386,1216,145,9,1182,1,17:43,2024,2025
2024-25,1631246,Vince Williams Jr.,Vince,1610612763,MEM,Memphis Grizzlies,42400144,2025-04-26T00:00:00,MEM vs. OKC,L,18.1,3.0,5.0,0.6,3.0,5.0,0.6,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,11.0,8.0,23.3,0,0,23.0,1,905,1,905,1093,752,1000,326,151,390,199,453,543,1,947,441,647,390,1101,328,570,598,614,805,649,386,673,145,9,651,1,18:05,2024,2025
2024-25,1630590,Scotty Pippen Jr.,Scotty,1610612763,MEM,Memphis Grizzlies,42400144,2025-04-26T00:00:00,MEM vs. OKC,L,36.9,9.0,21.0,0.429,2.0,7.0,0.286,10.0,10.0,1.0,4.0,7.0,11.0,4.0,5.0,0.0,0.0,3.0,6.0,7.0,30.0,-9.0,44.2,1,0,47.0,1,905,1,905,292,128,85,884,275,200,744,28,52,1,56,136,76,292,28,825,570,14,1,56,76,1423,175,1,9,111,1,36:53,2024,2025
2024-25,1628991,Jaren Jackson Jr.,Jaren,1610612763,MEM,Memphis Grizzlies,42400144,2025-04-26T00:00:00,MEM vs. OKC,L,34.7,3.0,12.0,0.25,0.0,2.0,0.0,6.0,6.0,1.0,1.0,3.0,4.0,2.0,5.0,2.0,1.0,2.0,5.0,4.0,12.0,9.0,23.8,0,0,24.0,1,905,1,905,391,752,433,1290,989,934,989,113,157,1,469,604,647,562,28,126,178,46,24,234,594,350,652,145,9,612,1,34:45,2024,2025
2024-25,1630205,Lamar Stevens,Lamar,1610612763,MEM,Memphis Grizzlies,42400144,2025-04-26T00:00:00,MEM vs. OKC,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0,0,0.0,1,905,1,905,1803,1451,1647,1451,989,1387,989,893,947,893,947,1452,1554,1202,1101,825,570,598,1015,1216,1503,926,1685,145,9,1689,1,0:01,2024,2025
2024-25,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,42400144,2025-04-26T00:00:00,MEM vs. OKC,L,40.1,9.0,13.0,0.692,5.0,7.0,0.714,0.0,0.0,0.0,0.0,9.0,9.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,23.0,0.0,36.3,0,0,40.0,1,905,1,905,150,128,358,197,27,200,126,893,947,893,947,57,139,390,276,825,570,598,330,805,179,842,324,145,9,210,1,40:04,2024,2025
2024-25,1628991,Jaren Jackson Jr.,Jaren,1610612763,MEM,Memphis Grizzlies,42400143,2025-04-24T00:00:00,MEM vs. OKC,L,38.5,7.0,16.0,0.438,1.0,2.0,0.5,7.0,8.0,0.875,2.0,5.0,7.0,2.0,3.0,1.0,1.0,2.0,5.0,5.0,22.0,-9.0,36.4,0,0,36.0,1,905,1,905,222,265,212,874,560,934,253,79,99,407,234,298,277,562,145,328,178,46,24,148,218,1423,322,145,9,294,1,38:27,2024,2025
2024-25,1630590,Scotty Pippen Jr.,Scotty,1610612763,MEM,Memphis Grizzlies,42400143,2025-04-24T00:00:00,MEM vs. OKC,L,38.3,8.0,16.0,0.5,6.0,10.0,0.6,6.0,6.0,1.0,0.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,5.0,5.0,28.0,-5.0,48.5,0,0,52.0,1,905,1,905,227,188,212,533,13,51,199,113,157,1,947,298,498,193,28,42,178,177,24,148,98,1213,121,145,9,68,1,38:17,2024,2025
2024-25,1631246,Vince Williams Jr.,Vince,1610612763,MEM,Memphis Grizzlies,42400143,2025-04-24T00:00:00,MEM vs. OKC,L,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0,0,2.0,1,905,1,905,1794,1451,1647,1451,989,1387,989,893,947,893,947,1452,1554,1202,1101,825,178,598,1386,1216,1503,629,1541,145,9,1569,1,0:27,2024,2025
2024-25,1630217,Desmond Bane,Desmond,1610612763,MEM,Memphis Grizzlies,42400143,2025-04-24T00:00:00,MEM vs. OKC,L,36.8,3.0,14.0,0.214,2.0,11.0,0.182,2.0,2.0,1.0,2.0,6.0,8.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,10.0,-10.0,29.6,0,0,30.0,1,905,1,905,297,752,300,1368,275,35,934,453,543,1,234,195,194,292,28,126,178,177,614,805,705,1469,483,145,9,442,1,36:49,2024,2025
2024-25,1641744,Zach Edey,Zach,1610612763,MEM,Memphis Grizzlies,42400143,2025-04-24T00:00:00,MEM vs. OKC,L,29.6,3.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,5.0,7.0,2.0,2.0,0.0,1.0,0.0,5.0,6.0,9.0,-2.0,21.4,0,0,20.0,1,905,1,905,647,752,1244,1,989,1387,989,337,310,528,234,298,277,562,276,825,178,598,24,95,773,998,744,145,9,749,1,29:35,2024,2025
2024-25,1628379,Luke Kennard,Luke,1610612763,MEM,Memphis Grizzlies,42400143,2025-04-24T00:00:00,MEM vs. OKC,L,32.9,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,-13.0,24.5,0,0,20.0,1,905,1,905,501,954,921,1119,560,531,771,893,947,893,469,441,498,390,1101,42,570,598,1386,1216,1080,1563,628,145,9,749,1,32:55,2024,2025
2024-25,1629630,Ja Morant,Ja,1610612763,MEM,Memphis Grizzlies,42400143,2025-04-24T00:00:00,MEM vs. OKC,L,15.5,6.0,11.0,0.545,1.0,4.0,0.25,2.0,4.0,0.5,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,16.0,23.7,0,0,22.0,1,905,1,905,1194,352,477,461,560,531,771,453,310,695,947,1111,1284,193,1101,825,570,598,1386,148,461,166,657,145,9,682,1,15:32,2024,2025
2024-25,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,42400143,2025-04-24T00:00:00,MEM vs. OKC,L,31.2,6.0,14.0,0.429,2.0,8.0,0.25,0.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,14.0,-8.0,24.7,0,0,25.0,1,905,1,905,570,352,300,884,275,118,771,893,947,893,469,298,367,815,574,825,178,598,614,1216,499,1376,624,145,9,577,1,31:13,2024,2025
2024-25,1629723,John Konchar,John,1610612763,MEM,Memphis Grizzlies,42400143,2025-04-24T00:00:00,MEM vs. OKC,L,16.8,1.0,3.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,-2.0,11.9,0,0,11.0,1,905,1,905,1143,1171,1244,1119,560,737,600,453,543,1,469,1111,1046,815,1101,825,178,598,128,805,1080,998,1122,145,9,1143,1,16:46,2024,2025
2024-25,1630590,Scotty Pippen Jr.,Scotty,1610612763,MEM,Memphis Grizzlies,42400142,2025-04-22T00:00:00,MEM @ OKC,L,31.2,4.0,12.0,0.333,2.0,7.0,0.286,3.0,3.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,13.0,-14.0,18.3,0,0,20.0,1,905,1,905,570,605,433,1119,275,200,744,337,465,1,947,441,647,815,574,825,570,177,330,358,555,1592,863,145,9,749,1,31:13,2024,2025
