season,player_id,player,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2024-25,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,53.9,18.2,22.7,0.8,9.1,9.1,1.0,0.0,0.0,0.0,9.1,18.2,27.3,13.6,4.5,6.8,0.0,0.0,0.0,2.3,45.5,18.2,114.5,1,0,109.1,1,1,13086,1,990,723,5510,1688,772,8577,1,13505,14344,13505,1165,756,417,1225,5028,746,8263,8846,20253,14118,1011,6086,105,1,150,109,1,23:43,2024,2025
2024-25,202685,Jonas Valančiūnas,Jonas,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,52.4,25.0,27.5,0.909,0.0,0.0,0.0,5.0,5.0,1.0,7.5,17.5,25.0,10.0,5.0,0.0,0.0,0.0,5.0,5.0,55.0,22.5,95.0,1,0,90.0,1,1,13086,1,2016,119,2355,1292,15070,20945,15070,6036,8237,1,1824,906,595,3194,4194,12854,8263,8846,7689,6766,348,4891,339,1,150,326,1,20:58,2024,2025
2024-25,201942,DeMar DeRozan,DeMar,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,53.0,7.7,17.3,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,3.8,0.0,0.0,1.9,1.9,0.0,15.4,7.7,26.0,0,0,25.0,1,1,13086,1,1557,11889,11597,13045,15070,20945,15070,13505,14344,13505,14058,22137,23286,3636,6687,12854,8263,4894,17355,17725,16462,9659,21321,2246,150,21221,1,27:33,2024,2025
2024-25,1626168,Trey Lyles,Trey,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,52.7,8.5,21.3,0.4,4.3,14.9,0.286,2.1,2.1,1.0,0.0,4.3,4.3,2.1,0.0,2.1,0.0,0.0,0.0,4.3,23.4,8.5,38.1,0,0,38.3,1,1,13086,1,1819,10284,6937,14933,5861,2265,11433,11551,13376,1,14058,16017,19160,17571,16469,7868,8263,8846,20253,8468,10086,9395,15654,2246,150,14703,1,24:45,2024,2025
2024-25,1642269,Devin Carter,Devin,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,53.6,4.8,16.7,0.286,2.4,4.8,0.5,0.0,0.0,0.0,4.8,7.1,11.9,2.4,2.4,2.4,0.0,0.0,2.4,4.8,11.9,9.5,34.5,0,0,33.3,1,1,13086,1,1174,17970,12213,19630,10983,16363,3944,13505,14344,13505,4161,9563,6683,16997,11427,7116,8263,8846,16061,7251,19072,9009,17562,2246,150,17224,1,22:30,2024,2025
2024-25,1629056,Terence Davis,Terence,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,52.6,0.0,13.3,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,6.7,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,18.0,0,0,13.3,1,1,13086,1,1897,22635,16793,22635,15070,12931,15070,13505,14344,13505,14058,10526,14525,7246,16469,12854,8263,8846,20253,17725,23200,19857,23617,2246,150,24391,1,7:53,2024,2025
2024-25,1642403,Isaac Jones,Isaac,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,52.6,6.7,6.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.7,13.3,0.0,6.7,0.0,6.7,0.0,0.0,0.0,13.3,-20.0,42.7,0,0,40.0,1,1,13086,1,1897,14100,23374,1,15070,20945,15070,13505,14344,13505,2285,10526,5247,19908,2141,12854,481,8846,20253,17725,17997,19857,13034,2246,150,13512,1,7:53,2024,2025
2024-25,1631165,Keon Ellis,Keon,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,53.2,7.4,14.8,0.5,1.9,9.3,0.2,0.0,0.0,0.0,0.0,3.7,3.7,5.6,0.0,1.9,3.7,0.0,3.7,0.0,16.7,16.7,46.1,0,0,38.9,1,1,13086,1,1372,12613,14881,8526,12355,8429,13429,13505,14344,13505,14058,17344,20191,9283,16469,8814,1906,8846,11477,17725,15298,6483,11154,2246,150,14318,1,28:45,2024,2025
2024-25,1628365,Markelle Fultz,Markelle,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,52.2,8.7,13.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,8.7,17.4,4.3,0.0,4.3,0.0,4.3,4.3,17.4,0.0,62.6,0,0,52.2,1,1,13086,1,2251,9879,17233,3281,15070,20945,15070,13505,14344,13505,14058,7042,10923,455,5409,12854,1370,8846,9370,8178,14797,12240,4135,2246,150,7035,1,12:00,2024,2025
2024-25,203926,Doug McDermott,Doug,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,50.7,6.9,27.6,0.25,6.9,20.7,0.333,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,20.7,20.7,31.0,0,0,34.5,1,1,13086,1,4229,13695,2322,20233,2033,529,9209,13505,14344,13505,14058,22137,23286,6948,16469,12854,8263,8846,20253,17725,12246,5361,19260,2246,150,16821,1,14:43,2024,2025
2024-25,1631099,Keegan Murray,Keegan,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,52.8,7.0,18.6,0.375,0.0,7.0,0.0,0.0,0.0,0.0,0.0,16.3,16.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.9,40.5,0,0,34.9,1,1,13086,1,1676,13568,9934,16299,15070,12448,15070,13505,14344,13505,14058,1235,3240,11290,16469,12854,8263,8846,20253,17725,17637,3657,14263,2246,150,16616,1,22:43,2024,2025
2024-25,203897,Zach LaVine,Zach,1610612758,SAC,Sacramento Kings,22401200,2025-04-13T00:00:00,SAC vs. PHX,W,53.1,12.0,22.0,0.545,8.0,12.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,32.0,10.0,34.0,0,0,44.0,1,1,13086,1,1442,4481,6225,7695,1247,4639,1957,13505,14344,13505,14058,22137,23286,12775,6263,12854,8263,8846,20253,14906,4652,8815,17833,2246,150,11318,1,26:34,2024,2025
2024-25,203897,Zach LaVine,Zach,1610612758,SAC,Sacramento Kings,22401184,2025-04-11T00:00:00,SAC vs. LAC,L,53.8,11.8,30.3,0.391,5.3,15.8,0.333,5.3,5.3,1.0,0.0,5.3,5.3,6.6,1.3,0.0,0.0,2.6,3.9,2.6,34.2,-6.6,49.1,0,0,51.3,1,13222,1,13222,1046,4710,1375,15984,3968,1795,9209,5655,7810,1,14058,13639,17263,7512,15882,12854,8263,3222,10733,13077,3699,15550,9615,2246,150,7447,1,40:54,2024,2025
2024-25,1631099,Keegan Murray,Keegan,1610612758,SAC,Sacramento Kings,22401184,2025-04-11T00:00:00,SAC vs. LAC,L,48.3,4.5,13.6,0.333,1.5,9.1,0.167,3.0,3.0,1.0,4.5,7.6,12.1,1.5,1.5,3.0,0.0,0.0,1.5,1.5,13.6,10.6,38.0,0,0,34.8,1,13222,1,13222,10453,18364,16477,17395,13651,8577,14236,9609,11780,1,4437,8924,6465,19211,14808,4956,8263,8846,18824,16673,17821,8633,15684,2246,150,16636,1,31:54,2024,2025
2024-25,202685,Jonas Valančiūnas,Jonas,1610612758,SAC,Sacramento Kings,22401184,2025-04-11T00:00:00,SAC vs. LAC,L,48.5,14.3,23.8,0.6,0.0,0.0,0.0,14.3,14.3,1.0,0.0,14.3,14.3,4.8,9.5,0.0,0.0,0.0,14.3,19.0,42.9,19.0,57.6,0,0,61.9,1,13222,1,13222,10029,2269,4664,5394,15070,20945,15070,463,1020,1,14058,1842,4377,11001,762,12854,8263,8846,486,115,1360,5848,5816,2246,150,3465,1,10:11,2024,2025
2024-25,201942,DeMar DeRozan,DeMar,1610612758,SAC,Sacramento Kings,22401184,2025-04-11T00:00:00,SAC vs. LAC,L,50.1,7.5,25.0,0.3,1.3,6.3,0.2,3.8,5.0,0.75,1.3,2.5,3.8,10.0,0.0,0.0,0.0,0.0,2.5,7.5,20.0,-3.8,39.5,0,0,35.0,1,13222,1,13222,5594,12456,3556,19363,14809,13739,13429,8208,8237,8186,13637,19944,20173,3194,16469,12854,8263,8846,15625,3005,12617,14474,14863,2246,150,16532,1,40:04,2024,2025
2024-25,1642269,Devin Carter,Devin,1610612758,SAC,Sacramento Kings,22401184,2025-04-11T00:00:00,SAC vs. LAC,L,50.2,9.7,19.4,0.5,3.2,6.5,0.5,0.0,0.0,0.0,0.0,3.2,3.2,6.5,0.0,6.5,0.0,0.0,6.5,6.5,22.6,22.6,55.5,0,0,48.4,1,13222,1,13222,5350,8101,9075,8526,8266,13426,3944,13505,14344,13505,14058,18316,20880,7700,16469,910,8263,8846,4776,4285,10719,4862,6627,2246,150,9015,1,15:34,2024,2025
2024-25,1626168,Trey Lyles,Trey,1610612758,SAC,Sacramento Kings,22401184,2025-04-11T00:00:00,SAC vs. LAC,L,52.1,7.0,8.8,0.8,1.8,3.5,0.5,0.0,0.0,0.0,5.3,7.0,12.3,0.0,1.8,0.0,0.0,0.0,3.5,0.0,15.8,-3.5,28.8,0,0,29.8,1,13222,1,13222,2366,13493,21933,1688,12690,18295,3944,13505,14344,13505,3534,9942,6331,19908,13635,12854,8263,8846,12160,17725,16151,14378,20243,2246,150,19276,1,29:41,2024,2025
2024-25,1631165,Keon Ellis,Keon,1610612758,SAC,Sacramento Kings,22401184,2025-04-11T00:00:00,SAC vs. LAC,L,50.7,1.6,3.1,0.5,1.6,3.1,0.5,3.1,3.1,1.0,1.6,0.0,1.6,1.6,3.1,0.0,1.6,0.0,4.7,3.1,7.8,-12.5,13.6,0,0,15.6,1,13222,1,13222,4271,22503,24673,8526,13432,18805,3944,9378,11554,1,11858,22137,22966,19061,8673,12854,6265,8846,8545,11415,21450,17585,24363,2246,150,24018,1,32:28,2024,2025
2024-25,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,22401184,2025-04-11T00:00:00,SAC vs. LAC,L,53.0,10.8,20.3,0.533,1.4,2.7,0.5,2.7,2.7,1.0,4.1,17.6,21.6,6.8,5.4,1.4,0.0,0.0,2.7,2.7,25.7,-6.8,60.4,1,0,58.1,1,13222,1,13222,1532,6225,7955,8140,14406,19433,3944,10455,12583,1,5225,900,1269,7207,3600,11721,8263,8846,14837,12818,8346,15629,4814,1,150,4615,1,39:14,2024,2025
2024-25,1631165,Keon Ellis,Keon,1610612758,SAC,Sacramento Kings,22401165,2025-04-09T00:00:00,SAC vs. DEN,L,50.8,10.9,18.8,0.583,9.4,17.2,0.545,0.0,0.0,0.0,0.0,9.4,9.4,3.1,1.6,1.6,3.1,0.0,4.7,0.0,31.3,-20.3,59.7,0,0,62.5,1,13222,1,13222,4220,6071,9714,6296,712,1233,3863,13505,14344,13505,14058,6131,9912,14945,14553,10297,2549,8846,8545,17725,4978,20048,5104,2246,150,3273,1,32:29,2024,2025
2024-25,202685,Jonas Valančiūnas,Jonas,1610612758,SAC,Sacramento Kings,22401165,2025-04-09T00:00:00,SAC vs. DEN,L,51.2,5.6,22.2,0.25,0.0,5.6,0.0,0.0,0.0,0.0,0.0,11.1,11.1,0.0,0.0,0.0,0.0,0.0,5.6,0.0,11.1,-27.8,24.4,0,0,22.2,1,13222,1,13222,3479,16448,5874,20233,15070,14989,15070,13505,14344,13505,14058,3992,7412,19908,16469,12854,8263,8846,6387,17725,19511,21860,21848,2246,150,22297,1,9:13,2024,2025
2024-25,1642269,Devin Carter,Devin,1610612758,SAC,Sacramento Kings,22401165,2025-04-09T00:00:00,SAC vs. DEN,L,47.2,2.6,10.5,0.25,2.6,5.3,0.5,2.6,5.3,0.5,2.6,5.3,7.9,2.6,2.6,0.0,2.6,0.0,7.9,5.3,10.5,15.8,29.2,0,0,28.9,1,13222,1,13222,14210,21385,20234,20233,10110,15504,3944,10637,7810,10625,8389,13639,12324,16366,10479,12854,3462,8846,2963,6232,19920,6811,20092,2246,150,19708,1,17:57,2024,2025
2024-25,1642403,Isaac Jones,Isaac,1610612758,SAC,Sacramento Kings,22401165,2025-04-09T00:00:00,SAC vs. DEN,L,45.5,7.7,15.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.7,7.7,15.4,0.0,0.0,7.7,0.0,7.7,7.7,0.0,15.4,15.4,56.9,0,0,46.2,1,13222,1,13222,19611,11889,14072,8526,15070,20945,15070,13505,14344,13505,1688,8582,3693,19908,16469,462,8263,212,3077,17725,16462,6925,6063,2246,150,10109,1,5:55,2024,2025
2024-25,203897,Zach LaVine,Zach,1610612758,SAC,Sacramento Kings,22401165,2025-04-09T00:00:00,SAC vs. DEN,L,52.0,11.9,23.8,0.5,4.8,9.5,0.5,3.6,4.8,0.75,0.0,0.0,0.0,13.1,4.8,0.0,0.0,1.2,2.4,4.8,32.1,-9.5,47.0,1,0,50.0,1,13222,1,13222,2394,4626,4664,8526,4842,7978,3944,8497,8608,8186,14058,22137,23286,1439,4627,12854,8263,8605,16061,7251,4589,16598,10641,1,150,7826,1,43:43,2024,2025
2024-25,201942,DeMar DeRozan,DeMar,1610612758,SAC,Sacramento Kings,22401165,2025-04-09T00:00:00,SAC vs. DEN,L,52.3,10.5,34.2,0.308,0.0,6.6,0.0,7.9,9.2,0.857,2.6,2.6,5.3,5.3,1.3,0.0,1.3,2.6,3.9,5.3,28.9,-21.1,45.8,0,0,42.1,1,13222,1,13222,2157,6615,593,19226,15070,13225,15070,2859,3362,7071,8389,19666,17263,9900,15882,12854,7484,3222,10733,6232,6231,20238,11326,2246,150,12405,1,39:44,2024,2025
2024-25,1626168,Trey Lyles,Trey,1610612758,SAC,Sacramento Kings,22401165,2025-04-09T00:00:00,SAC vs. DEN,L,52.4,8.3,12.5,0.667,2.8,4.2,0.667,4.2,4.2,1.0,2.8,9.7,12.5,5.6,1.4,0.0,0.0,0.0,2.8,6.9,23.6,-12.5,45.6,0,0,44.4,1,13222,1,13222,2067,10493,17778,3281,9564,17275,1957,7364,9531,1,7907,5716,5919,9283,15479,12854,8263,8846,14514,3630,9926,17585,11469,2246,150,11012,1,37:42,2024,2025
2024-25,203926,Doug McDermott,Doug,1610612758,SAC,Sacramento Kings,22401165,2025-04-09T00:00:00,SAC vs. DEN,L,45.3,9.4,15.6,0.6,9.4,15.6,0.6,0.0,0.0,0.0,3.1,3.1,6.3,3.1,0.0,0.0,0.0,0.0,6.3,0.0,28.1,18.8,40.3,0,0,46.9,1,13222,1,13222,20158,8600,13834,5394,712,1887,2992,13505,14344,13505,6997,18531,15346,14945,16469,12854,8263,8846,5061,17725,6766,5921,14346,2246,150,9733,1,14:30,2024,2025
2024-25,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,22401165,2025-04-09T00:00:00,SAC vs. DEN,L,51.0,7.9,13.2,0.6,0.0,1.3,0.0,1.3,1.3,1.0,5.3,10.5,15.8,2.6,0.0,0.0,1.3,1.3,6.6,1.3,17.1,-3.9,43.9,1,0,38.2,1,13222,1,13222,3742,11585,17107,5394,15070,20864,15070,13262,14229,1,3534,4682,3482,16366,16469,12854,7484,7930,4619,17392,15101,14544,12372,1,150,14781,1,38:47,2024,2025
2024-25,1627734,Domantas Sabonis,Domantas,1610612758,SAC,Sacramento Kings,22401144,2025-04-07T00:00:00,SAC @ DET,W,50.6,10.0,15.7,0.636,0.0,0.0,0.0,7.1,7.1,1.0,5.7,15.7,21.4,14.3,2.9,0.0,1.4,1.4,5.7,8.6,27.1,8.6,75.7,1,1,65.7,1,1,13086,1,4419,7356,13767,4689,15070,20945,15070,3434,5214,1,3109,1388,1304,956,9608,12854,6912,7174,6122,2041,7429,9366,1498,1,1,2553,1,35:27,2024,2025
2024-25,1642269,Devin Carter,Devin,1610612758,SAC,Sacramento Kings,22401144,2025-04-07T00:00:00,SAC @ DET,W,50.3,7.0,18.6,0.375,2.3,7.0,0.333,0.0,0.0,0.0,2.3,2.3,4.7,2.3,2.3,2.3,0.0,0.0,4.7,0.0,16.3,34.9,30.0,0,0,30.2,1,1,13086,1,5023,13568,9934,16299,11142,12448,9209,13505,14344,13505,9306,20295,18489,17143,11604,7285,8263,8846,8635,17725,15807,2523,19652,2246,150,19046,1,21:39,2024,2025
2024-25,1642403,Isaac Jones,Isaac,1610612758,SAC,Sacramento Kings,22401144,2025-04-07T00:00:00,SAC @ DET,W,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,12.0,0,0,10.0,1,1,13086,1,23516,22635,24836,22635,15070,20945,15070,13505,14344,13505,14058,5202,8839,19908,16469,12854,8263,8846,20253,17725,23200,22281,24548,2246,150,24800,1,4:21,2024,2025
2024-25,201942,DeMar DeRozan,DeMar,1610612758,SAC,Sacramento Kings,22401144,2025-04-07T00:00:00,SAC @ DET,W,50.4,19.2,35.6,0.538,1.4,8.2,0.167,11.0,13.7,0.8,1.4,4.1,5.5,2.7,2.7,0.0,1.4,0.0,4.1,6.8,50.7,20.5,62.7,0,0,63.0,1,1,13086,1,4845,582,474,7978,14321,10139,14236,1239,1214,7681,12966,16346,16941,16115,10095,12854,7199,8846,10145,3733,517,5416,4100,2246,150,3174,1,36:49,2024,2025
2024-25,202685,Jonas Valančiūnas,Jonas,1610612758,SAC,Sacramento Kings,22401144,2025-04-07T00:00:00,SAC @ DET,W,48.3,7.7,19.2,0.4,0.0,0.0,0.0,23.1,23.1,1.0,23.1,23.1,46.2,3.8,3.8,0.0,3.8,3.8,11.5,15.4,38.5,15.4,107.3,1,0,96.2,1,1,13086,1,10709,11889,9202,14933,15070,20945,15070,95,179,1,91,263,55,13142,6687,12854,1771,1414,1030,210,2342,6925,146,1,150,264,1,12:33,2024,2025
2024-25,203926,Doug McDermott,Doug,1610612758,SAC,Sacramento Kings,22401144,2025-04-07T00:00:00,SAC @ DET,W,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.9,17.1,0,0,14.3,1,1,13086,1,24441,22635,24836,22635,15070,20945,15070,13505,14344,13505,14058,1842,4377,19908,16469,12854,8263,8846,20253,17725,23200,24096,23769,2246,150,24207,1,2:59,2024,2025
2024-25,1626168,Trey Lyles,Trey,1610612758,SAC,Sacramento Kings,22401144,2025-04-07T00:00:00,SAC @ DET,W,50.6,3.9,10.5,0.375,1.3,6.6,0.2,0.0,2.6,0.0,5.3,2.6,7.9,1.3,2.6,0.0,1.3,0.0,1.3,1.3,9.2,3.9,22.0,0,0,22.4,1,1,13086,1,4549,19453,20234,16299,14572,13225,13429,13505,12734,13505,3534,19666,12324,19683,10479,12854,7484,8846,19722,17392,20730,11133,22643,2246,150,22293,1,38:26,2024,2025
2024-25,1628370,Malik Monk,Malik,1610612758,SAC,Sacramento Kings,22401144,2025-04-07T00:00:00,SAC @ DET,W,49.1,7.7,23.1,0.333,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,7.7,0.0,0.0,0.0,7.7,0.0,15.4,-15.4,19.2,0,0,23.1,1,1,13086,1,8120,11889,5168,17395,15070,10986,15070,13505,14344,13505,14058,22137,23286,5704,1406,12854,8263,8846,3077,17725,16462,18575,23344,2246,150,22030,1,6:23,2024,2025
