group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
,101112,Channing Frye,,1610612739,CLE,33.0,8,3,5,0.375,13.0,0.032,0.071,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.091,0.0,0.067,296,293,153,308,308,388,307,373,209,275,299,312,270,356,370,287,1,237,70,1,77,326,329
,2563,Dahntay Jones,,1610612739,CLE,35.0,1,0,1,0.0,5.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.5,0.0,0.0,0.0,0.333,0.5,0.0,0.0,404,408,31,408,367,288,342,282,209,275,299,312,1,356,178,22,1,237,200,369,406,326,359
,202697,Iman Shumpert,,1610612739,CLE,26.0,14,9,5,0.643,36.0,0.108,0.091,0.154,0.0,0.167,0.0,0.0,0.1,0.074,0.081,0.0,0.167,0.6,0.333,0.0,0.19,0.042,0.051,242,182,153,84,228,296,281,214,209,187,299,312,211,337,344,287,275,11,70,1,221,314,348
,2747,JR Smith,,1610612739,CLE,30.0,24,11,13,0.458,106.0,0.099,0.083,0.119,0.294,0.228,0.056,0.053,0.133,0.122,0.125,0.0,0.077,0.167,0.1,0.118,0.294,0.062,0.091,163,157,281,248,95,309,288,271,79,140,270,291,184,289,278,287,184,158,174,259,359,302,299
,2592,James Jones,,1610612739,CLE,35.0,3,1,2,0.333,7.0,0.071,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.167,0.0,0.0,357,362,75,330,352,353,342,327,209,275,299,312,270,356,370,287,1,1,200,1,171,326,359
,203099,Jared Cunningham,,1610612739,CLE,25.0,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404,362,1,1,412,390,342,379,209,275,299,312,270,356,370,287,1,237,200,1,1,326,359
,203895,Jordan McRae,,1610612739,CLE,25.0,2,0,2,0.0,8.0,0.467,0.5,0.462,1.0,0.333,1.0,1.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.667,0.167,1.0,0.571,374,408,75,408,345,3,7,10,1,61,1,1,270,356,370,66,1,237,200,425,171,1,5
,201567,Kevin Love,,1610612739,CLE,27.0,29,17,12,0.586,111.0,0.157,0.162,0.169,0.368,0.215,0.177,0.15,0.25,0.239,0.242,0.147,0.083,0.3,0.375,0.25,0.154,0.169,0.183,117,88,264,114,91,188,201,187,52,149,150,190,120,126,131,175,189,80,68,327,153,176,167
,202681,Kyrie Irving,,1610612739,CLE,24.0,16,9,7,0.563,67.0,0.329,0.31,0.303,0.286,0.259,0.56,0.492,0.048,0.119,0.095,0.167,0.357,0.333,0.167,0.455,0.103,0.429,0.392,222,182,188,136,162,27,60,48,83,114,10,19,258,291,323,153,405,52,142,399,85,20,23
,2544,LeBron James,,1610612739,CLE,31.0,30,18,12,0.6,126.0,0.43,0.476,0.449,0.238,0.321,0.396,0.444,0.382,0.38,0.381,0.538,0.406,0.154,0.273,0.474,0.179,0.424,0.431,107,80,264,103,60,7,15,12,112,76,37,27,71,27,32,20,416,174,101,401,202,22,15
,203521,Matthew Dellavedova,,1610612739,CLE,25.0,27,18,9,0.667,60.0,0.066,0.023,0.065,0.091,0.171,0.016,0.013,0.0,0.1,0.082,0.28,0.188,0.286,0.0,0.0,0.333,0.022,0.025,131,80,223,61,172,363,341,356,190,184,296,309,270,320,341,88,299,89,200,1,376,324,358
,2590,Mo Williams,,1610612739,CLE,33.0,12,7,5,0.583,36.0,0.205,0.111,0.179,0.0,0.19,0.375,0.326,0.143,0.038,0.061,0.25,0.091,0.0,0.0,0.0,0.111,0.25,0.198,257,215,153,116,225,111,256,177,209,165,42,57,177,353,356,102,200,237,200,1,93,90,150
,2210,Richard Jefferson,,1610612739,CLE,36.0,10,6,4,0.6,31.0,0.05,0.05,0.061,0.0,0.125,0.0,0.0,0.125,0.083,0.094,0.125,0.083,0.0,0.0,0.0,0.118,0.083,0.029,277,235,127,103,242,379,326,360,209,221,299,312,190,332,324,188,189,237,200,1,103,268,357
,201619,Sasha Kaun,,1610612739,CLE,31.0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404,408,31,408,401,390,342,379,209,275,299,312,270,356,370,287,1,237,200,1,1,326,359
,202389,Timofey Mozgov,,1610612739,CLE,29.0,4,1,3,0.25,13.0,0.2,0.429,0.222,0.0,0.0,0.167,0.182,0.0,0.444,0.364,0.0,0.0,0.0,1.0,0.0,0.167,0.2,0.333,339,362,109,380,307,115,18,119,209,275,159,158,270,15,40,287,1,237,1,1,171,134,37
,202684,Tristan Thompson,,1610612739,CLE,25.0,31,18,13,0.581,98.0,0.087,0.172,0.077,0.0,0.0,0.082,0.125,0.3,0.282,0.286,0.038,0.16,0.0,0.2,0.0,0.196,0.127,0.132,100,80,281,119,107,327,191,333,209,275,254,213,103,85,88,277,272,237,131,1,227,224,240
