group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank
,101112,Channing Frye,,1610612739,CLE,33.0,8,3,5,0.375,1.6,105.9,111.1,111.1,149.6,136.0,136.0,-43.7,-24.9,-24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.032,0.033,96.16,97.97,81.64,97.97,0.026,27,1,1,0.1,0.1,1.0,296,293,153,308,335,211,95,95,417,419,419,394,368,368,287,238,287,270,356,370,1,1,5,13,388,389,311,330,330,304,279,337,298,372,1
,2563,Dahntay Jones,,1610612739,CLE,35.0,1,0,1,0.0,5.0,137.5,157.1,157.1,103.7,100.0,100.0,33.8,57.1,57.1,0.2,0.0,50.0,0.25,0.0,0.091,0.0,0.0,0.0,0.0,0.111,0.111,84.67,81.6,68.0,81.6,-0.081,7,0,1,0.0,1.0,0.0,404,408,31,408,10,21,5,5,197,171,171,46,21,22,71,238,5,6,356,162,1,1,342,359,288,299,405,428,428,410,342,337,342,116,342
,202697,Iman Shumpert,,1610612739,CLE,26.0,14,9,5,0.643,2.6,122.2,106.8,106.8,114.2,117.1,117.1,8.0,-10.2,-10.2,0.0,0.0,0.0,0.031,0.047,0.04,0.111,0.111,0.0025,0.0025,0.108,0.122,99.07,103.81,86.51,103.81,-0.008,73,2,8,0.1,0.6,0.25,242,182,153,84,232,58,157,157,291,364,364,146,308,308,287,238,287,179,335,325,313,314,311,347,296,277,235,194,194,377,249,226,282,228,298
,2747,JR Smith,,1610612739,CLE,30.0,24,11,13,0.458,4.4,97.5,96.7,96.7,104.3,103.9,103.9,-6.8,-7.2,-7.2,0.0,0.0,0.0,0.032,0.082,0.055,0.08,0.079,0.00357,0.00409,0.099,0.104,100.39,100.95,84.13,100.95,-0.023,215,5,21,0.2,0.9,0.238,163,157,281,248,19,301,284,284,206,243,243,260,282,282,287,238,287,173,272,268,260,257,269,293,309,308,197,262,262,390,179,128,241,153,313
,2592,James Jones,,1610612739,CLE,35.0,3,1,2,0.333,2.4,121.2,133.3,133.3,103.8,86.7,86.7,17.4,46.7,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.07,86.39,90.69,75.58,90.69,-0.049,12,0,1,0.0,0.3,0.0,357,362,75,330,254,62,14,14,199,76,76,80,28,28,287,238,287,270,356,370,1,1,342,359,353,361,403,409,409,397,342,337,342,316,342
,203099,Jared Cunningham,,1610612739,CLE,25.0,1,1,0,1.0,0.7,173.6,166.7,166.7,133.3,133.3,133.3,40.3,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.02,211.25,176.04,211.25,0.0,3,0,0,0.0,0.0,0.0,404,362,1,1,398,7,2,2,394,414,414,36,43,43,287,238,287,270,356,370,1,1,342,359,390,391,12,15,15,329,342,379,342,379,342
,203895,Jordan McRae,,1610612739,CLE,25.0,2,0,2,0.0,4.1,105.1,107.7,107.7,118.3,106.7,106.7,-13.2,1.0,1.0,0.333,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.005829999999999999,0.0054600000000000004,0.467,0.511,79.53,82.96,69.14,82.96,0.133,13,3,6,1.5,3.0,0.5,374,408,75,408,44,219,146,146,330,277,277,317,187,187,32,238,159,270,356,370,1,1,92,175,3,3,415,425,425,104,223,255,3,5,98
,201567,Kevin Love,,1610612739,CLE,27.0,29,17,12,0.586,3.8,106.0,106.0,106.0,97.8,92.1,92.1,8.2,13.9,13.9,0.081,2.5,10.6,0.054,0.175,0.106,0.043,0.043,0.00484,0.0057599999999999995,0.157,0.158,93.67,96.38,80.32,96.38,0.145,232,12,32,0.4,1.1,0.375,117,88,264,114,64,210,171,171,121,99,99,142,90,90,192,45,184,127,88,115,173,174,167,145,188,202,353,364,364,89,100,87,140,101,209
,202681,Kyrie Irving,,1610612739,CLE,24.0,16,9,7,0.563,4.2,106.6,105.7,105.7,117.5,115.7,115.7,-10.9,-10.0,-10.0,0.138,0.8,6.8,0.013,0.083,0.043,0.085,0.086,0.00417,0.005889999999999999,0.329,0.339,96.77,97.95,81.62,97.95,0.166,140,13,36,0.8,2.3,0.361,222,182,188,136,32,205,172,172,325,355,355,297,304,304,122,190,242,246,268,315,275,274,223,132,27,25,298,331,331,62,88,73,40,18,231
,2544,LeBron James,,1610612739,CLE,31.0,30,18,12,0.6,4.2,108.7,107.7,107.7,99.4,99.2,99.2,9.4,8.4,8.4,0.488,1.62,13.8,0.094,0.255,0.175,0.086,0.086,0.00451,0.00519,0.43,0.443,99.55,100.09,83.41,100.09,0.253,261,39,92,1.3,3.1,0.424,107,80,264,103,30,183,149,149,135,167,167,132,134,134,13,95,138,62,26,27,277,276,189,207,7,8,220,281,281,21,14,12,6,4,169
,203521,Matthew Dellavedova,,1610612739,CLE,25.0,27,18,9,0.667,2.2,120.9,116.8,116.8,87.2,86.3,86.3,33.8,30.5,30.5,0.167,2.33,41.2,0.0,0.065,0.036,0.17600000000000002,0.182,0.0025,0.00311,0.066,0.066,108.34,110.75,92.29,110.75,-0.005,137,1,6,0.0,0.2,0.167,131,80,223,61,275,63,47,47,65,72,72,47,46,46,94,55,16,270,313,339,387,390,311,335,363,368,70,100,100,373,279,255,340,354,324
,2590,Mo Williams,,1610612739,CLE,33.0,12,7,5,0.583,3.0,115.3,115.2,115.2,98.5,89.2,89.2,16.8,26.0,26.0,0.083,2.0,10.0,0.029,0.025,0.027,0.05,0.052000000000000005,0.003,0.00557,0.205,0.2,102.53,107.83,89.86,107.83,0.09,79,3,10,0.3,0.8,0.3,257,215,153,116,178,99,57,57,129,88,88,81,48,48,185,64,197,191,353,354,185,191,299,164,111,130,141,136,136,183,223,204,214,161,286
,2210,Richard Jefferson,,1610612739,CLE,36.0,10,6,4,0.6,3.1,101.7,98.6,98.6,101.1,98.6,98.6,0.6,0.0,0.0,0.053,1.0,20.0,0.031,0.054,0.043,0.2,0.2,0.00333,0.00333,0.05,0.052,104.51,107.5,89.58,107.5,0.006,71,1,3,0.1,0.3,0.333,277,235,127,103,158,264,268,268,165,158,158,195,197,197,232,131,72,179,331,313,396,398,277,324,379,382,107,141,141,325,279,296,307,335,255
