player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
201980,Danny Green,Danny,1610612759,SAS,30.0,4,2,2,0.5,16.82,2,6,0.333,1,5,0.2,2,3,0.667,0,1,1,0,0,0,0,0,1,2,7,-3,8.2,0,0,9.0,32,36,69,61,25,25,21,59,17,6,36,20,24,35,40,39,50,55,41,33,21,1,60,21,28,89,53,33,4,45
101135,David Lee,David,1610612759,SAS,34.0,3,2,1,0.667,12.196666666666667,2,2,1.0,0,0,0.0,0,0,0.0,3,1,4,2,0,0,0,0,3,0,4,1,11.8,0,0,10.0,60,36,26,38,46,25,50,1,40,65,40,53,57,53,2,39,13,12,41,33,21,1,122,64,42,56,38,33,4,40
1627749,Dejounte Murray,Dejounte,1610612759,SAS,20.0,1,0,1,0.0,1.4166666666666667,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,2,-2,3.2,0,0,3.0,105,104,26,104,115,43,50,36,40,65,40,53,57,53,40,39,50,55,41,33,21,1,60,64,62,77,81,33,4,76
202722,Dāvis Bertāns,Dāvis,1610612759,SAS,24.0,1,0,1,0.0,1.675,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,0.0,105,104,26,104,113,76,90,76,40,65,40,53,57,53,40,74,86,55,41,33,21,1,1,64,92,38,107,33,4,109
203613,Jonathon Simmons,Jonathon,1610612759,SAS,27.0,3,1,2,0.333,12.885,0,2,0.0,0,0,0.0,4,4,1.0,1,0,1,0,0,2,0,0,1,4,4,3,11.2,0,0,9.0,60,62,69,85,44,76,50,76,40,65,40,11,16,1,17,74,50,55,41,2,21,1,60,8,42,44,41,33,4,45
202695,Kawhi Leonard,Kawhi,1610612759,SAS,26.0,4,3,1,0.75,17.011666666666667,8,15,0.533,4,6,0.667,5,5,1.0,1,2,3,4,1,2,0,0,3,4,25,12,39.6,1,0,40.0,32,14,26,27,24,1,3,35,1,4,12,7,11,1,17,20,21,1,17,2,21,1,122,8,3,14,1,14,4,1
200746,LaMarcus Aldridge,LaMarcus,1610612759,SAS,31.0,5,3,2,0.6,29.786666666666665,4,11,0.364,0,1,0.0,2,4,0.5,5,1,6,0,2,2,0,1,3,3,10,13,21.2,2,0,20.0,11,14,69,50,1,12,11,57,40,41,40,20,16,43,1,39,3,55,3,2,21,122,122,13,15,10,14,8,4,13
1938,Manu Ginobili,Manu,1610612759,SAS,39.0,2,1,1,0.5,15.183333333333334,2,4,0.5,0,2,0.0,0,0,0.0,0,2,2,3,0,0,1,0,0,0,4,3,13.9,0,0,11.0,90,62,26,61,34,25,30,36,40,27,40,53,57,53,40,20,34,4,41,33,3,1,1,64,42,44,29,33,4,36
201988,Patty Mills,Patty,1610612759,SAS,28.0,5,3,2,0.6,27.291666666666668,2,7,0.286,2,5,0.4,4,6,0.667,1,0,1,2,0,1,0,2,1,4,10,17,17.2,0,0,17.0,11,14,69,50,2,25,20,65,5,6,25,11,6,35,17,74,50,12,41,9,21,133,60,8,15,7,21,33,4,18
2200,Pau Gasol,Pau,1610612759,SAS,36.0,4,2,2,0.5,0.5916666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,0,0.0,32,36,69,61,125,76,90,76,40,65,40,53,57,53,40,74,86,55,41,33,21,1,1,64,92,35,107,33,4,109
2225,Tony Parker,Tony,1610612759,SAS,35.0,3,2,1,0.667,14.075,4,6,0.667,0,1,0.0,0,0,0.0,0,1,1,1,1,1,0,0,1,2,8,12,12.7,0,0,12.0,60,36,26,38,38,12,21,25,40,41,40,53,57,53,40,39,50,25,17,9,21,1,60,21,23,14,33,33,4,31
