player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
1626151,Aaron Harrison,Aaron,1610612742,DAL,23.0,5,2,3,0.4,3.0,0.4,0.8,0.5,0.2,0.6,0.333,0.6,0.8,0.75,0.0,0.4,0.4,0.0,0.6,0.0,0.2,0.0,0.4,0.6,1.6,-0.6,2.1,0,0,2.6,335,329,311,299,159,137,167,89,68,72,109,61,58,169,283,154,217,288,4,245,33,205,131,54,91,289,195,185,18,125
1628372,Dennis Smith Jr.,Dennis,1610612742,DAL,20.0,36,11,25,0.306,3.0,0.6,1.6,0.368,0.2,0.6,0.286,0.5,0.6,0.739,0.0,0.4,0.4,0.4,0.4,0.1,0.0,0.2,0.3,0.5,1.8,-1.1,2.9,3,1,3.1,50,152,8,367,160,70,49,242,89,81,147,98,85,192,280,164,215,59,20,95,217,35,212,83,69,357,113,84,12,85
1717,Dirk Nowitzki,Dirk,1610612742,DAL,40.0,32,6,26,0.188,1.3,0.1,0.3,0.333,0.0,0.1,0.0,0.1,0.1,0.667,0.0,0.2,0.3,0.1,0.1,0.1,0.2,0.0,0.2,0.1,0.3,-1.3,1.2,3,0,1.0,76,250,7,395,369,308,320,260,221,267,221,287,295,219,277,270,302,252,245,177,51,205,337,297,336,363,292,84,18,308
1627827,Dorian Finney-Smith,Dorian,1610612742,DAL,25.0,5,0,5,0.0,4.3,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.4,0.6,1.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,-4.4,2.2,1,0,1.6,335,404,269,404,22,333,114,333,221,72,221,305,312,305,88,154,131,2,284,245,228,31,374,204,354,440,177,139,18,233
203926,Doug McDermott,Doug,1610612742,DAL,26.0,25,7,18,0.28,2.2,0.2,0.4,0.455,0.1,0.2,0.5,0.1,0.1,1.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.6,0.4,1.0,0,0,1.0,143,233,50,375,270,249,277,152,173,237,32,279,302,1,283,324,349,202,223,220,190,205,277,311,275,155,320,185,18,306
203939,Dwight Powell,Dwight,1610612742,DAL,26.0,32,5,27,0.156,2.0,0.2,0.2,0.833,0.1,0.1,0.667,0.1,0.2,0.4,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.0,0.5,0.2,0.4,-2.1,1.4,1,0,1.2,76,268,6,399,305,271,344,28,188,267,18,287,266,296,193,251,250,252,245,138,153,205,53,223,299,409,280,139,18,284
203084,Harrison Barnes,Harrison,1610612742,DAL,26.0,41,9,32,0.22,3.5,0.8,1.8,0.432,0.1,0.5,0.273,0.5,0.7,0.704,0.1,0.6,0.7,0.2,0.3,0.1,0.0,0.1,0.3,0.4,2.2,-2.8,3.3,4,0,3.4,17,182,1,387,91,38,39,173,104,92,160,100,80,211,160,79,100,110,47,168,228,93,246,91,47,425,83,66,18,66
200826,J.J. Barea,J.J.,1610612742,DAL,34.0,25,5,20,0.2,2.4,0.4,0.9,0.391,0.1,0.5,0.154,0.2,0.2,1.0,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.3,0.2,1.0,-1.9,1.6,5,0,1.6,143,268,26,388,242,156,145,219,173,95,209,195,232,1,283,277,317,202,223,220,190,205,238,204,166,393,256,58,18,240
1627883,Jalen Jones,Jalen,1610612742,DAL,25.0,5,1,4,0.2,2.9,0.2,1.0,0.2,0.2,1.0,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.6,-2.2,0.9,0,0,1.2,335,354,290,388,171,249,114,318,68,11,196,305,312,305,88,277,217,288,94,245,228,31,299,204,264,411,342,185,18,285
203481,Jeff Withey,Jeff,1610612742,DAL,28.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,407,404,377,404,445,333,379,333,221,294,221,305,312,305,283,346,367,288,284,245,228,205,374,332,354,205,403,185,18,403
1628405,Johnathan Motley,Johnathan,1610612742,DAL,23.0,3,1,2,0.333,4.8,1.3,1.7,0.8,0.3,0.3,1.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.3,0.3,0.0,0.0,0.3,0.0,3.0,-3.0,5.8,1,0,5.7,360,354,338,342,8,7,47,30,15,153,1,305,312,305,4,42,9,69,32,6,228,205,179,332,23,427,15,139,18,15
1627858,Kyle Collinsworth,Kyle,1610612742,DAL,26.0,7,2,5,0.286,2.2,0.4,0.4,1.0,0.0,0.0,0.0,0.1,0.1,1.0,0.1,0.0,0.1,0.1,0.1,0.1,0.3,0.0,0.4,0.3,1.0,-1.4,2.5,0,0,2.1,307,329,269,372,275,121,278,1,221,294,221,238,273,1,133,346,341,182,147,56,22,205,112,162,166,374,145,185,18,166
1628467,Maxi Kleber,Maxi,1610612742,DAL,26.0,16,5,11,0.313,1.8,0.1,0.5,0.25,0.1,0.2,0.333,0.0,0.0,0.0,0.2,0.3,0.4,0.1,0.1,0.1,0.1,0.0,0.3,0.1,0.3,-1.4,1.2,0,0,1.1,233,268,162,365,326,288,248,303,188,219,109,305,312,305,96,251,204,252,245,177,153,205,206,322,323,370,291,185,18,295
203457,Nerlens Noel,Nerlens,1610612742,DAL,24.0,10,1,9,0.1,2.3,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.1,0.0,0.2,0.1,0.1,0.7,0.0,0.4,-2.4,2.1,2,0,1.6,277,354,198,403,265,249,288,89,221,294,221,305,312,305,50,277,164,217,284,29,93,90,19,332,302,416,199,112,18,233
1626257,Salah Mejri,Salah,1610612742,DAL,32.0,21,7,14,0.333,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,0.833,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.0,0.2,0.3,0.3,0.1,1.2,0,0,1.0,182,233,107,342,358,328,378,1,221,294,221,182,197,125,133,290,251,274,266,245,56,205,311,127,316,196,301,185,18,308
202083,Wesley Matthews,Wesley,1610612742,DAL,31.0,36,8,28,0.222,3.7,0.3,1.2,0.25,0.2,0.9,0.235,0.1,0.1,1.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.3,0.1,0.9,-2.8,1.4,0,0,1.6,50,216,5,386,79,184,79,303,55,26,185,276,300,1,283,320,346,263,257,157,217,135,212,306,200,424,273,185,18,241
1627812,Yogi Ferrell,Yogi,1610612742,DAL,25.0,40,9,31,0.225,3.0,0.2,0.7,0.269,0.1,0.4,0.2,0.2,0.3,0.583,0.1,0.3,0.5,0.1,0.1,0.1,0.0,0.1,0.4,0.2,0.6,-2.4,1.3,3,0,1.3,30,182,2,385,162,261,207,301,182,139,196,215,190,254,151,205,197,268,228,198,228,145,131,204,264,417,288,84,18,280
