group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
Players,201587,Nicolas Batum,Nicolas,1610612766,CHA,30.0,31,13,18,0.419,3.3,0.2,0.5,0.429,0.1,0.3,0.375,0.0,0.0,0.0,0.3,0.5,0.8,0.4,0.1,0.0,0.1,0.0,0.2,0.1,0.5,-0.9,2.1,0,0,1.9,82,117,36,299,136,272,306,176,161,216,92,295,308,295,48,124,87,70,149,227,147,224,321,310,301,312,196,203,25,213,CHA
Players,203469,Cody Zeller,Cody,1610612766,CHA,26.0,25,7,18,0.28,2.6,0.1,0.4,0.333,0.0,0.0,0.0,0.1,0.1,1.0,0.2,0.2,0.4,0.2,0.1,0.0,0.1,0.0,0.6,0.1,0.4,-0.7,1.3,4,0,1.1,135,223,36,384,235,316,326,264,234,309,234,245,277,1,138,276,251,131,213,242,117,183,38,275,319,300,296,78,25,303,CHA
Players,1628970,Miles Bridges,Miles,1610612766,CHA,21.0,17,8,9,0.471,2.8,0.1,0.5,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.4,0.4,0.2,0.1,0.2,0.1,0.0,0.2,0.1,0.2,0.2,1.6,1,0,1.3,207,204,189,243,214,319,303,310,234,200,234,295,308,295,231,190,228,156,163,39,153,224,267,276,348,163,256,147,25,284,CHA
Players,1628370,Malik Monk,Malik,1610612766,CHA,21.0,13,6,7,0.462,3.3,0.4,1.2,0.333,0.2,0.6,0.25,0.3,0.3,1.0,0.2,0.3,0.5,0.2,0.2,0.0,0.0,0.0,0.1,0.2,1.2,2.2,1.9,0,0,2.0,250,240,233,250,131,165,111,264,105,68,175,141,180,1,143,221,199,182,118,242,217,224,353,192,135,15,227,203,25,191,CHA
Players,1626163,Frank Kaminsky,Frank,1610612766,CHA,26.0,11,6,5,0.545,2.4,0.2,0.5,0.333,0.1,0.2,0.5,0.1,0.2,0.5,0.2,0.3,0.5,0.1,0.1,0.0,0.1,0.0,0.9,0.2,0.5,1.5,1.4,2,0,1.4,267,240,274,151,265,278,266,264,165,257,37,262,244,237,118,240,201,240,200,242,97,224,21,223,285,36,276,109,25,274,CHA
Players,203077,Michael Kidd-Gilchrist,Michael,1610612766,CHA,25.0,20,7,13,0.35,1.9,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.0,0.1,0.1,0.3,0.2,0.3,-1.2,1.0,1,0,0.9,177,223,112,350,312,325,352,210,234,314,234,257,263,201,244,160,205,283,253,242,171,169,206,250,329,353,334,147,25,338,CHA
Players,1628407,Dwayne Bacon,Dwayne,1610612766,CHA,23.0,12,8,4,0.667,3.5,0.4,1.0,0.417,0.1,0.3,0.25,0.1,0.2,0.5,0.2,0.5,0.7,0.3,0.0,0.0,0.0,0.2,0.3,0.2,1.0,1.8,2.3,0,0,2.1,259,204,297,50,98,142,129,190,172,173,175,266,251,237,125,102,112,77,275,242,217,47,249,234,179,30,178,203,25,185,CHA
Players,203087,Jeremy Lamb,Jeremy,1610612766,CHA,27.0,30,13,17,0.433,3.1,0.6,1.5,0.386,0.2,0.6,0.353,0.5,0.6,0.789,0.1,0.4,0.4,0.1,0.0,0.0,0.1,0.1,0.1,0.3,1.8,-0.5,2.8,6,0,2.8,90,117,48,278,172,89,72,225,72,82,108,66,76,148,223,181,217,204,270,225,137,96,348,129,78,269,130,63,25,118,CHA
Players,101107,Marvin Williams,Marvin,1610612766,CHA,33.0,30,13,17,0.433,3.5,0.4,1.2,0.371,0.2,0.8,0.24,0.4,0.5,0.786,0.1,0.6,0.8,0.1,0.0,0.0,0.1,0.0,0.2,0.3,1.4,-0.6,2.9,3,0,2.7,90,117,48,278,95,137,107,246,72,37,189,112,127,149,168,69,96,267,275,242,63,201,272,129,114,282,123,91,25,123,CHA
Players,1626195,Willy Hernangomez,Willy,1610612766,CHA,25.0,9,6,3,0.667,1.6,0.2,0.4,0.5,0.1,0.1,1.0,0.1,0.3,0.333,0.4,0.4,0.9,0.0,0.0,0.1,0.0,0.0,0.3,0.1,0.7,1.3,2.1,0,0,1.9,282,240,324,50,343,253,307,99,147,288,1,249,164,284,22,135,63,297,275,101,217,224,169,281,259,56,204,203,25,220,CHA
Players,1628984,Devonte' Graham,Devonte',1610612766,CHA,24.0,7,3,4,0.429,2.7,0.1,0.6,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.1,0.0,0.0,0.4,0.3,0.3,-3.7,1.1,0,0,0.9,312,301,297,284,227,294,252,310,234,204,234,295,308,295,276,228,285,297,275,62,217,224,110,153,332,432,326,203,25,343,CHA
Players,202689,Kemba Walker,Kemba,1610612766,CHA,29.0,39,18,21,0.462,4.0,1.3,3.2,0.413,0.5,1.6,0.328,1.3,1.6,0.806,0.1,0.8,0.9,0.5,0.2,0.1,0.1,0.4,0.4,1.2,4.5,-0.1,6.8,6,0,6.9,24,60,17,250,44,9,5,199,5,2,142,9,9,139,173,37,59,34,118,114,90,13,157,4,7,214,7,63,25,6,CHA
Players,2225,Tony Parker,Tony,1610612766,CHA,37.0,14,7,7,0.5,2.0,0.5,0.9,0.538,0.1,0.1,0.5,0.1,0.3,0.25,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.1,0.1,0.1,1.1,1.2,1.4,0,0,1.5,240,223,233,178,302,104,164,84,179,274,37,269,190,293,276,365,378,97,72,242,217,132,329,255,158,70,282,203,25,254,CHA
Players,202714,Shelvin Mack,Shelvin,1610612766,CHA,29.0,22,8,14,0.364,3.2,0.2,0.6,0.357,0.1,0.3,0.286,0.1,0.2,0.6,0.0,0.1,0.2,0.1,0.1,0.2,0.0,0.2,0.3,0.3,0.7,-1.3,1.7,0,0,1.5,161,204,99,337,152,251,235,251,165,188,157,234,224,222,249,327,330,201,200,24,217,24,237,167,257,361,244,203,25,250,CHA
Players,202687,Bismack Biyombo,Bismack,1610612766,CHA,26.0,9,3,6,0.333,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.3,0.1,0.4,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.1,0.0,1.3,0,0,1.0,282,301,250,354,368,348,393,348,234,314,234,249,225,237,43,343,208,297,275,242,27,224,99,196,361,194,287,203,25,308,CHA
