group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank,team
Players,1627826,Ivica Zubac,Ivica,1610612746,LAC,22.0,9,7,2,0.778,27.0,0.254,0.308,0.212,0.0,0.0,0.474,0.476,0.8,0.174,0.286,0.118,0.4,0.0,0.75,0.2,0.438,0.4,0.325,282,223,72,23,258,64,60,118,234,314,23,25,10,213,82,212,421,242,15,306,413,33,50,LAC
Players,1628414,Sindarius Thornwell,Sindarius,1610612746,LAC,24.0,13,8,5,0.615,9.0,0.036,0.0,0.0,0.0,0.0,0.25,0.222,0.0,0.1,0.091,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.1,250,204,156,90,336,399,348,393,234,314,95,122,276,316,329,297,1,1,217,1,1,137,293,LAC
Players,1628983,Shai Gilgeous-Alexander,Shai,1610612746,LAC,20.0,28,19,9,0.679,71.0,0.145,0.18,0.159,0.111,0.159,0.08,0.083,0.154,0.135,0.14,0.24,0.2,0.1,0.143,0.111,0.161,0.091,0.143,104,44,242,49,139,210,174,204,194,213,245,257,181,271,272,110,310,217,171,257,193,269,230,LAC
Players,203585,Rodney McGruder,Rodney,1610612746,LAC,27.0,20,9,11,0.45,47.0,0.101,0.088,0.112,0.286,0.158,0.158,0.156,0.2,0.146,0.164,0.0,0.091,0.125,0.0,0.222,0.2,0.087,0.117,177,186,280,261,203,309,299,302,77,215,168,177,146,246,232,297,206,200,217,325,254,278,272,LAC
Players,1629013,Landry Shamet,Landry,1610612746,LAC,22.0,20,11,9,0.55,34.0,0.094,0.077,0.107,0.111,0.2,0.174,0.188,0.167,0.05,0.077,0.071,0.0,0.25,0.0,0.0,0.125,0.125,0.107,177,149,242,149,237,325,309,315,194,154,156,147,167,356,345,265,1,100,217,1,138,228,282,LAC
Players,201601,Luc Mbah a Moute,Luc,1610612746,LAC,32.0,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388,331,1,1,441,403,348,393,234,314,295,308,276,365,378,297,1,242,217,1,1,329,364,LAC
Players,201976,Patrick Beverley,Patrick,1610612746,LAC,30.0,36,23,13,0.639,90.0,0.111,0.116,0.128,0.167,0.213,0.066,0.071,0.313,0.231,0.247,0.139,0.136,0.125,0.5,0.143,0.275,0.1,0.105,43,11,315,76,111,283,261,261,153,142,258,271,98,143,127,195,256,200,31,269,344,255,286,LAC
Players,101162,Marcin Gortat,Marcin,1610612746,LAC,35.0,3,1,2,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371,365,72,354,449,403,348,393,234,314,295,308,276,365,378,297,1,242,217,1,1,329,364,LAC
Players,202066,Garrett Temple,Garrett,1610612746,LAC,33.0,30,13,17,0.433,95.0,0.111,0.065,0.105,0.176,0.192,0.058,0.048,0.0,0.075,0.058,0.074,0.333,0.333,0.222,0.222,0.226,0.055,0.073,90,117,386,278,100,292,320,317,150,167,267,291,276,338,364,262,396,64,119,325,292,306,325,LAC
Players,1626149,Montrezl Harrell,Montrezl,1610612746,LAC,25.0,36,24,12,0.667,114.0,0.164,0.198,0.15,0.0,0.015,0.133,0.228,0.368,0.241,0.265,0.149,0.25,0.357,0.273,0.182,0.265,0.292,0.161,43,8,299,50,59,168,147,223,234,312,189,117,72,130,107,184,354,59,99,299,338,75,194,LAC
