group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
Players,2200,Pau Gasol,Pau,1610612749,MIL,38.0,2,1,1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,388,365,19,178,440,369,314,325,143,234,182,1,229,315,275,261,222,92,318,267,348,393,348,MIL
Players,203503,Tony Snell,Tony,1610612749,MIL,27.0,7,3,4,0.429,1.6,0.333,0.667,0.4,0.0,0.6,0.6,0.0,0.4,0.4,1.0,0.0,1.0,0.0,1.0,0.0,2,3,0.667,312,301,129,284,339,321,64,213,143,40,7,295,27,162,1,261,1,92,1,267,249,303,38,MIL
Players,204025,Tim Frazier,Tim,1610612749,MIL,28.0,10,5,5,0.5,2.4,0.6,0.4,0.8,0.0,0.0,0.0,0.2,0.2,0.8,0.0,1.0,0.0,0.0,0.0,1.0,2,5,0.4,276,262,156,178,262,209,182,56,143,234,182,190,77,49,275,1,222,92,318,1,249,267,210,MIL
Players,203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,24.0,33,22,11,0.667,3.3,0.896,0.104,0.63,0.0,0.033,0.076,0.337,0.109,0.63,0.552,0.448,0.0,1.0,0.533,0.467,30,48,0.625,66,14,280,50,144,92,301,111,143,233,128,83,168,89,139,186,222,1,199,148,25,46,59,MIL
Players,203114,Khris Middleton,Khris,1610612749,MIL,27.0,33,21,12,0.636,3.1,0.351,0.649,0.163,0.041,0.551,0.061,0.286,0.143,0.122,0.5,0.5,0.556,0.444,0.538,0.462,13,37,0.351,66,28,299,77,164,317,76,315,132,54,145,128,124,309,144,148,189,44,197,150,85,64,257,MIL
Players,1627763,Malcolm Brogdon,Malcolm,1610612749,MIL,26.0,26,18,8,0.692,3.3,0.538,0.462,0.327,0.041,0.551,0.041,0.122,0.286,0.286,0.625,0.375,0.889,0.111,0.765,0.235,17,26,0.654,127,60,220,46,141,238,154,258,132,54,157,264,42,234,123,200,144,89,117,231,64,99,51,MIL
Players,1628978,Donte DiVincenzo,Donte,1610612749,MIL,22.0,2,1,1,0.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,388,365,19,178,373,369,314,325,143,234,182,295,229,315,275,261,222,92,318,267,348,393,348,MIL
Players,1626192,Pat Connaughton,Pat,1610612749,MIL,26.0,20,9,11,0.45,3.1,0.333,0.667,1.0,0.0,0.0,0.333,0.0,0.0,1.0,0.667,0.333,0.0,0.0,0.667,0.333,3,12,0.25,177,186,280,261,166,321,64,1,143,234,20,295,229,1,99,208,222,92,146,181,226,198,310,MIL
Players,201588,George Hill,George,1610612749,MIL,33.0,12,9,3,0.75,2.3,0.692,0.308,0.522,0.174,0.391,0.0,0.087,0.13,0.348,0.167,0.833,0.0,1.0,0.111,0.889,9,13,0.692,259,186,109,27,276,156,237,155,47,104,182,277,142,195,249,72,222,1,309,37,124,189,33,MIL
Players,201572,Brook Lopez,Brook,1610612749,MIL,31.0,28,16,12,0.571,3.0,0.45,0.55,0.308,0.0,0.462,0.0,0.23,0.231,0.308,1.0,0.0,1.0,0.0,1.0,0.0,4,20,0.2,104,83,299,124,183,282,111,267,143,84,182,169,64,227,1,261,1,92,1,267,212,133,329,MIL
Players,1628391,D.J. Wilson,D.J.,1610612749,MIL,23.0,7,3,4,0.429,2.0,0.714,0.286,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,2,7,0.286,312,301,129,284,300,144,246,1,143,234,8,295,229,1,144,148,222,92,208,106,249,242,297,MIL
Players,202703,Nikola Mirotic,Nikola,1610612749,MIL,28.0,18,6,12,0.333,1.7,0.3,0.7,0.375,0.375,0.375,0.188,0.25,0.125,0.0,0.333,0.667,1.0,0.0,0.6,0.4,5,10,0.5,196,240,299,354,325,335,57,236,9,106,53,150,148,315,204,113,1,92,177,165,188,215,99,MIL
Players,101141,Ersan Ilyasova,Ersan,1610612749,MIL,32.0,16,9,7,0.563,2.8,0.417,0.583,0.4,0.0,0.4,0.0,0.2,0.0,0.4,0.667,0.333,1.0,0.0,0.8,0.2,5,12,0.417,220,186,203,135,212,293,98,213,143,100,182,190,229,162,99,208,1,92,102,236,188,198,190,MIL
Players,1629045,Bonzie Colson,Bonzie,1610612749,MIL,23.0,1,0,1,0.0,2.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,415,417,19,417,296,369,1,325,143,234,182,295,229,315,275,261,222,92,318,267,348,355,348,MIL
Players,202339,Eric Bledsoe,Eric,1610612749,MIL,29.0,29,17,12,0.586,3.5,0.685,0.315,0.522,0.0,0.304,0.159,0.174,0.217,0.522,0.333,0.667,0.571,0.429,0.4,0.6,25,54,0.463,97,74,299,117,105,161,232,155,143,138,68,227,70,119,204,113,187,47,257,86,36,38,152,MIL
Players,1628425,Sterling Brown,Sterling,1610612749,MIL,24.0,9,5,4,0.556,3.5,0.875,0.125,1.0,0.0,0.0,0.143,0.0,0.286,1.0,0.286,0.714,0.0,0.0,0.286,0.714,7,16,0.438,282,262,129,141,103,97,295,1,143,234,74,295,42,1,216,105,222,92,283,63,159,158,172,MIL
Players,203477,Isaiah Canaan,Isaiah,1610612749,MIL,28.0,6,2,4,0.333,2.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,327,331,129,354,292,369,1,325,143,234,182,295,229,315,275,261,222,92,318,267,348,355,348,MIL
