group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank,team
Players,201950,Jrue Holiday,Jrue,1610612740,NOP,29.0,38,14,24,0.368,99.0,0.275,0.194,0.283,0.25,0.25,0.333,0.316,0.143,0.13,0.133,0.545,0.444,0.385,0.385,0.308,0.195,0.321,0.236,32,102,443,335,88,55,152,62,101,107,56,62,192,278,277,16,428,49,68,369,250,61,102,NOP
Players,1627767,Cheick Diallo,Cheick,1610612740,NOP,22.0,12,4,8,0.333,19.0,0.164,0.235,0.158,0.0,0.0,0.214,0.188,0.5,0.278,0.333,0.125,0.25,0.0,0.5,0.2,0.154,0.176,0.208,259,277,220,354,279,169,113,206,234,314,126,147,26,94,48,202,354,242,31,306,178,175,126,NOP
Players,1629541,Dairis Bertans,Dairis,1610612740,NOP,29.0,4,2,2,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354,331,72,178,364,403,348,393,234,314,295,308,276,365,378,297,1,242,217,1,1,329,364,NOP
Players,203076,Anthony Davis,Anthony,1610612740,NOP,26.0,25,9,16,0.36,64.0,0.342,0.476,0.395,0.143,0.302,0.29,0.304,0.5,0.4,0.426,0.091,0.182,0.375,0.1,0.5,0.103,0.321,0.41,135,186,368,340,160,25,11,17,170,70,80,73,26,32,26,245,297,53,191,410,116,60,19,NOP
Players,1626169,Stanley Johnson,Stanley,1610612740,NOP,23.0,16,6,10,0.375,38.0,0.078,0.08,0.067,0.143,0.13,0.0,0.0,0.0,0.111,0.069,0.167,0.2,0.5,0.5,0.0,0.19,0.0,0.068,220,240,264,327,225,357,307,371,170,238,295,308,276,300,355,166,310,21,31,1,241,329,329,NOP
Players,203901,Elfrid Payton,Elfrid,1610612740,NOP,25.0,17,9,8,0.529,56.0,0.224,0.255,0.236,0.143,0.2,0.265,0.227,0.308,0.268,0.278,0.56,0.273,0.167,0.0,0.231,0.148,0.154,0.247,207,186,220,163,175,85,87,92,170,154,86,118,101,101,93,13,376,164,217,333,168,202,92,NOP
Players,202734,E'Twaun Moore,E'Twaun,1610612740,NOP,30.0,25,8,17,0.32,59.0,0.088,0.075,0.114,0.111,0.186,0.0,0.0,0.091,0.059,0.067,0.0,0.0,0.091,0.0,0.0,0.175,0.0,0.06,135,204,386,375,170,341,313,300,194,176,295,308,232,351,357,297,1,221,217,1,218,329,340,NOP
Players,1626174,Christian Wood,Christian,1610612740,NOP,23.0,4,2,2,0.5,11.0,0.179,0.1,0.174,0.0,0.333,0.667,0.5,0.333,0.455,0.429,0.25,0.0,0.0,1.0,0.2,0.0,0.5,0.167,354,331,72,178,319,137,285,175,234,42,9,19,78,24,25,97,1,242,1,306,1,11,185,NOP
Players,203524,Solomon Hill,Solomon,1610612740,NOP,28.0,13,6,7,0.462,36.0,0.084,0.045,0.103,0.0,0.263,0.095,0.063,0.2,0.238,0.231,0.0,0.0,0.25,0.0,0.0,0.227,0.1,0.061,250,240,203,250,228,346,336,318,234,98,228,276,146,134,148,297,1,100,217,1,293,255,337,NOP
Players,1629026,Kenrich Williams,Kenrich,1610612740,NOP,24.0,15,9,6,0.6,56.0,0.087,0.091,0.1,0.308,0.278,0.0,0.05,0.0,0.186,0.133,0.074,0.125,0.125,0.25,0.071,0.286,0.114,0.093,229,186,179,98,178,343,293,322,71,91,295,290,276,197,277,262,241,200,103,234,351,243,304,NOP
Players,203546,Ian Clark,Ian,1610612740,NOP,28.0,17,6,11,0.353,30.0,0.131,0.143,0.175,0.333,0.217,0.043,0.031,0.0,0.045,0.036,0.364,0.167,0.0,0.2,0.286,0.333,0.095,0.118,207,240,280,344,251,248,226,172,53,140,278,302,276,357,376,49,282,242,132,349,374,262,270,NOP
Players,1626143,Jahlil Okafor,Jahlil,1610612740,NOP,23.0,10,4,6,0.4,16.0,0.119,0.286,0.161,0.0,0.0,0.0,0.0,0.333,0.267,0.278,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.235,276,277,179,308,295,270,69,202,234,314,295,308,78,102,93,297,1,242,217,1,197,329,103,NOP
Players,1626150,Andrew Harrison,Andrew,1610612740,NOP,24.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,417,19,417,451,403,348,393,234,314,295,308,276,365,378,297,1,242,217,1,1,329,364,NOP
Players,203944,Julius Randle,Julius,1610612740,NOP,24.0,35,14,21,0.4,103.0,0.284,0.329,0.25,0.133,0.048,0.5,0.554,0.385,0.311,0.33,0.175,0.292,0.167,0.154,0.353,0.289,0.473,0.352,55,102,425,308,77,48,52,77,179,298,17,14,67,71,60,158,385,164,166,395,356,21,36,NOP
Players,1628402,Frank Jackson,Frank,1610612740,NOP,21.0,15,2,13,0.133,33.0,0.174,0.16,0.233,0.125,0.192,0.091,0.138,0.222,0.103,0.132,0.063,0.0,0.333,0.2,0.25,0.0,0.12,0.138,229,331,315,414,242,145,202,95,181,167,233,199,132,314,282,271,1,64,132,336,1,237,246,NOP
Players,203121,Darius Miller,Darius,1610612740,NOP,29.0,29,11,18,0.379,75.0,0.106,0.136,0.122,0.438,0.286,0.14,0.103,0.0,0.073,0.052,0.097,0.071,0.0,0.333,0.091,0.208,0.104,0.163,97,149,405,325,131,300,238,276,26,83,186,233,276,339,370,239,194,242,71,245,269,252,192,NOP
