group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
,1627846,Abdel Nader,,1610612760,OKC,25.0,3,2,1,0.667,46.7,7.1,7.1,1.0,7.1,7.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,21.4,0.0,42.9,0,0,42.9,371,331,381,50,176,128,339,1,8,129,1,295,308,295,276,365,378,297,275,8,217,224,361,329,127,194,140,203,25,124
,203518,Alex Abrines,,1610612760,OKC,25.0,7,3,4,0.429,40.9,10.3,27.6,0.375,6.9,20.7,0.333,0.0,0.0,0.0,0.0,3.4,3.4,0.0,0.0,0.0,3.4,0.0,3.4,0.0,27.6,13.8,42.1,0,0,44.8,312,301,297,284,380,62,35,233,9,1,113,295,308,295,276,306,342,297,275,242,35,224,297,329,80,110,152,203,25,108
,203471,Dennis Schröder,,1610612760,OKC,25.0,36,15,21,0.417,46.0,3.3,11.4,0.286,0.8,4.9,0.167,2.4,2.4,1.0,0.4,4.1,4.5,2.0,2.0,1.6,0.0,1.2,4.5,2.0,9.8,-4.9,21.0,1,0,20.3,43,91,17,302,212,288,233,297,214,207,209,238,270,1,271,279,315,217,155,108,217,126,230,282,300,251,344,147,25,342
,1628977,Hamidou Diallo,,1610612760,OKC,20.0,1,0,1,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-100.0,0.0,0,0,0.0,415,417,381,417,437,348,393,348,234,314,234,295,308,295,276,365,378,297,275,242,217,224,1,329,364,428,405,203,25,406
,203924,Jerami Grant,,1610612760,OKC,25.0,44,21,23,0.477,47.2,5.6,10.5,0.528,1.8,3.5,0.5,2.6,4.4,0.6,2.9,4.4,7.3,0.3,0.9,1.2,2.9,1.5,4.7,4.4,15.5,0.6,36.1,2,0,33.0,7,28,10,238,153,202,256,89,148,252,37,230,213,222,124,257,216,295,254,157,42,109,221,184,219,191,199,109,25,204
,202693,Markieff Morris,,1610612760,OKC,29.0,18,9,9,0.5,47.5,6.3,13.4,0.471,4.7,8.7,0.545,4.7,4.7,1.0,3.1,3.9,7.1,2.4,0.8,0.8,3.1,0.0,8.7,5.5,22.0,-5.5,45.1,1,0,44.1,196,186,189,178,133,164,185,148,26,90,35,148,203,1,116,287,224,193,258,198,38,224,81,131,118,256,119,147,25,111
,203457,Nerlens Noel,,1610612760,OKC,25.0,6,4,2,0.667,47.3,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,9.1,0.0,0.0,0.0,9.1,0.0,18.2,0.0,0.0,0.0,38.2,0,0,27.3,327,277,344,50,141,348,305,348,234,314,234,295,308,295,18,365,166,297,275,242,9,224,18,329,364,194,181,203,25,275
,202335,Patrick Patterson,,1610612760,OKC,30.0,5,0,5,0.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,16.7,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,16.7,70.0,0,0,50.0,340,417,274,417,426,348,393,348,234,314,234,295,308,295,276,13,35,297,275,242,1,224,361,329,364,82,32,203,25,74
,202331,Paul George,,1610612760,OKC,29.0,44,21,23,0.477,45.5,10.3,27.6,0.375,4.6,14.9,0.308,16.4,18.1,0.905,2.0,8.9,10.9,4.3,4.0,3.7,0.3,2.3,5.5,10.9,41.7,3.7,69.3,13,0,69.5,7,28,10,238,238,62,35,233,29,19,147,12,19,82,168,94,124,100,42,21,215,56,181,24,20,171,34,29,25,22
,101109,Raymond Felton,,1610612760,OKC,35.0,2,0,2,0.0,45.0,0.0,11.1,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,-22.2,0.0,0,0,0.0,388,417,344,417,267,348,239,348,234,41,234,295,308,295,276,365,378,297,275,242,217,224,46,329,364,347,405,203,25,406
,201566,Russell Westbrook,,1610612760,OKC,30.0,42,20,22,0.476,46.3,10.1,28.9,0.35,2.3,12.4,0.186,13.0,16.2,0.804,2.0,11.6,13.6,9.5,3.8,1.4,0.6,1.2,5.8,10.4,35.5,0.9,68.5,34,21,65.0,14,35,13,240,196,69,31,258,115,32,206,23,26,140,167,38,73,15,54,123,197,129,163,30,42,189,35,2,1,30
,203500,Steven Adams,,1610612760,OKC,25.0,44,20,24,0.455,45.5,3.9,7.6,0.52,0.0,0.0,0.0,3.0,6.4,0.476,7.0,5.2,12.1,0.9,1.8,0.6,0.6,0.6,5.2,5.2,10.9,-2.1,28.6,17,0,26.4,7,35,4,258,243,266,334,93,234,314,234,213,146,273,33,215,92,278,173,219,191,187,200,148,283,235,272,20,25,282
