group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
Players,1626171,Bobby Portis,Bobby,1610612764,WAS,24.0,15,3,12,0.2,52.075,7,24,0.292,2,8,0.25,2,3,0.667,8,9,17,2,4,1,1,3,10,1,18,-18,43.4,6,0,43.0,229,301,299,404,190,159,108,295,129,120,175,212,214,201,35,132,83,192,84,151,130,384,335,266,178,380,173,63,25,170
Players,203078,Bradley Beal,Bradley,1610612764,WAS,26.0,36,15,21,0.417,170.33,44,99,0.444,13,42,0.31,24,31,0.774,8,16,24,28,21,9,4,2,16,25,125,-21,213.8,4,2,216.0,43,91,425,302,2,5,7,164,8,8,146,27,28,155,35,59,50,6,2,2,26,333,420,21,7,394,8,78,7,7
Players,1626184,Chasson Randle,Chasson,1610612764,WAS,26.0,6,3,3,0.5,16.363333333333333,2,7,0.286,0,3,0.0,2,2,1.0,0,0,0,2,0,0,0,1,2,2,6,-8,9.0,0,0,8.0,327,301,109,178,294,249,242,297,234,211,234,212,238,1,276,365,378,192,275,242,217,229,140,223,261,312,308,203,25,310
Players,1628421,Devin Robinson,Devin,1610612764,WAS,24.0,1,0,1,0.0,5.016666666666667,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,-7,1.2,0,0,1.0,415,417,19,417,380,348,355,348,234,314,234,295,308,295,276,308,334,297,275,242,217,1,1,329,364,296,390,203,25,388
Players,1627780,Gary Payton II,Gary,1610612764,WAS,26.0,1,0,1,0.0,0.5116666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0,0,0.0,415,417,19,417,433,348,393,348,234,314,234,295,308,295,276,365,378,297,275,242,217,1,90,329,364,178,405,203,25,406
Players,101133,Ian Mahinmi,Ian,1610612764,WAS,32.0,2,1,1,0.5,5.023333333333333,0,2,0.0,0,0,0.0,0,0,0.0,3,2,5,0,0,0,0,1,2,1,0,-7,6.0,0,0,5.0,388,365,19,178,379,348,326,348,234,314,234,295,308,295,120,266,231,297,275,242,217,229,140,266,364,296,338,203,25,339
Players,203953,Jabari Parker,Jabari,1610612764,WAS,24.0,28,10,18,0.357,94.48166666666668,13,27,0.481,3,10,0.3,9,15,0.6,8,20,28,2,7,2,2,1,8,8,38,-41,79.6,5,0,79.0,104,167,405,341,101,85,95,144,101,103,150,91,73,222,35,35,37,192,43,101,80,229,302,101,91,439,96,69,25,91
Players,201145,Jeff Green,Jeff,1610612764,WAS,32.0,28,12,16,0.429,104.72666666666667,12,22,0.545,5,12,0.417,10,10,1.0,1,11,12,5,6,1,1,1,8,8,39,-2,60.9,1,0,65.0,104,136,368,284,72,97,119,79,65,85,71,78,108,1,199,100,130,111,53,151,130,229,302,101,88,229,126,147,25,111
Players,202322,John Wall,John,1610612764,WAS,28.0,12,5,7,0.417,52.935,15,31,0.484,2,7,0.286,13,19,0.684,0,5,5,12,3,1,5,1,7,12,45,-7,84.0,6,0,76.0,259,262,203,302,186,75,77,143,129,134,157,61,58,200,276,185,231,39,110,151,15,229,285,67,79,296,91,63,25,95
Players,203895,Jordan McRae,Jordan,1610612764,WAS,28.0,5,1,4,0.2,16.56833333333333,0,3,0.0,0,2,0.0,4,4,1.0,0,2,2,3,1,0,0,2,2,3,4,-15,9.9,0,0,9.0,340,365,129,404,292,348,303,348,234,236,234,168,190,1,276,266,289,148,197,242,217,333,140,191,296,357,298,203,25,300
