group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
Players,1627756,Denzel Valentine,Denzel,1610612741,CHI,26.0,8,5,3,0.625,13.783333333333331,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,4,5.0,0,0,6.0,285,231,117,106,296,233,313,1,162,261,1,297,301,297,273,346,365,285,254,235,181,1,1,319,270,156,342,193,21,320,CHI
Players,203490,Otto Porter Jr.,Otto,1610612741,CHI,27.0,6,2,4,0.333,20.648333333333333,1,7,0.143,1,5,0.2,0,0,0.0,0,3,3,1,0,0,0,0,1,0,3,4,8.1,0,0,8.0,316,321,148,331,270,283,216,337,162,146,196,297,301,297,273,218,255,218,254,235,181,1,95,319,306,156,308,193,21,301,CHI
Players,201152,Thaddeus Young,Thaddeus,1610612741,CHI,32.0,22,6,16,0.273,42.17,5,8,0.625,4,5,0.8,1,2,0.5,1,4,5,2,2,0,0,1,5,5,15,-38,22.0,1,0,26.0,133,210,396,372,185,166,210,52,83,146,14,255,231,255,187,194,211,165,129,235,181,253,257,131,172,433,217,139,21,191,CHI
Players,1628436,Luke Kornet,Luke,1610612741,CHI,24.0,4,2,2,0.5,4.185,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,1,0,0,2,0.5,0,0,1.0,344,321,82,177,375,340,394,340,224,312,224,297,301,297,273,346,365,218,175,235,181,1,95,319,365,179,402,193,21,389,CHI
Players,1626245,Cristiano Felicio,Cristiano,1610612741,CHI,27.0,6,1,5,0.167,10.12,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,-18,0.2,0,0,1.0,316,358,180,405,322,340,350,340,224,312,224,297,301,297,187,346,312,285,175,235,181,1,1,319,365,375,405,193,21,389,CHI
Players,1628374,Lauri Markkanen,Lauri,1610612741,CHI,23.0,23,9,14,0.391,80.31166666666667,9,27,0.333,5,17,0.294,12,13,0.923,6,9,15,5,3,0,2,3,7,9,35,-21,63.5,3,0,64.0,122,157,367,299,108,110,88,252,60,53,161,61,81,95,37,118,87,88,92,235,58,404,308,81,89,388,108,80,21,102,CHI
Players,1627853,Ryan Arcidiacono,Ryan,1610612741,CHI,26.0,9,3,6,0.333,11.011666666666668,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,1,0,0,2,1,0,-23,5.7,0,0,4.0,272,284,208,331,314,340,350,340,224,261,224,297,301,297,273,286,312,218,254,126,181,1,156,262,365,398,335,193,21,342,CHI
Players,203897,Zach LaVine,Zach,1610612741,CHI,25.0,33,11,22,0.333,115.355,30,91,0.33,16,49,0.327,33,37,0.892,0,11,11,4,6,2,2,9,15,25,109,-65,134.2,1,0,148.0,32,119,449,331,31,10,5,282,1,1,149,14,15,108,273,89,127,106,43,75,58,452,427,16,8,452,27,139,21,19,CHI
Players,1629632,Coby White,Coby,1610612741,CHI,20.0,20,5,15,0.25,37.35,6,12,0.5,2,4,0.5,0,0,0.0,2,1,3,4,2,0,0,0,8,0,14,-30,21.6,0,0,23.0,150,231,387,383,197,147,171,96,125,169,30,297,301,297,144,286,255,106,129,235,181,1,337,319,181,418,219,193,21,211,CHI
Players,1628976,Wendell Carter Jr.,Wendell,1610612741,CHI,21.0,26,10,16,0.385,77.59333333333333,6,9,0.667,0,0,0.0,10,15,0.667,6,15,21,1,6,4,3,2,17,11,22,-25,63.7,9,0,58.0,98,139,396,304,112,147,200,40,224,312,224,75,66,219,37,52,52,218,43,21,39,353,435,64,134,408,107,33,21,112,CHI
Players,203107,Tomas Satoransky,Tomas,1610612741,CHI,28.0,33,12,21,0.364,92.625,10,16,0.625,4,8,0.5,10,10,1.0,4,8,12,12,5,3,0,0,7,7,34,-40,70.4,1,0,68.0,32,102,446,322,78,97,139,52,83,116,30,75,96,1,67,128,113,33,62,40,181,1,308,104,94,437,95,139,21,93,CHI
Players,1627885,Shaquille Harrison,Shaquille,1610612741,CHI,26.0,6,2,4,0.333,3.0383333333333336,0,0,0.0,0,0,0.0,2,2,1.0,1,0,1,1,0,0,0,0,3,1,2,-8,4.7,0,0,4.0,316,321,148,331,396,340,394,340,224,312,224,208,231,1,187,346,312,218,254,235,181,1,192,262,325,298,347,193,21,342,CHI
Players,1629690,Adam Mokoka,Adam,1610612741,CHI,21.0,2,1,1,0.5,0.3083333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0.0,383,358,28,177,445,340,394,340,224,312,224,297,301,297,273,346,365,285,254,235,181,1,1,319,365,239,406,193,21,406,CHI
Players,1628990,Chandler Hutchison,Chandler,1610612741,CHI,24.0,6,3,3,0.5,12.528333333333334,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,1,3,0,2,-22,7.4,0,0,6.0,316,284,117,177,305,283,313,96,224,312,224,297,301,297,273,246,277,285,254,126,181,253,192,319,325,395,313,193,21,320,CHI
Players,1629655,Daniel Gafford,Daniel,1610612741,CHI,21.0,4,0,4,0.0,6.805,2,4,0.5,0,0,0.0,0,0,0.0,4,0,4,0,0,1,0,1,0,0,4,-13,11.8,0,0,10.0,344,415,148,415,352,233,268,96,224,312,224,297,301,297,67,346,230,285,254,126,181,253,1,319,288,344,277,193,21,284,CHI
Players,1627739,Kris Dunn,Kris,1610612741,CHI,26.0,21,9,12,0.429,67.76666666666667,4,12,0.333,0,2,0.0,3,4,0.75,0,10,10,11,2,4,2,1,11,5,11,-29,55.5,0,0,44.0,142,157,341,262,132,184,171,252,224,219,224,180,177,179,273,100,140,37,129,21,58,253,393,131,207,416,124,193,21,144,CHI
