group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank
Players,202329,Al-Farouq Aminu,Al-Farouq,1610612741,CHI,30.0,4,1,3,0.25,2.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,344,351,109,373,279,1,320,315,113,245,150,295,225,305,254,245,235,85,325,251,355,356,355
Players,1629632,Coby White,Coby,1610612741,CHI,21.0,33,14,19,0.424,3.3,0.395,0.605,0.349,0.032,0.333,0.095,0.318,0.222,0.317,0.545,0.455,0.571,0.429,0.556,0.444,18,38,0.474,18,64,441,275,143,282,119,228,110,144,93,119,78,212,123,191,208,37,198,157,42,47,166
Players,1628464,Daniel Theis,Daniel,1610612741,CHI,29.0,29,12,17,0.414,2.7,0.65,0.35,0.69,0.0,0.103,0.069,0.207,0.138,0.69,0.8,0.2,1.0,0.0,0.818,0.182,11,20,0.55,46,93,425,280,214,172,229,72,113,233,110,186,138,64,77,233,1,85,126,226,86,113,96
Players,1627756,Denzel Valentine,Denzel,1610612741,CHI,27.0,15,5,10,0.333,1.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,4,0.25,193,237,302,330,383,360,1,315,113,1,150,295,225,305,254,245,1,85,1,251,284,269,324
Players,202066,Garrett Temple,Garrett,1610612741,CHI,35.0,28,14,14,0.5,3.3,0.632,0.368,0.545,0.182,0.273,0.0,0.182,0.0,0.364,0.5,0.5,1.0,0.0,0.625,0.375,8,19,0.421,58,64,383,176,139,182,219,140,31,173,150,215,225,185,125,157,1,85,181,172,112,119,213
Players,1629750,Javonte Green,Javonte,1610612741,CHI,27.0,7,3,4,0.429,1.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,299,284,142,265,388,1,320,315,113,245,150,295,225,305,254,245,235,85,325,251,355,356,355
Players,1628374,Lauri Markkanen,Lauri,1610612741,CHI,24.0,15,6,9,0.4,2.2,0.214,0.786,0.143,0.0,0.857,0.0,0.0,0.0,0.143,1.0,0.0,1.0,0.0,1.0,0.0,5,14,0.357,193,214,289,288,293,342,57,297,113,24,150,295,225,280,1,245,1,85,1,251,174,146,267
Players,202696,Nikola Vučević,Nikola,1610612741,CHI,30.0,28,11,17,0.393,3.1,0.763,0.237,0.732,0.195,0.146,0.0,0.122,0.049,0.537,0.467,0.533,1.0,0.0,0.529,0.471,17,38,0.447,58,114,425,303,170,121,280,65,26,221,150,263,217,109,159,156,1,85,201,154,47,47,188
Players,1630172,Patrick Williams,Patrick,1610612741,CHI,19.0,28,11,17,0.393,1.9,0.667,0.333,0.545,0.182,0.273,0.182,0.182,0.0,0.364,1.0,0.0,1.0,0.0,1.0,0.0,4,6,0.667,58,114,425,303,322,155,233,140,31,173,44,215,225,185,1,245,1,85,1,251,189,232,53
Players,1627853,Ryan Arcidiacono,Ryan,1610612741,CHI,27.0,2,1,1,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,386,351,25,176,411,360,320,315,113,245,150,295,225,305,254,245,235,85,325,251,355,401,355
Players,201152,Thaddeus Young,Thaddeus,1610612741,CHI,33.0,29,11,18,0.379,2.8,0.957,0.043,0.727,0.0,0.091,0.061,0.182,0.152,0.727,0.5,0.5,1.0,0.0,0.538,0.462,13,23,0.565,46,114,433,313,200,82,319,66,113,237,116,215,123,60,125,157,1,85,200,155,71,98,94
Players,203107,Tomas Satoransky,Tomas,1610612741,CHI,29.0,13,4,9,0.308,1.8,0.667,0.333,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1,3,0.333,218,259,289,356,332,155,233,154,113,245,150,30,225,117,1,245,235,85,1,251,284,295,273
Players,1628972,Troy Brown Jr.,Troy,1610612741,CHI,21.0,5,1,4,0.2,2.3,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,4,0.25,328,351,142,387,282,221,156,1,113,245,150,295,225,1,254,1,235,85,325,1,284,269,324
Players,203897,Zach LaVine,Zach,1610612741,CHI,26.0,27,10,17,0.37,3.9,0.563,0.437,0.407,0.119,0.254,0.11,0.339,0.203,0.288,0.25,0.75,0.3,0.7,0.265,0.735,34,87,0.391,72,137,425,319,58,205,196,199,60,179,83,91,87,221,213,93,227,18,305,50,9,6,241
