group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
Players,202329,Al-Farouq Aminu,Al-Farouq,1610612741,CHI,30.0,4,1,3,0.25,9.24,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,0,1,0,0,-11,6.6,0,0,5.0,344,351,109,373,325,355,356,355,245,320,245,295,304,295,180,259,259,291,257,238,96,1,87,319,368,332,325,201,20,335
Players,1629632,Coby White,Coby,1610612741,CHI,21.0,33,14,19,0.424,107.475,18,38,0.474,7,23,0.304,20,23,0.87,1,17,18,9,4,2,1,1,11,17,63,17,103.1,3,0,103.0,18,64,441,275,38,42,47,166,33,23,157,28,28,111,180,41,50,49,77,82,96,265,394,30,36,73,42,79,20,40
Players,1628464,Daniel Theis,Daniel,1610612741,CHI,29.0,29,12,17,0.414,79.55166666666666,11,20,0.55,1,7,0.143,6,9,0.667,5,13,18,5,7,2,3,0,11,7,29,-26,66.1,2,0,63.0,46,93,425,280,96,86,113,96,168,122,240,108,95,200,38,63,50,90,31,82,25,1,394,89,103,410,94,101,20,98
Players,1627756,Denzel Valentine,Denzel,1610612741,CHI,27.0,15,5,10,0.333,19.206666666666667,1,4,0.25,1,4,0.25,0,0,0.0,0,3,3,0,2,0,0,0,2,0,3,0,4.6,0,0,7.0,193,237,302,330,279,284,269,324,168,177,178,295,304,295,263,231,259,291,130,238,180,1,146,319,309,199,348,201,20,314
Players,202066,Garrett Temple,Garrett,1610612741,CHI,35.0,28,14,14,0.5,91.57,8,19,0.421,2,7,0.286,4,5,0.8,5,8,13,7,4,1,4,0,11,5,22,30,59.1,0,0,54.0,58,64,383,176,69,112,119,213,126,122,165,141,160,148,38,109,92,66,77,139,16,1,394,124,136,43,108,201,20,113
Players,1629750,Javonte Green,Javonte,1610612741,CHI,27.0,7,3,4,0.429,8.813333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-18,0.0,0,0,0.0,299,284,142,265,331,355,356,355,245,320,245,295,304,295,263,360,374,291,257,238,180,1,87,319,368,375,414,201,20,414
Players,1628374,Lauri Markkanen,Lauri,1610612741,CHI,24.0,15,6,9,0.4,32.725,5,14,0.357,4,11,0.364,0,0,0.0,0,5,5,0,2,2,1,0,5,0,14,-7,27.0,1,0,29.0,193,214,289,288,216,174,146,267,67,84,114,295,304,295,263,175,213,291,130,82,96,1,277,319,187,301,200,139,20,188
Players,202696,Nikola Vučević,Nikola,1610612741,CHI,30.0,28,11,17,0.393,85.88666666666667,17,38,0.447,2,9,0.222,5,6,0.833,6,25,31,10,6,4,0,0,11,8,41,-4,99.2,21,1,92.0,58,114,425,303,83,47,47,188,126,99,205,127,136,132,24,9,8,43,41,27,180,1,394,74,68,258,46,7,12,52
Players,1630172,Patrick Williams,Patrick,1610612741,CHI,19.0,28,11,17,0.393,53.086666666666666,4,6,0.667,1,2,0.5,2,3,0.667,0,8,8,1,1,1,2,0,10,3,11,-36,30.1,2,0,27.0,58,114,425,303,152,189,232,53,168,229,47,206,214,200,263,109,153,208,178,139,50,1,379,188,212,434,193,101,20,197
Players,1627853,Ryan Arcidiacono,Ryan,1610612741,CHI,27.0,2,1,1,0.5,1.7833333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,386,351,25,176,421,355,401,355,245,320,245,295,304,295,263,360,374,291,257,238,180,1,1,319,368,180,414,201,20,414
Players,201152,Thaddeus Young,Thaddeus,1610612741,CHI,33.0,29,11,18,0.379,81.245,13,23,0.565,1,1,1.0,6,10,0.6,10,14,24,12,9,7,0,1,11,10,33,0,91.8,4,0,84.0,46,114,433,313,90,71,98,94,168,268,1,108,87,236,11,55,29,28,20,4,180,265,394,60,86,199,59,63,20,63
Players,203107,Tomas Satoransky,Tomas,1610612741,CHI,29.0,13,4,9,0.308,23.445,1,3,0.333,0,1,0.0,2,2,1.0,1,1,2,1,2,0,0,0,2,1,4,-31,5.9,0,0,7.0,218,259,289,356,262,284,295,273,245,268,245,206,242,1,180,308,285,208,130,238,180,1,146,260,295,426,334,201,20,314
Players,1628972,Troy Brown Jr.,Troy,1610612741,CHI,21.0,5,1,4,0.2,11.46,1,4,0.25,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,3,0,2,-20,4.4,0,0,4.0,328,351,142,387,313,284,269,324,245,229,245,295,304,295,180,308,285,291,257,238,180,1,196,319,335,390,350,201,20,345
Players,203897,Zach LaVine,Zach,1610612741,CHI,26.0,27,10,17,0.37,104.57666666666668,34,87,0.391,10,38,0.263,40,45,0.889,1,19,20,8,12,2,2,4,13,29,118,-25,154.0,0,0,164.0,72,137,425,319,45,9,6,241,9,3,173,5,5,99,180,23,44,58,8,82,50,425,421,7,8,405,14,201,20,11
