group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
Players,1626192,Pat Connaughton,Pat,1610612749,MIL,29.0,4,2,2,0.5,11.296666666666669,0,4,0.0,0,4,0.0,2,2,1.0,1,2,3,1,0,0,0,0,0,1,2,-1,7.1,0,0,6.0,41,40,62,51,42,75,39,75,42,14,42,22,25,1,11,21,20,24,40,28,28,1,1,32,62,69,57,37,2,61,MIL
Players,203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,27.0,5,3,2,0.6,13.325,2,4,0.5,0,0,0.0,1,2,0.5,1,1,2,0,4,1,1,1,2,3,5,-4,9.4,5,0,11.0,23,16,62,35,39,30,39,29,42,69,42,31,25,31,11,43,31,55,1,2,5,116,99,13,39,101,47,1,2,35,MIL
Players,1628975,Jevon Carter,Jevon,1610612749,MIL,26.0,1,0,1,0.0,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,106,105,21,105,132,75,93,75,42,69,42,42,45,42,38,84,88,55,40,28,28,1,1,57,83,52,104,37,2,104,MIL
Players,203114,Khris Middleton,Khris,1610612749,MIL,30.0,1,1,0,1.0,4.6466666666666665,0,0,0.0,0,0,0.0,1,1,1.0,0,1,1,0,0,0,0,0,0,1,1,6,2.2,0,0,2.0,106,63,1,1,98,75,93,75,42,69,42,31,42,1,38,43,53,55,40,28,28,1,1,32,79,25,91,37,2,88,MIL
Players,1626171,Bobby Portis,Bobby,1610612749,MIL,27.0,3,3,0,1.0,6.355,1,3,0.333,0,0,0.0,0,0,0.0,3,2,5,2,0,0,0,0,1,0,2,11,11.0,2,0,9.0,57,16,1,1,85,48,46,58,42,69,42,42,45,42,4,21,8,12,40,28,28,1,60,57,62,8,40,10,2,44,MIL
Players,202083,Wesley Matthews,Wesley,1610612749,MIL,35.0,5,3,2,0.6,16.013333333333332,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,0,1,0,0,0,1,0,0,0,2.6,0,0,3.0,23,16,62,35,29,75,93,75,42,69,42,42,45,42,11,21,20,55,8,28,28,1,60,57,83,52,88,37,2,80,MIL
Players,201572,Brook Lopez,Brook,1610612749,MIL,34.0,4,2,2,0.5,11.901666666666667,4,6,0.667,0,1,0.0,2,3,0.667,1,1,2,0,0,0,1,1,1,3,10,-1,15.4,1,0,14.0,41,40,62,51,40,9,26,21,42,41,42,22,19,28,11,43,31,55,40,28,5,116,60,13,18,69,24,19,2,24,MIL
Players,201950,Jrue Holiday,Jrue,1610612749,MIL,32.0,5,3,2,0.6,16.253333333333334,4,13,0.308,1,5,0.2,2,2,1.0,1,4,5,2,0,1,1,2,3,1,11,3,26.0,0,0,23.0,23,16,62,35,27,9,4,66,13,9,37,22,25,1,11,7,8,12,40,2,5,130,118,32,14,35,6,37,2,8,MIL
Players,201588,George Hill,George,1610612749,MIL,36.0,2,1,1,0.5,1.16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0.0,80,63,21,51,111,75,93,75,42,69,42,42,45,42,38,84,88,55,40,28,28,1,1,57,83,87,104,37,2,104,MIL
Players,1628960,Grayson Allen,Grayson,1610612749,MIL,26.0,2,1,1,0.5,0.295,0,0,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,0,0,1,1,4,2.2,0,0,2.0,80,63,21,51,119,75,93,75,42,69,42,31,25,31,11,84,53,55,40,28,28,1,1,32,79,33,91,37,2,88,MIL
