group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
Players,1629109,Gary Clark,Gary,1610612740,NOP,27.0,5,4,1,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,343,275,38,45,476,381,333,326,141,252,158,305,241,317,279,250,232,98,334,267,364,419,364,NOP
Players,1629637,Jaxson Hayes,Jaxson,1610612740,NOP,22.0,8,4,4,0.5,3.2,1.0,0.0,0.667,0.333,0.0,0.0,0.333,0.0,0.333,1.0,0.0,0.0,0.0,1.0,0.0,2,2,1.0,293,275,177,206,152,1,333,80,10,252,158,85,241,206,1,250,232,98,1,267,256,335,1,NOP
Players,203468,CJ McCollum,CJ,1610612740,NOP,30.0,24,10,14,0.417,2.8,0.806,0.194,0.75,0.188,0.094,0.094,0.156,0.313,0.563,0.25,0.75,1.0,0.0,0.308,0.692,13,31,0.419,128,156,401,318,221,119,300,67,38,235,99,254,49,107,230,85,1,98,295,67,88,88,204,NOP
Players,1626204,Larry Nance Jr.,Larry,1610612740,NOP,29.0,13,7,6,0.538,1.4,0.75,0.25,0.75,0.0,0.0,0.0,0.25,0.25,0.75,0.667,0.333,0.0,0.0,0.667,0.333,3,4,0.75,235,211,239,193,398,136,272,67,141,252,158,165,63,57,114,195,232,98,174,176,228,290,44,NOP
Players,1630230,Naji Marshall,Naji,1610612740,NOP,24.0,7,3,4,0.429,1.3,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,305,304,177,305,409,244,153,326,141,252,158,1,241,317,279,250,232,98,334,267,364,335,364,NOP
Players,1627742,Brandon Ingram,Brandon,1610612740,NOP,24.0,20,11,9,0.55,3.9,0.78,0.22,0.51,0.314,0.176,0.059,0.314,0.039,0.196,0.462,0.538,0.667,0.333,0.5,0.5,16,41,0.39,171,136,298,183,56,125,294,163,13,211,126,116,237,277,175,150,186,57,222,116,74,62,232,NOP
Players,202066,Garrett Temple,Garrett,1610612740,NOP,36.0,15,8,7,0.533,1.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,3,0.667,214,200,255,195,397,381,1,326,141,1,158,305,241,317,279,250,1,98,1,267,256,311,59,NOP
Players,202685,Jonas Valančiūnas,Jonas,1610612740,NOP,30.0,28,13,15,0.464,3.5,0.963,0.037,0.654,0.038,0.058,0.038,0.288,0.038,0.615,0.588,0.412,1.0,0.0,0.611,0.389,18,27,0.667,79,97,420,276,100,87,332,106,131,246,144,139,238,87,142,184,1,98,199,165,56,100,59,NOP
Players,1627820,Tyrone Wallace,Tyrone,1610612740,NOP,28.0,1,1,0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,438,375,1,1,474,381,333,326,141,252,158,305,241,317,279,250,232,98,334,267,364,419,364,NOP
Players,1626195,Willy Hernangomez,Willy,1610612740,NOP,28.0,4,1,3,0.25,2.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,369,375,139,421,268,1,333,326,141,252,158,305,241,317,279,250,232,98,334,267,364,335,364,NOP
Players,203503,Tony Snell,Tony,1610612740,NOP,30.0,4,0,4,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,369,448,177,448,295,381,333,326,141,252,158,305,241,317,279,250,232,98,334,267,364,419,364,NOP
Players,1628984,Devonte' Graham,Devonte',1610612740,NOP,27.0,26,10,16,0.385,3.1,0.216,0.784,0.118,0.039,0.588,0.0,0.294,0.078,0.078,0.333,0.667,0.7,0.3,0.615,0.385,13,37,0.351,101,156,438,349,162,358,61,316,130,69,158,130,210,312,204,106,184,68,196,166,88,72,262,NOP
Players,1630529,Herbert Jones,Herbert,1610612740,NOP,23.0,28,14,14,0.5,3.4,0.885,0.115,0.609,0.0,0.065,0.217,0.326,0.217,0.609,0.429,0.571,1.0,0.0,0.467,0.533,15,26,0.577,79,82,401,206,120,97,322,118,141,241,41,106,84,92,181,142,1,98,253,111,79,107,87,NOP
Players,1630631,Jose Alvarado,Jose,1610612740,NOP,24.0,5,1,4,0.2,2.5,0.75,0.25,0.667,0.0,0.0,0.333,0.333,0.0,0.667,0.0,1.0,0.0,0.0,0.0,1.0,2,4,0.5,343,375,177,429,272,136,272,80,141,252,21,85,241,68,279,1,232,98,334,1,256,290,116,NOP
Players,1630530,Trey Murphy III,Trey,1610612740,NOP,22.0,11,4,7,0.364,1.9,0.25,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,254,275,255,364,353,347,64,326,141,252,158,305,241,317,279,250,232,98,334,267,364,290,364,NOP
