GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,27.0,12,8,4,0.667,35.91,0.0,5.0,2.0,12.0,10.0,7.0,2.0,22.1,1.0,1.0,6.0,4.0,26.0,1,1,114,21,7,38,21,20,23,57,61,64,89,23,108,94,43,62
Players,201143,Al Horford,Al,1610612738,BOS,37.0,11,5,6,0.455,39.306666666666665,0.0,6.4,0.0,3.7,13.7,13.7,2.7,20.1,3.7,0.0,6.4,0.9,33.2,4,11,128,68,2,38,15,23,54,82,81,67,98,6,1,99,66,49
Players,203952,Andrew Wiggins,Andrew,1610612744,GSW,28.0,6,2,4,0.333,24.881666666666668,0.0,0.0,0.0,5.8,13.0,18.8,10.1,28.9,2.9,0.0,2.9,0.0,32.6,22,37,114,76,20,38,37,23,39,80,100,101,61,9,1,66,67,51
Players,203076,Anthony Davis,Anthony,1610612747,LAL,30.0,7,4,3,0.571,31.211666666666662,5.8,3.5,0.0,4.6,13.8,1.2,6.9,23.1,2.3,0.0,3.5,4.6,36.8,17,14,98,43,10,27,30,23,48,84,47,83,80,12,1,72,38,41
Players,1630162,Anthony Edwards,Anthony,1610612750,MIN,21.0,4,1,3,0.25,12.913333333333334,0.0,5.6,0.0,16.7,11.2,19.5,5.6,55.8,2.8,2.8,2.8,2.8,55.2,38,66,98,88,42,38,19,23,10,61,101,76,11,10,122,63,52,11
Players,1630559,Austin Reaves,Austin,1610612747,LAL,25.0,7,4,3,0.571,31.211666666666662,0.0,2.3,2.3,9.2,13.8,1.2,6.9,23.1,0.0,0.0,8.1,1.2,28.1,17,14,98,43,10,38,32,19,25,84,47,83,80,26,1,113,64,57
Players,203085,Austin Rivers,Austin,1610612750,MIN,30.0,2,1,1,0.5,0.0366666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,66,14,47,128,38,37,23,57,1,1,1,115,26,1,1,67,108
Players,1628389,Bam Adebayo,Bam,1610612748,MIA,25.0,11,7,4,0.636,36.78833333333333,2.0,5.9,0.0,11.7,8.8,12.7,0.0,27.4,1.0,0.0,6.8,4.9,38.5,4,4,114,32,4,36,16,23,24,49,76,1,69,24,1,102,36,33
Players,203992,Bogdan Bogdanović,Bogdan,1610612737,ATL,30.0,2,1,1,0.5,3.6,0.0,0.0,0.0,0.0,0.0,20.0,0.0,60.0,0.0,0.0,10.0,0.0,12.0,75,66,14,47,105,38,37,23,57,1,105,1,5,26,1,119,67,93
Players,1630538,Bones Hyland,Bones,1610612746,LAC,22.0,1,0,1,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,92,14,92,116,38,37,23,57,1,1,1,115,26,1,1,67,108
