player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
1629012,Collin Sexton,Collin,1610612762,UTA,24.0,20,8,12,0.4,47.1,12.9,18.3,0.706,1.1,3.2,0.333,5.4,8.6,0.625,1.1,2.2,3.2,4.3,3.2,1.1,1.1,2.2,6.5,6.5,32.3,0.0,45.8,1,0,45.2,181,204,140,316,236,27,100,51,217,265,131,144,128,217,233,350,358,120,85,167,127,40,149,124,50,207,122,148,27,110
1627745,Damian Jones,Damian,1610612762,UTA,28.0,3,1,2,0.333,54.2,0.0,0.0,0.0,0.0,0.0,0.0,16.7,16.7,1.0,0.0,16.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,8.3,16.7,-8.3,36.7,0,0,33.3,368,372,338,360,33,361,396,361,257,325,257,13,32,1,288,7,37,297,281,250,204,210,374,69,205,279,206,205,27,217
203903,Jordan Clarkson,Jordan,1610612762,UTA,31.0,38,17,21,0.447,50.0,14.2,30.9,0.46,5.7,15.6,0.364,8.5,10.3,0.828,1.4,5.0,6.4,6.4,4.3,0.0,0.0,1.8,3.9,7.4,42.6,-5.0,55.5,1,0,61.0,28,61,21,271,99,21,20,183,20,21,120,80,94,122,207,236,253,64,49,250,204,68,273,89,20,257,64,148,27,35
1629308,Juan Toscano-Anderson,Juan,1610612762,UTA,30.0,11,7,4,0.636,40.7,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,2.5,5.0,7.5,5.0,0.0,0.0,0.0,0.0,12.5,5.0,15.0,42.5,31.5,0,0,27.5,258,223,287,92,394,229,368,1,257,325,257,155,205,1,147,234,222,90,281,250,204,210,26,169,236,31,261,205,27,292
203482,Kelly Olynyk,Kelly,1610612762,UTA,32.0,38,14,24,0.368,49.2,5.8,13.0,0.444,3.2,5.1,0.643,4.3,5.8,0.75,3.2,8.3,11.6,5.4,1.8,1.1,0.7,1.1,7.6,5.4,19.1,-5.8,44.7,4,0,43.0,28,108,3,347,127,183,183,192,81,201,29,176,186,156,108,113,104,83,182,166,164,126,104,153,171,261,128,76,27,131
1627739,Kris Dunn,Kris,1610612762,UTA,29.0,8,3,5,0.375,46.6,6.8,9.5,0.714,1.4,1.4,1.0,4.1,5.4,0.75,0.0,8.1,8.1,6.8,0.0,0.0,0.0,1.4,8.1,5.4,18.9,18.9,38.8,3,0,35.1,290,304,262,339,258,147,275,48,195,312,1,180,192,156,288,118,198,59,281,250,204,99,92,154,174,90,179,94,27,194
1628374,Lauri Markkanen,Lauri,1610612762,UTA,26.0,42,19,23,0.452,48.4,8.8,20.4,0.431,3.5,8.5,0.407,13.2,15.4,0.857,3.5,11.3,14.8,1.9,2.5,0.9,1.3,1.9,4.4,8.8,34.3,5.0,58.9,18,0,58.8,10,40,6,268,173,88,78,209,67,107,96,32,44,102,95,41,56,238,130,183,114,58,243,60,42,174,59,14,27,44
1629677,Luka Samanic,Luka,1610612762,UTA,23.0,2,1,1,0.5,70.1,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,-50.0,0.0,0,0,0.0,394,372,381,188,4,361,11,361,257,3,257,295,305,295,288,373,388,297,281,250,204,210,13,329,382,397,413,205,27,413
1630695,Micah Potter,Micah,1610612762,UTA,25.0,1,1,0,1.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,1,0,0.0,425,372,435,1,438,361,396,361,257,325,257,295,305,295,288,373,388,297,281,250,204,210,374,329,382,1,413,148,27,413
1630534,Ochai Agbaji,Ochai,1610612762,UTA,23.0,20,11,9,0.55,41.3,8.3,17.5,0.476,3.3,8.3,0.4,5.0,5.0,1.0,0.8,1.7,2.5,0.8,1.7,1.7,0.0,0.8,2.5,2.5,25.0,40.8,32.6,0,0,35.0,181,158,185,152,386,98,108,168,73,111,97,155,205,1,259,363,375,283,189,105,204,153,343,263,98,34,252,205,27,197
200752,Rudy Gay,Rudy,1610612762,UTA,36.0,3,2,1,0.667,27.8,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,60.0,0,0,40.0,368,326,381,53,431,361,82,361,257,325,257,295,305,295,288,373,388,297,281,250,2,210,374,329,382,86,56,205,27,148
1631323,Simone Fontecchio,Simone,1610612762,UTA,27.0,9,3,6,0.333,45.7,3.8,17.3,0.222,1.9,11.5,0.167,0.0,0.0,0.0,1.9,1.9,3.8,5.8,3.8,0.0,0.0,3.8,9.6,0.0,9.6,15.4,19.0,0,0,21.2,277,304,234,360,295,284,114,346,154,53,233,295,305,295,179,359,342,72,59,250,204,12,55,329,322,103,375,205,27,362
1629659,Talen Horton-Tucker,Talen,1610612762,UTA,22.0,17,6,11,0.353,46.5,6.4,17.0,0.375,0.7,5.7,0.125,6.4,8.5,0.75,0.7,7.1,7.8,4.3,7.1,0.7,1.4,1.4,7.8,4.3,19.9,2.8,34.9,0,0,36.9,203,239,153,356,262,165,117,258,242,177,252,118,130,156,270,158,210,123,9,206,98,95,100,191,160,189,222,205,27,177
