group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
Players,1641710,Anthony Black,Anthony,1610612753,ORL,20.0,13,7,6,0.538,11.323333333333334,1,2,0.5,0,0,0.0,2,4,0.5,1,0,1,0,0,0,0,0,0,1,4,5,5.2,0,0,5.0,229,200,218,171,326,290,330,103,222,324,222,199,181,223,196,355,334,308,270,254,218,1,1,252,293,147,351,215,22,348
Players,1631216,Caleb Houstan,Caleb,1610612753,ORL,21.0,3,1,2,0.333,20.71333333333333,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,1,1,0,0,2,0,3,12,5.0,0,0,6.0,364,359,98,353,270,290,299,278,159,196,109,272,280,272,298,355,379,308,187,139,218,1,159,310,311,97,354,215,22,331
Players,1629643,Chuma Okeke,Chuma,1610612753,ORL,25.0,6,3,3,0.5,35.12,1,3,0.333,1,2,0.5,0,0,0.0,1,6,7,3,0,0,0,0,3,0,3,11,15.9,0,0,14.0,308,288,132,200,214,290,299,278,159,226,27,272,280,272,196,156,181,159,270,254,218,1,199,310,311,101,266,215,22,263
Players,1630175,Cole Anthony,Cole,1610612753,ORL,24.0,23,14,9,0.609,62.98,11,30,0.367,0,9,0.0,1,1,1.0,6,10,16,7,3,1,1,1,3,1,23,3,55.7,2,0,50.0,132,85,288,118,150,94,74,255,222,113,222,246,267,1,44,86,73,75,106,139,126,257,199,252,143,160,134,118,22,138
Players,1630532,Franz Wagner,Franz,1610612753,ORL,22.0,28,18,10,0.643,85.695,15,41,0.366,1,17,0.059,19,21,0.905,3,7,10,8,4,2,0,2,8,17,50,11,76.0,0,0,73.0,87,28,303,95,101,64,47,258,159,59,221,36,40,79,107,145,144,62,79,84,218,341,348,35,60,101,88,215,22,88
Players,203914,Gary Harris,Gary,1610612753,ORL,29.0,14,10,4,0.714,20.26333333333333,2,4,0.5,1,3,0.333,3,3,1.0,0,3,3,0,0,1,1,0,3,2,8,7,17.6,0,0,16.0,215,153,164,56,275,252,273,103,159,196,109,173,213,1,298,231,269,308,270,139,126,1,199,207,230,130,255,215,22,252
Players,1629048,Goga Bitadze,Goga,1610612753,ORL,24.0,14,9,5,0.643,43.555,4,6,0.667,0,1,0.0,4,7,0.571,7,9,16,3,0,0,4,0,5,4,12,30,47.7,3,0,39.0,215,167,196,95,186,191,235,37,222,268,222,156,138,217,37,104,73,159,270,254,19,1,273,155,197,49,152,95,22,168
Players,1630591,Jalen Suggs,Jalen,1610612753,ORL,23.0,30,18,12,0.6,93.46333333333334,10,25,0.4,8,18,0.444,9,11,0.818,5,10,15,4,1,4,3,1,22,10,37,-2,81.0,0,0,78.0,60,28,337,121,81,111,106,222,19,54,57,89,94,126,64,86,85,133,187,22,33,257,465,68,87,243,80,215,22,78
Players,204060,Joe Ingles,Joe,1610612753,ORL,36.0,11,4,7,0.364,11.026666666666667,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,2,0,1,0,0,0,0,0,16,8.4,0,0,6.0,253,261,243,346,330,355,364,355,222,268,222,272,280,272,196,308,294,191,270,139,218,1,1,310,367,81,316,215,22,331
Players,1628371,Jonathan Isaac,Jonathan,1610612753,ORL,26.0,15,10,5,0.667,36.75,4,9,0.444,0,1,0.0,5,6,0.833,8,10,18,1,0,1,1,2,3,4,13,-11,42.1,0,0,36.0,204,153,196,70,208,191,198,178,222,268,222,142,151,113,23,86,55,240,270,139,126,341,199,155,194,352,173,215,22,177
Players,1628365,Markelle Fultz,Markelle,1610612753,ORL,26.0,7,3,4,0.429,20.59,4,7,0.571,0,0,0.0,0,0,0.0,2,2,4,5,2,2,1,0,4,0,8,-8,27.3,0,0,23.0,294,288,164,304,272,191,220,72,222,324,222,272,280,272,144,266,237,115,138,84,126,1,248,310,230,317,218,215,22,221
Players,1629021,Moritz Wagner,Moritz,1610612753,ORL,27.0,16,7,9,0.438,27.94,4,6,0.667,0,0,0.0,0,0,0.0,2,2,4,1,2,1,1,0,6,3,8,-11,18.3,2,0,17.0,196,200,288,301,238,191,235,37,222,324,222,272,280,272,144,266,237,240,138,139,126,1,301,182,230,352,248,118,22,246
Players,1631094,Paolo Banchero,Paolo,1610612753,ORL,21.0,35,21,14,0.6,132.72166666666666,31,82,0.378,8,32,0.25,28,39,0.718,6,13,19,8,15,3,3,2,9,23,98,15,135.8,7,1,145.0,20,15,381,121,16,15,8,249,19,8,169,16,12,184,44,57,46,62,1,47,33,341,373,16,14,85,33,50,9,22
Players,1630243,Trevelin Queen,Trevelin,1610612753,ORL,27.0,3,1,2,0.333,17.226666666666667,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,-11,1.5,0,0,1.0,364,359,98,353,289,355,330,355,222,268,222,272,280,272,298,355,379,240,270,254,218,1,104,310,367,352,398,215,22,400
Players,1628976,Wendell Carter Jr.,Wendell,1610612753,ORL,25.0,14,8,6,0.571,44.24,1,8,0.125,0,1,0.0,7,10,0.7,6,11,17,3,1,2,2,2,6,7,9,8,44.9,4,0,37.0,215,181,218,141,184,290,211,353,222,268,222,109,105,187,44,72,61,159,187,84,61,341,301,105,221,124,167,79,22,172
