group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,20,12,8,0.6,4.4,0.5,1.0,0.526,0.3,0.6,0.417,0.9,1.1,0.81,0.4,0.3,0.7,0.5,0.0,0.1,0.0,0.0,0.2,0.6,2.1,2.1,3.8,2,0,3.6,160,113,192,122,34,120,167,121,57,92,102,36,35,137,45,257,115,61,291,227,208,213,333,59,74,48,86,109,27,89
Players,1631128,Christian Braun,Christian,1610612743,DEN,24.0,32,19,13,0.594,3.8,0.4,0.8,0.462,0.2,0.3,0.545,0.2,0.2,1.0,0.1,0.4,0.5,0.3,0.1,0.2,0.1,0.0,0.4,0.2,1.1,1.5,2.7,4,0,2.5,36,21,90,132,82,189,201,186,114,192,41,233,264,1,184,174,184,131,222,77,151,202,123,252,191,81,162,73,27,166
Players,203967,Dario Šarić,Dario,1610612743,DEN,31.0,2,1,1,0.5,1.3,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.5,-2.5,1.6,0,0,2.5,410,375,395,212,411,120,132,129,11,25,46,307,313,307,302,110,192,337,16,263,208,213,385,74,133,452,294,216,27,167
Players,201599,DeAndre Jordan,DeAndre,1610612743,DEN,36.0,3,1,2,0.333,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,0.4,2,0,0.3,380,375,352,372,421,369,419,369,265,347,265,307,313,307,302,215,301,337,291,263,208,213,385,339,392,410,431,109,27,430
Players,1641816,Hunter Tyson,Hunter,1610612743,DEN,24.0,1,0,1,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0,0,0.0,439,450,395,450,248,369,419,369,265,347,265,307,313,307,302,382,400,337,291,263,208,213,385,339,392,489,447,216,27,447
Players,1629618,Jalen Pickett,Jalen,1610612743,DEN,25.0,3,1,2,0.333,2.9,0.3,0.7,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.3,0.0,0.7,1.7,0.5,1,1,1.0,380,375,352,372,208,200,237,129,265,193,265,307,313,307,302,382,400,90,12,263,208,213,187,339,285,70,419,140,13,353
Players,1627750,Jamal Murray,Jamal,1610612743,DEN,28.0,29,18,11,0.621,3.5,0.8,1.4,0.548,0.2,0.5,0.429,0.8,1.0,0.828,0.1,0.4,0.4,0.8,0.1,0.2,0.1,0.1,0.1,0.5,2.6,2.1,5.2,3,0,4.8,63,31,128,109,120,58,81,109,93,133,94,37,37,129,249,193,233,15,170,52,64,139,366,85,44,43,29,90,27,33
Players,1631124,Julian Strawther,Julian,1610612743,DEN,23.0,9,5,4,0.556,1.5,0.4,0.8,0.571,0.0,0.2,0.0,0.6,0.7,0.833,0.1,0.2,0.3,0.1,0.0,0.1,0.0,0.0,0.1,0.3,1.4,0.9,2.3,0,0,2.1,279,243,286,169,392,153,212,95,265,269,265,76,82,124,203,291,301,269,291,133,208,213,356,137,143,139,197,216,27,210
Players,1629008,Michael Porter Jr.,Michael,1610612743,DEN,26.0,33,19,14,0.576,3.3,0.5,0.8,0.593,0.2,0.3,0.545,0.1,0.1,0.667,0.0,0.4,0.5,0.2,0.1,0.1,0.0,0.0,0.3,0.1,1.2,2.1,2.2,8,0,2.2,30,21,67,148,143,141,199,92,117,193,41,292,300,208,295,169,226,208,259,210,208,205,238,329,176,44,220,35,27,204
Players,203999,Nikola Jokić,Nikola,1610612743,DEN,30.0,33,19,14,0.576,4.2,1.5,2.7,0.562,0.2,0.4,0.429,1.0,1.4,0.723,0.5,1.0,1.5,1.1,0.5,0.1,0.0,0.2,0.5,1.2,4.2,1.8,7.7,29,18,7.3,30,21,67,148,44,6,14,104,117,153,94,17,12,192,33,11,18,3,19,119,202,40,108,3,7,65,5,2,1,6
