player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
1641764,Brandin Podziemski,Brandin,1610612744,GSW,22.0,4,3,1,0.75,10.021666666666668,0,2,0.0,0,2,0.0,0,0,0.0,1,1,2,2,0,0,1,0,0,0,0,3,8.4,0,0,6.0,39,29,9,19,50,70,59,70,47,36,47,49,51,49,17,41,40,14,45,26,9,1,1,60,80,31,47,40,5,53
1627741,Buddy Hield,Buddy,1610612744,GSW,32.0,3,2,1,0.667,9.355,1,5,0.2,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,0,0,1,3,0,3.0,0,0,4.0,56,38,9,27,54,49,30,65,19,20,30,49,51,49,43,69,77,49,45,26,29,1,1,40,50,46,75,40,5,65
203110,Draymond Green,Draymond,1610612744,GSW,35.0,4,3,1,0.75,6.683333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,1,0,1,0,2,1,0,10,7.1,0,0,6.0,39,29,9,19,67,70,92,70,47,70,47,49,51,49,43,23,31,26,15,26,9,1,98,40,80,23,52,40,5,53
1627780,Gary Payton II,Gary,1610612744,GSW,32.0,3,2,1,0.667,2.05,3,3,1.0,1,1,1.0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,7,5,8.2,0,0,9.0,56,38,9,27,104,21,49,1,19,50,1,49,51,49,17,69,48,49,45,26,29,1,56,60,29,27,48,40,5,44
202710,Jimmy Butler III,Jimmy,1610612744,GSW,35.0,3,2,1,0.667,8.688333333333333,2,5,0.4,0,0,0.0,5,5,1.0,1,2,3,0,0,0,0,1,0,3,9,-2,12.6,0,0,12.0,56,38,9,27,56,31,30,47,47,70,47,11,14,1,17,28,31,49,45,26,29,102,1,13,25,69,37,40,5,35
1630228,Jonathan Kuminga,Jonathan,1610612744,GSW,22.0,1,0,1,0.0,3.2883333333333336,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,-9,0.0,0,0,0.0,100,84,9,84,93,70,59,70,47,70,47,49,51,49,43,69,77,49,45,26,29,102,1,60,80,110,107,40,5,107
1626172,Kevon Looney,Kevon,1610612744,GSW,29.0,2,1,1,0.5,3.8666666666666663,0,0,0.0,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,0,3,1,2,-7,3.2,0,0,3.0,76,53,9,44,90,70,92,70,47,70,47,22,28,1,17,69,48,49,45,26,29,1,115,40,66,98,72,40,5,76
1630541,Moses Moody,Moses,1610612744,GSW,23.0,1,1,0,1.0,0.25,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,3,3.0,0,0,4.0,100,53,1,1,123,49,77,1,19,50,1,49,51,49,43,69,77,49,45,26,29,1,1,60,50,31,75,40,5,65
201939,Stephen Curry,Stephen,1610612744,GSW,37.0,3,3,0,1.0,6.316666666666666,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,3,0,0,0,0,0,0,0,12,4.5,0,0,3.0,56,29,1,1,76,70,49,70,47,36,47,49,51,49,43,69,77,9,45,26,29,1,1,60,80,20,63,40,5,76
1631218,Trayce Jackson-Davis,Trayce,1610612744,GSW,25.0,1,0,1,0.0,0.0883333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100,84,9,84,124,70,92,70,47,70,47,49,51,49,43,69,77,49,45,26,29,1,1,60,80,46,107,40,5,107
