group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
,1630162,Anthony Edwards,,1610612750,MIN,23.0,42,19,23,0.452,49.2,15.0,35.3,0.426,6.4,19.9,0.323,11.7,14.1,0.826,1.2,12.6,13.8,4.0,4.6,1.2,1.2,0.6,4.6,9.8,48.2,-15.6,73.5,5,0,77.3,2,21,4,306,129,19,11,216,15,12,172,42,52,131,244,37,78,158,62,186,127,183,246,45,10,343,23,60,27,10
,1630538,Bones Hyland,,1610612750,MIN,24.0,2,0,2,0.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,25.0,0,0,25.0,410,450,352,450,464,369,419,369,265,347,265,3,4,1,302,382,400,337,291,263,208,213,385,339,118,9,366,216,27,347
,1628978,Donte DiVincenzo,,1610612750,MIN,28.0,24,10,14,0.417,45.2,5.5,14.8,0.368,4.7,12.5,0.375,3.1,6.3,0.5,1.6,7.0,8.6,6.3,1.6,1.6,0.8,0.0,8.6,3.9,18.8,-21.1,43.9,1,0,43.0,114,154,67,330,317,222,173,264,46,53,123,221,168,259,215,158,192,76,222,149,171,213,72,207,199,376,164,140,27,151
,1630183,Jaden McDaniels,,1610612750,MIN,24.0,45,20,25,0.444,49.8,5.8,14.4,0.404,1.2,6.4,0.19,2.1,3.1,0.7,2.1,6.1,8.3,2.1,1.2,0.6,0.0,0.6,7.3,2.1,15.0,-15.0,28.7,7,0,27.8,1,12,2,309,105,212,183,232,226,181,244,258,262,201,181,200,208,268,245,244,208,184,120,288,253,337,322,44,27,321
,1641740,Jaylen Clark,,1610612750,MIN,23.0,7,3,4,0.429,44.6,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8.3,33.3,0.0,0.0,16.7,0.0,8.3,8.3,0.0,0.0,41.7,90.0,0,0,66.7,309,304,286,324,343,369,136,369,265,347,265,307,313,307,2,122,6,337,291,5,208,4,76,339,392,46,8,216,27,28
,204060,Joe Ingles,,1610612750,MIN,37.0,7,5,2,0.714,29.2,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,12.5,0,0,8.3,309,243,352,58,461,369,339,369,265,347,265,307,313,307,302,382,400,42,291,263,208,213,385,339,392,21,426,216,27,438
,203944,Julius Randle,,1610612750,MIN,30.0,34,17,17,0.5,50.0,5.6,12.0,0.467,0.8,2.4,0.333,6.8,8.4,0.81,2.8,5.2,8.0,4.0,3.6,1.6,0.4,0.4,2.8,5.2,18.8,-11.6,36.8,8,0,35.6,21,38,26,212,99,216,244,180,253,317,138,111,123,137,148,246,217,151,94,144,202,206,338,152,198,323,239,35,27,232
,1630568,Luka Garza,,1610612750,MIN,26.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,439,375,465,1,490,369,419,369,265,347,265,307,313,307,302,382,400,337,291,263,208,213,385,339,392,217,447,216,27,447
,201144,Mike Conley,,1610612750,MIN,37.0,28,14,14,0.5,48.0,2.2,8.9,0.25,1.7,5.6,0.3,3.3,3.3,1.0,2.2,2.2,4.4,6.7,2.2,1.7,0.0,0.0,5.6,3.9,9.4,-10.6,27.6,0,0,25.6,76,77,67,212,173,348,328,332,194,214,179,215,254,1,179,362,351,69,177,137,208,213,193,209,336,318,339,216,27,345
,1629675,Naz Reid,,1610612750,MIN,25.0,32,11,21,0.344,46.0,7.0,19.0,0.37,1.4,7.0,0.2,7.0,9.2,0.769,3.5,4.9,8.5,0.7,3.5,1.4,2.1,0.7,5.6,4.9,22.5,-35.2,40.8,7,0,40.1,36,135,6,371,274,159,110,262,215,156,233,104,106,159,119,266,196,333,100,168,74,174,190,162,141,408,196,44,27,178
