group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
,1630574,Ariel Hukporti,,1610612752,NYK,23.0,2,1,1,0.5,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,9.1,18.2,0.0,9.1,0.0,0.0,0.0,9.1,0.0,0.0,-36.4,12.7,0,0,18.2,410,375,395,212,434,369,419,369,265,347,265,307,313,307,20,94,35,337,15,263,208,213,60,339,392,411,423,216,27,397
,1626166,Cameron Payne,,1610612752,NYK,30.0,7,5,2,0.714,42.4,0.0,21.7,0.0,0.0,13.0,0.0,4.3,8.7,0.5,0.0,0.0,0.0,4.3,0.0,8.7,0.0,0.0,4.3,8.7,4.3,17.4,37.0,0,0,26.1,309,243,352,58,399,369,82,369,265,45,265,178,119,259,302,382,400,139,291,9,208,213,253,65,385,123,234,216,27,339
,1626153,Delon Wright,,1610612752,NYK,33.0,4,3,1,0.75,59.1,6.7,13.3,0.5,0.0,6.7,0.0,0.0,0.0,0.0,6.7,0.0,6.7,0.0,0.0,0.0,13.3,0.0,0.0,0.0,13.3,-53.3,61.3,0,0,46.7,359,304,395,45,9,173,208,129,265,168,265,307,313,307,46,382,272,337,291,263,1,213,385,339,284,442,54,216,27,120
,1628973,Jalen Brunson,,1610612752,NYK,28.0,28,17,11,0.607,49.8,19.1,37.1,0.515,3.7,12.5,0.294,15.4,18.4,0.84,0.0,4.0,4.0,10.3,2.9,1.1,0.0,1.1,4.0,13.6,57.4,8.1,78.0,8,0,77.6,76,38,128,120,108,4,9,126,80,53,184,15,21,121,302,297,364,18,137,198,208,132,269,16,3,173,16,35,27,9
,1628404,Josh Hart,,1610612752,NYK,30.0,28,17,11,0.607,50.2,5.3,13.8,0.385,0.4,3.9,0.091,3.9,3.9,1.0,3.9,8.5,12.4,4.3,2.5,1.8,0.4,1.1,7.8,3.9,14.9,8.5,40.1,12,1,36.2,76,38,128,120,85,235,199,247,264,277,263,192,232,1,105,117,97,143,167,126,204,140,100,208,254,171,203,24,13,222
,1626157,Karl-Anthony Towns,,1610612752,NYK,29.0,26,15,11,0.577,51.3,7.5,13.8,0.543,2.0,5.5,0.357,1.2,1.6,0.75,2.0,10.3,12.3,3.2,1.6,2.0,2.0,0.4,8.3,2.4,18.2,5.5,47.9,21,0,43.5,91,66,128,147,57,140,198,114,172,219,133,289,300,163,190,73,100,209,220,111,79,207,79,278,207,184,144,7,27,145
,1641755,Kevin McCullar Jr.,,1610612752,NYK,24.0,1,1,0,1.0,54.1,0.0,16.7,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,16.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,50.0,20.0,0,0,16.7,439,375,465,1,27,369,136,369,265,19,265,307,313,307,302,13,45,337,291,263,208,213,385,4,392,32,396,216,27,406
,1629013,Landry Shamet,,1610612752,NYK,28.0,3,3,0,1.0,65.8,0.0,16.7,0.0,0.0,16.7,0.0,33.3,33.3,1.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,16.7,33.3,50.0,83.3,0,0,66.7,380,304,465,1,7,369,136,369,265,19,265,2,2,1,302,382,400,337,291,5,208,213,385,4,47,32,13,216,27,28
,1630699,MarJon Beauchamp,,1610612752,NYK,24.0,1,0,1,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,439,450,395,450,101,369,419,369,265,347,265,307,313,307,302,382,400,337,291,263,208,213,385,339,392,217,447,216,27,447
,1628969,Mikal Bridges,,1610612752,NYK,28.0,30,18,12,0.6,50.1,6.4,11.0,0.581,1.1,2.1,0.5,0.7,1.1,0.667,1.1,3.5,4.6,2.8,1.4,1.1,1.8,0.0,1.1,1.4,14.5,-3.2,31.3,1,0,28.6,54,31,101,122,93,186,267,94,237,324,46,304,308,208,255,323,350,231,236,203,91,213,382,320,261,264,289,140,27,306
