close_def_person_id,player,team_id,team,pos,age,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
201584,Courtney Lee,1610612766,CHA,G,30.0,7,7,1.0,47,111,0.423,0.457,-0.034
1626163,Frank Kaminsky,1610612766,CHA,C,23.0,7,7,1.0,37,80,0.463,0.468,-0.006
202689,Kemba Walker,1610612766,CHA,G,26.0,7,7,1.0,33,76,0.434,0.459,-0.025
202391,Jeremy Lin,1610612766,CHA,G,27.0,7,7,1.0,33,72,0.458,0.456,0.003
101107,Marvin Williams,1610612766,CHA,F,30.0,7,7,1.0,30,60,0.5,0.472,0.028
203469,Cody Zeller,1610612766,CHA,C-F,23.0,7,7,1.0,29,52,0.558,0.48,0.078
2744,Al Jefferson,1610612766,CHA,C,31.0,7,7,1.0,20,45,0.444,0.505,-0.061
201587,Nicolas Batum,1610612766,CHA,G-F,27.0,5,5,1.0,20,29,0.69,0.447,0.243
201150,Spencer Hawes,1610612766,CHA,F-C,28.0,5,5,1.0,9,26,0.346,0.464,-0.118
203087,Jeremy Lamb,1610612766,CHA,G,24.0,3,3,1.0,3,6,0.5,0.425,0.075
203584,Troy Daniels,1610612766,CHA,G,24.0,2,2,1.0,2,5,0.4,0.42,-0.02
203268,Jorge Gutierrez,1610612766,CHA,G,27.0,2,2,1.0,0,3,0.0,0.467,-0.467
201946,Tyler Hansbrough,1610612766,CHA,F,30.0,1,1,1.0,1,2,0.5,0.444,0.057
1626151,Aaron Harrison,1610612766,CHA,G,21.0,1,1,1.0,1,1,1.0,0.484,0.516
