close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_lt_10,fga_lt_10,lt_10_pct,ns_lt_10_pct,plusminus
203999,Nikola Jokić,1610612743,DEN,C,21.0,79,76,0.603,2.9,5.84,0.497,0.553,-0.056
202702,Kenneth Faried,1610612743,DEN,F,26.0,67,66,0.541,3.16,5.39,0.587,0.547,0.04
203994,Jusuf Nurkić,1610612743,DEN,C,21.0,31,31,0.634,2.77,5.03,0.551,0.541,0.01
201589,Darrell Arthur,1610612743,DEN,F,28.0,70,67,0.522,2.44,4.71,0.518,0.549,-0.031
203530,Joffrey Lauvergne,1610612743,DEN,C-F,24.0,58,53,0.588,2.36,4.22,0.559,0.542,0.018
203115,Will Barton,1610612743,DEN,F-G,25.0,82,80,0.426,2.2,3.82,0.575,0.541,0.034
1626144,Emmanuel Mudiay,1610612743,DEN,G,20.0,68,67,0.327,2.21,3.62,0.61,0.539,0.07
201568,Danilo Gallinari,1610612743,DEN,F,27.0,53,48,0.336,1.98,3.25,0.61,0.545,0.065
203914,Gary Harris,1610612743,DEN,G,21.0,76,67,0.311,1.68,2.84,0.593,0.548,0.044
203960,JaKarr Sampson,1610612743,DEN,G-F,23.0,72,65,0.413,1.19,2.33,0.512,0.537,-0.025
2749,Jameer Nelson,1610612743,DEN,G,34.0,39,36,0.278,1.38,2.23,0.621,0.541,0.079
203123,Kostas Papanikolaou,1610612743,DEN,F,25.0,23,17,0.363,1.0,1.96,0.511,0.557,-0.046
1626253,Axel Toupane,1610612743,DEN,G-F,23.0,21,17,0.339,1.05,1.9,0.55,0.541,0.009
201571,D.J. Augustin,1610612743,DEN,G,28.0,62,49,0.326,1.23,1.76,0.697,0.533,0.164
2034,Mike Miller,1610612743,DEN,G-F,36.0,36,28,0.413,0.83,1.64,0.508,0.527,-0.019
203475,Erick Green,1610612743,DEN,G,25.0,6,3,0.429,0.5,1.0,0.5,0.522,-0.022
