close_def_person_id,player,team_id,team,pos,age,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
201599,DeAndre Jordan,1610612746,LAC,C,27.0,77,77,1.0,486,1140,0.426,0.47,-0.044
201145,Jeff Green,1610612746,LAC,F,29.0,80,80,1.0,374,808,0.463,0.447,0.016
101108,Chris Paul,1610612746,LAC,G,31.0,74,74,1.0,333,714,0.466,0.444,0.023
200755,JJ Redick,1610612746,LAC,G,32.0,74,74,1.0,248,643,0.386,0.439,-0.054
202325,Wesley Johnson,1610612746,LAC,F-G,28.0,80,80,1.0,275,615,0.447,0.452,-0.004
201601,Luc Mbah a Moute,1610612746,LAC,F,29.0,66,66,1.0,182,513,0.355,0.451,-0.097
2037,Jamal Crawford,1610612746,LAC,G,36.0,79,79,1.0,207,478,0.433,0.441,-0.008
1718,Paul Pierce,1610612746,LAC,F,38.0,68,68,1.0,206,457,0.451,0.451,0.0
201933,Blake Griffin,1610612746,LAC,F,27.0,35,35,1.0,218,453,0.481,0.462,0.019
203085,Austin Rivers,1610612746,LAC,G,23.0,66,66,1.0,173,443,0.391,0.441,-0.051
202332,Cole Aldrich,1610612746,LAC,C,27.0,58,58,1.0,208,427,0.487,0.46,0.027
203143,Pablo Prigioni,1610612746,LAC,G,39.0,57,57,1.0,129,261,0.494,0.427,0.067
203912,C.J. Wilcox,1610612746,LAC,G,25.0,18,18,1.0,18,56,0.321,0.424,-0.102
201965,Jeff Ayres,1610612746,LAC,F-C,29.0,15,15,1.0,23,43,0.535,0.432,0.103
101236,Chuck Hayes,1610612746,LAC,F-C,33.0,2,2,1.0,8,19,0.421,0.476,-0.054
1626183,Branden Dawson,1610612746,LAC,F,23.0,5,5,1.0,7,10,0.7,0.463,0.237
