close_def_person_id,player,team_id,team,pos,age,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
203944,Julius Randle,1610612747,LAL,F,21.0,81,81,1.0,5.59,11.27,0.496,0.461,0.035
201579,Roy Hibbert,1610612747,LAL,C,29.0,81,81,1.0,5.52,11.16,0.494,0.477,0.017
203903,Jordan Clarkson,1610612747,LAL,G,24.0,79,79,1.0,5.33,10.95,0.487,0.445,0.042
1626156,D'Angelo Russell,1610612747,LAL,G,20.0,79,79,1.0,4.84,10.11,0.478,0.438,0.04
1626148,Anthony Brown,1610612747,LAL,F,23.0,27,27,1.0,3.78,8.59,0.44,0.45,-0.01
101150,Lou Williams,1610612747,LAL,G,29.0,67,67,1.0,3.49,8.49,0.411,0.435,-0.024
101138,Brandon Bass,1610612747,LAL,F,31.0,64,64,1.0,3.72,7.72,0.482,0.461,0.02
977,Kobe Bryant,1610612747,LAL,F-G,37.0,66,66,1.0,3.42,7.53,0.455,0.446,0.008
1626204,Larry Nance Jr.,1610612747,LAL,F,23.0,63,63,1.0,3.19,6.71,0.475,0.462,0.013
203135,Robert Sacre,1610612747,LAL,C,27.0,22,22,1.0,3.23,6.27,0.514,0.483,0.031
204028,Tarik Black,1610612747,LAL,C-F,24.0,38,38,1.0,2.66,6.03,0.441,0.469,-0.028
1626273,Marcelo Huertas,1610612747,LAL,G,33.0,51,51,1.0,2.61,5.76,0.452,0.431,0.022
1897,Metta World Peace,1610612747,LAL,F,36.0,34,34,1.0,2.47,5.56,0.444,0.447,-0.003
201156,Nick Young,1610612747,LAL,F-G,31.0,54,54,1.0,2.74,5.35,0.512,0.443,0.069
203527,Ryan Kelly,1610612747,LAL,F,25.0,36,36,1.0,2.25,5.14,0.438,0.452,-0.015
