close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
201143,Al Horford,1610612738,BOS,C,31.0,68,68,0.758,383,753,0.509,0.507,0.002
101161,Amir Johnson,1610612738,BOS,F,30.0,80,79,0.87,325,670,0.485,0.513,-0.028
203482,Kelly Olynyk,1610612738,BOS,C-F,26.0,75,74,0.728,299,566,0.528,0.501,0.028
203109,Jae Crowder,1610612738,BOS,F,26.0,72,72,0.579,202,422,0.479,0.502,-0.023
202738,Isaiah Thomas,1610612738,BOS,G,28.0,76,76,0.625,220,418,0.526,0.49,0.036
203935,Marcus Smart,1610612738,BOS,G,23.0,79,79,0.576,207,415,0.499,0.496,0.003
202340,Avery Bradley,1610612738,BOS,G,26.0,55,55,0.628,178,344,0.517,0.493,0.024
201973,Jonas Jerebko,1610612738,BOS,F,30.0,78,77,0.713,178,335,0.531,0.502,0.029
1627759,Jaylen Brown,1610612738,BOS,F,20.0,77,72,0.61,115,252,0.456,0.502,-0.046
1626179,Terry Rozier,1610612738,BOS,G,23.0,72,68,0.659,120,244,0.492,0.48,0.012
203092,Tyler Zeller,1610612738,BOS,C,27.0,47,46,0.852,97,213,0.455,0.508,-0.053
101123,Gerald Green,1610612738,BOS,F,31.0,43,39,0.552,57,100,0.57,0.497,0.073
1626175,Jordan Mickey,1610612738,BOS,F,22.0,17,14,0.742,31,49,0.633,0.499,0.134
203923,James Young,1610612738,BOS,G-F,21.0,23,18,0.507,19,36,0.528,0.5,0.028
1627743,Demetrius Jackson,1610612738,BOS,G,22.0,3,2,0.6,1,3,0.333,0.5,-0.167
