close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_lt_06,fga_lt_06,lt_06_pct,ns_lt_06_pct,plusminus
203110,Draymond Green,1610612744,GSW,F,28.0,70,69,0.386,222,400,0.555,0.611,-0.056
201142,Kevin Durant,1610612744,GSW,F,29.0,68,68,0.352,172,303,0.568,0.611,-0.043
202691,Klay Thompson,1610612744,GSW,G,28.0,73,71,0.354,178,293,0.608,0.595,0.013
2585,Zaza Pachulia,1610612744,GSW,C,34.0,69,67,0.459,167,280,0.596,0.613,-0.017
1628395,Jordan Bell,1610612744,GSW,C-F,23.0,56,53,0.474,113,231,0.489,0.606,-0.117
2561,David West,1610612744,GSW,F,37.0,73,70,0.386,114,221,0.516,0.604,-0.088
2738,Andre Iguodala,1610612744,GSW,F-G,34.0,64,61,0.365,124,207,0.599,0.605,-0.006
201939,Stephen Curry,1610612744,GSW,G,30.0,51,50,0.386,135,203,0.665,0.587,0.078
1626172,Kevon Looney,1610612744,GSW,F,22.0,62,55,0.367,94,178,0.528,0.609,-0.081
201156,Nick Young,1610612744,GSW,G-F,33.0,80,61,0.356,101,160,0.631,0.592,0.04
201580,JaVale McGee,1610612744,GSW,C,30.0,64,56,0.403,81,153,0.529,0.604,-0.075
2733,Shaun Livingston,1610612744,GSW,G,32.0,70,60,0.371,87,149,0.584,0.595,-0.011
1627775,Patrick McCaw,1610612744,GSW,G,22.0,52,43,0.458,82,130,0.631,0.596,0.034
201956,Omri Casspi,1610612744,GSW,F,30.0,52,44,0.408,55,109,0.505,0.586,-0.082
1626188,Quinn Cook,1610612744,GSW,G,25.0,29,25,0.344,43,73,0.589,0.581,0.008
1627745,Damian Jones,1610612744,GSW,C,23.0,14,13,0.5,12,24,0.5,0.591,-0.091
