close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_lt_06,fga_lt_06,lt_06_pct,ns_lt_06_pct,plusminus
202326,DeMarcus Cousins,1610612740,NOP,C,27.0,48,48,0.39,4.4,7.6,0.578,0.609,-0.031
203076,Anthony Davis,1610612740,NOP,F-C,25.0,75,75,0.365,3.45,6.68,0.517,0.609,-0.092
202703,Nikola Mirotic,1610612740,NOP,F,27.0,55,55,0.403,3.0,4.93,0.609,0.612,-0.003
201950,Jrue Holiday,1610612740,NOP,G,28.0,81,80,0.314,3.07,4.9,0.627,0.597,0.03
202734,E'Twaun Moore,1610612740,NOP,F-G,29.0,82,81,0.354,2.04,3.4,0.599,0.598,0.001
2731,Emeka Okafor,1610612740,NOP,C,35.0,25,23,0.409,1.88,3.24,0.58,0.621,-0.041
203524,Solomon Hill,1610612740,NOP,F,27.0,11,10,0.438,2.36,3.18,0.743,0.626,0.117
200765,Rajon Rondo,1610612740,NOP,G,32.0,64,58,0.363,1.88,3.08,0.609,0.592,0.017
1627767,Cheick Diallo,1610612740,NOP,F,21.0,50,42,0.447,1.6,2.76,0.58,0.604,-0.024
1628455,Mike James,1610612740,NOP,G,27.0,36,33,0.381,1.64,2.72,0.602,0.591,0.011
203121,Darius Miller,1610612740,NOP,F,28.0,80,72,0.325,1.49,2.54,0.586,0.598,-0.012
203546,Ian Clark,1610612740,NOP,G,27.0,72,59,0.388,1.47,2.33,0.631,0.576,0.055
202732,DeAndre Liggins,1610612740,NOP,G,30.0,51,41,0.406,1.08,1.82,0.591,0.582,0.009
203580,Larry Drew II,1610612740,NOP,G,28.0,6,6,0.4,0.67,1.67,0.4,0.542,-0.142
202348,Jordan Crawford,1610612740,NOP,G,29.0,5,4,0.421,1.4,1.6,0.875,0.622,0.254
1627215,Walt Lemon Jr.,1610612740,NOP,PG,25.0,4,3,0.5,0.75,1.5,0.5,0.579,-0.079
2754,Tony Allen,1610612740,NOP,G-F,36.0,20,13,0.302,0.95,1.3,0.731,0.622,0.108
1628429,Charles Cooke,1610612740,NOP,G,23.0,7,5,0.5,0.57,0.86,0.667,0.599,0.068
