close_def_person_id,player,team_id,team,pos,age,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
203500,Steven Adams,1610612760,OKC,C,24.0,75,75,1.0,604,1301,0.464,0.482,-0.018
202331,Paul George,1610612760,OKC,F,28.0,78,78,1.0,501,1014,0.494,0.464,0.03
2546,Carmelo Anthony,1610612760,OKC,F,34.0,76,76,1.0,413,915,0.451,0.468,-0.016
201566,Russell Westbrook,1610612760,OKC,G,29.0,78,78,1.0,384,794,0.484,0.459,0.025
203924,Jerami Grant,1610612760,OKC,F,24.0,80,80,1.0,285,639,0.446,0.467,-0.021
202335,Patrick Patterson,1610612760,OKC,F,29.0,79,79,1.0,228,495,0.461,0.471,-0.011
101109,Raymond Felton,1610612760,OKC,G,34.0,80,80,1.0,199,449,0.443,0.445,-0.002
203518,Alex Abrines,1610612760,OKC,G,24.0,65,65,1.0,184,379,0.485,0.448,0.038
203460,Andre Roberson,1610612760,OKC,G,26.0,37,37,1.0,164,375,0.437,0.457,-0.019
203962,Josh Huestis,1610612760,OKC,G,26.0,59,59,1.0,153,373,0.41,0.456,-0.045
1628390,Terrance Ferguson,1610612760,OKC,G,20.0,53,53,1.0,120,266,0.451,0.446,0.005
201147,Corey Brewer,1610612760,OKC,F,32.0,52,52,1.0,127,262,0.485,0.448,0.037
201147,Corey Brewer,1610612760,OKC,G-F,32.0,18,18,1.0,87,194,0.448,0.449,-0.001
1626177,Dakari Johnson,1610612760,OKC,C,22.0,23,23,1.0,31,81,0.383,0.475,-0.092
2555,Nick Collison,1610612760,OKC,F-C,37.0,11,11,1.0,16,31,0.516,0.465,0.051
202713,Kyle Singler,1610612760,OKC,F,30.0,7,7,1.0,5,11,0.455,0.45,0.005
1627772,Daniel Hamilton,1610612760,OKC,G-F,22.0,6,6,1.0,4,9,0.444,0.416,0.028
1628408,PJ Dozier,1610612760,OKC,G,21.0,2,2,1.0,1,3,0.333,0.504,-0.171
