close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
203497,Rudy Gobert,1610612762,UTA,C,26.0,55,55,0.419,186,457,0.407,0.375,0.032
202324,Derrick Favors,1610612762,UTA,F-C,26.0,76,75,0.417,156,420,0.371,0.372,0.0
204060,Joe Ingles,1610612762,UTA,F,30.0,81,81,0.485,158,405,0.39,0.377,0.013
1628378,Donovan Mitchell,1610612762,UTA,G,21.0,78,77,0.496,137,389,0.352,0.374,-0.021
203109,Jae Crowder,1610612762,UTA,F,27.0,80,80,0.472,141,364,0.387,0.373,0.014
201937,Ricky Rubio,1610612762,UTA,G,27.0,76,75,0.458,139,362,0.384,0.373,0.011
1626220,Royce O'Neale,1610612762,UTA,F,25.0,62,58,0.506,65,199,0.327,0.377,-0.051
201973,Jonas Jerebko,1610612762,UTA,F,31.0,71,67,0.472,84,197,0.426,0.368,0.059
202327,Ekpe Udoh,1610612762,UTA,C-F,31.0,59,49,0.396,58,161,0.36,0.357,0.004
202692,Alec Burks,1610612762,UTA,G,26.0,60,54,0.519,64,137,0.467,0.37,0.097
200757,Thabo Sefolosha,1610612762,UTA,F,34.0,37,36,0.431,44,131,0.336,0.373,-0.037
203526,Raul Neto,1610612762,UTA,G,26.0,37,35,0.488,31,102,0.304,0.373,-0.069
203957,Danté Exum,1610612762,UTA,G,22.0,14,14,0.5,14,42,0.333,0.364,-0.031
1628396,Tony Bradley,1610612762,UTA,C,20.0,9,7,0.6,7,12,0.583,0.367,0.216
1627777,Georges Niang,1610612762,UTA,F,25.0,4,2,0.4,2,4,0.5,0.375,0.126
204065,David Stockton,1610612762,UTA,G,27.0,2,1,0.5,1,2,0.5,0.4,0.1
203489,Nate Wolters,1610612762,UTA,G,27.0,2,2,1.0,1,2,0.5,0.352,0.148
1628571,Erik McCree,1610612762,UTA,F,24.0,1,1,1.0,0,1,0.0,0.412,-0.412
