close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_lt_06,fga_lt_06,lt_06_pct,ns_lt_06_pct,plusminus
201143,Al Horford,1610612738,BOS,C-F,33.0,9,9,0.353,4.11,7.44,0.552,0.635,-0.083
202694,Marcus Morris Sr.,1610612738,BOS,F,29.0,9,9,0.425,3.44,5.0,0.689,0.62,0.068
1628369,Jayson Tatum,1610612738,BOS,F,21.0,9,9,0.448,3.22,4.78,0.674,0.646,0.028
202681,Kyrie Irving,1610612738,BOS,G,27.0,9,9,0.352,3.0,4.22,0.711,0.616,0.095
203382,Aron Baynes,1610612738,BOS,C-F,32.0,8,8,0.373,2.0,3.88,0.516,0.636,-0.12
1627759,Jaylen Brown,1610612738,BOS,G,22.0,9,9,0.283,1.78,3.11,0.571,0.642,-0.071
202330,Gordon Hayward,1610612738,BOS,F,29.0,9,9,0.341,1.44,3.11,0.464,0.607,-0.143
203935,Marcus Smart,1610612738,BOS,G,25.0,2,2,0.455,2.0,2.5,0.8,0.638,0.162
1626179,Terry Rozier,1610612738,BOS,G,25.0,9,9,0.379,1.11,2.44,0.455,0.605,-0.15
1628464,Daniel Theis,1610612738,BOS,F,27.0,6,5,0.5,0.67,1.67,0.4,0.568,-0.168
1629057,Robert Williams III,1610612738,BOS,C-F,21.0,2,1,0.333,0.5,1.5,0.333,0.629,-0.296
1627824,Guerschon Yabusele,1610612738,BOS,F,23.0,3,3,0.667,1.0,1.33,0.75,0.62,0.13
202954,Brad Wanamaker,1610612738,BOS,G,29.0,4,3,0.385,0.75,1.25,0.6,0.623,-0.023
1628400,Semi Ojeleye,1610612738,BOS,F,24.0,4,2,0.214,0.5,0.75,0.667,0.626,0.041
