close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
1626204,Larry Nance Jr.,1610612739,CLE,F,26.0,67,67,0.728,313,613,0.511,0.524,-0.014
1626224,Cedi Osman,1610612739,CLE,F,24.0,76,76,0.63,327,580,0.564,0.513,0.051
1629012,Collin Sexton,1610612739,CLE,G,20.0,82,82,0.587,349,560,0.623,0.51,0.113
1627790,Ante Zizic,1610612739,CLE,C,22.0,57,55,0.78,245,488,0.502,0.522,-0.02
202684,Tristan Thompson,1610612739,CLE,C-F,28.0,43,43,0.756,217,436,0.498,0.529,-0.031
203903,Jordan Clarkson,1610612739,CLE,G,27.0,81,81,0.603,222,431,0.515,0.501,0.014
1628021,David Nwaba,1610612739,CLE,G,26.0,50,50,0.594,126,252,0.5,0.519,-0.019
203521,Matthew Dellavedova,1610612739,CLE,G,28.0,48,46,0.697,133,241,0.552,0.502,0.049
203917,Nik Stauskas,1610612739,CLE,G,25.0,68,60,0.588,102,208,0.49,0.499,-0.008
201567,Kevin Love,1610612739,CLE,F-C,30.0,22,22,0.695,82,173,0.474,0.523,-0.049
1627737,Marquese Chriss,1610612739,CLE,F,21.0,41,40,0.692,97,171,0.567,0.519,0.048
202688,Brandon Knight,1610612739,CLE,G,27.0,39,34,0.622,97,155,0.626,0.506,0.12
101112,Channing Frye,1610612739,CLE,F-C,36.0,34,32,0.729,87,151,0.576,0.534,0.042
1626166,Cameron Payne,1610612739,CLE,G,24.0,35,35,0.617,89,142,0.627,0.511,0.116
1628417,Jaron Blossomgame,1610612739,CLE,F,25.0,26,25,0.655,53,108,0.491,0.52,-0.029
203089,John Henson,1610612739,CLE,F,28.0,14,14,0.669,24,79,0.304,0.505,-0.201
1629061,Deng Adel,1610612739,CLE,F,22.0,14,10,0.62,24,44,0.545,0.51,0.036
1627883,Jalen Jones,1610612739,CLE,F,26.0,16,14,0.481,26,39,0.667,0.533,0.134
2747,JR Smith,1610612739,CLE,G-F,33.0,9,9,0.571,27,36,0.75,0.504,0.246
