close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
203083,Andre Drummond,1610612765,DET,C,25.0,79,79,1.0,8.62,18.03,0.478,0.485,-0.007
201933,Blake Griffin,1610612765,DET,F,30.0,75,75,1.0,5.53,12.37,0.447,0.465,-0.018
202704,Reggie Jackson,1610612765,DET,G,29.0,82,82,1.0,5.07,9.98,0.509,0.455,0.054
1628971,Bruce Brown,1610612765,DET,G,22.0,73,73,1.0,3.62,8.51,0.425,0.453,-0.028
201961,Wayne Ellington,1610612765,DET,G,31.0,52,52,1.0,3.71,8.31,0.447,0.447,-0.001
1627748,Thon Maker,1610612765,DET,F,22.0,64,64,1.0,3.67,7.98,0.46,0.472,-0.012
202397,Ish Smith,1610612765,DET,G,30.0,56,56,1.0,3.7,7.91,0.467,0.448,0.019
2585,Zaza Pachulia,1610612765,DET,C,35.0,67,67,1.0,3.6,7.25,0.496,0.48,0.016
204038,Langston Galloway,1610612765,DET,G,27.0,79,79,1.0,3.14,7.22,0.435,0.446,-0.01
1628379,Luke Kennard,1610612765,DET,G,23.0,62,62,1.0,2.98,6.34,0.471,0.443,0.028
202720,Jon Leuer,1610612765,DET,F,30.0,39,39,1.0,2.92,5.23,0.559,0.48,0.079
101181,Jose Calderon,1610612765,DET,G,37.0,43,43,1.0,2.35,4.98,0.472,0.442,0.03
203922,Glenn Robinson III,1610612765,DET,G-F,25.0,42,42,1.0,2.36,4.83,0.488,0.453,0.035
1629004,Svi Mykhailiuk,1610612765,DET,G,22.0,40,40,1.0,1.7,4.1,0.415,0.444,-0.029
1629017,Khyri Thomas,1610612765,DET,G,23.0,18,18,1.0,1.11,2.67,0.417,0.448,-0.032
