close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
203484,Kentavious Caldwell-Pope,1610612747,LAL,G,26.0,82,78,0.386,113,280,0.404,0.357,0.047
1628398,Kyle Kuzma,1610612747,LAL,F,23.0,70,67,0.32,93,256,0.363,0.36,0.003
1628404,Josh Hart,1610612747,LAL,G,24.0,67,60,0.332,82,249,0.329,0.357,-0.028
1627742,Brandon Ingram,1610612747,LAL,F,21.0,52,50,0.405,78,248,0.315,0.356,-0.042
2544,LeBron James,1610612747,LAL,F,34.0,55,55,0.419,88,247,0.356,0.356,0.0
201580,JaVale McGee,1610612747,LAL,C,31.0,75,67,0.222,100,243,0.412,0.354,0.058
1628366,Lonzo Ball,1610612747,LAL,G,21.0,47,47,0.346,71,203,0.35,0.354,-0.004
200765,Rajon Rondo,1610612747,LAL,G,33.0,46,44,0.4,67,202,0.332,0.351,-0.019
203488,Mike Muscala,1610612747,LAL,F-C,27.0,61,59,0.296,71,190,0.374,0.358,0.015
203493,Reggie Bullock Jr.,1610612747,LAL,G-F,28.0,62,61,0.32,68,188,0.362,0.363,-0.002
202362,Lance Stephenson,1610612747,LAL,G,28.0,65,59,0.444,51,148,0.345,0.353,-0.008
2199,Tyson Chandler,1610612747,LAL,C,36.0,55,46,0.203,40,117,0.342,0.352,-0.01
1627936,Alex Caruso,1610612747,LAL,G,25.0,24,18,0.409,27,94,0.287,0.365,-0.078
1629021,Moritz Wagner,1610612747,LAL,C,22.0,38,32,0.399,28,93,0.301,0.355,-0.054
1629140,Johnathan Williams,1610612747,LAL,F,24.0,23,19,0.3,20,54,0.37,0.359,0.012
201563,Michael Beasley,1610612747,LAL,F,30.0,25,24,0.433,18,52,0.346,0.363,-0.017
1629203,Jemerrio Jones,1610612747,LAL,F,24.0,5,5,0.344,5,21,0.238,0.376,-0.138
1629067,Isaac Bonga,1610612747,LAL,G,19.0,15,10,0.37,9,17,0.529,0.376,0.154
203159,Scott Machado,1610612747,LAL,G,29.0,2,1,0.25,1,1,1.0,0.362,0.638
201281,Andre Ingram,1610612747,LAL,G,33.0,3,1,0.25,0,1,0.0,0.397,-0.397
