close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
1626157,Karl-Anthony Towns,1610612750,MIN,C-F,24.0,35,35,0.244,2.03,4.8,0.423,0.355,0.068
1626156,D'Angelo Russell,1610612750,MIN,G,24.0,45,45,0.383,2.0,4.62,0.433,0.362,0.071
201949,James Johnson,1610612750,MIN,F,33.0,32,30,0.432,1.47,4.06,0.362,0.361,0.001
1627823,Juancho Hernangomez,1610612750,MIN,F,24.0,45,40,0.394,1.36,3.53,0.384,0.355,0.029
1629006,Josh Okogie,1610612750,MIN,G,21.0,62,60,0.343,1.1,3.23,0.34,0.366,-0.026
1629016,Omari Spellman,1610612750,MIN,F,22.0,48,45,0.346,1.1,2.94,0.376,0.352,0.023
1629675,Naz Reid,1610612750,MIN,C-F,20.0,28,24,0.248,0.82,2.89,0.284,0.356,-0.073
1629633,Jarrett Culver,1610612750,MIN,G-F,21.0,63,57,0.333,0.89,2.59,0.344,0.357,-0.013
1627774,Jake Layman,1610612750,MIN,F,26.0,23,22,0.316,0.87,2.43,0.357,0.357,0.0
1627736,Malik Beasley,1610612750,MIN,G,23.0,54,47,0.356,0.96,2.41,0.4,0.362,0.038
202323,Evan Turner,1610612750,MIN,G-F,31.0,19,16,0.363,0.47,2.16,0.22,0.355,-0.135
1628980,Jacob Evans,1610612750,MIN,G-F,23.0,29,23,0.31,0.79,1.97,0.404,0.368,0.036
1629103,Kelan Martin,1610612750,MIN,F,24.0,30,19,0.295,0.53,1.73,0.308,0.368,-0.06
203459,Allen Crabbe,1610612750,MIN,G-F,28.0,33,24,0.346,0.52,1.67,0.309,0.368,-0.059
1629162,Jordan McLaughlin,1610612750,MIN,G,24.0,30,22,0.199,0.47,1.47,0.318,0.357,-0.039
1629669,Jaylen Nowell,1610612750,MIN,G,20.0,12,8,0.2,0.25,0.75,0.333,0.377,-0.044
1629020,Jarred Vanderbilt,1610612750,MIN,F,21.0,9,4,0.263,0.11,0.56,0.2,0.317,-0.117
